_id,_description,_releaseStatus,_scope,_openedAt,_closedAt
223083102,,1,,2023/08/31 3:00:00,2023/09/10 4:59:59
223083103,,1,,2023/08/31 3:00:00,
223083104,,1,,2023/08/31 5:00:00,2023/09/10 4:59:59
223083105,,1,,2023/08/31 5:00:00,
223083106,,1,,2023/08/31 5:00:00,
223083107,,1,,2023/08/31 3:00:00,2023/09/15 2:59:59
223090101,,1,,2023/08/31 15:00:00,2023/09/30 14:59:59
223090301,,1,,2023/09/02 15:00:00,2023/09/09 14:59:59
223090601,,1,,2024/02/01 2:00:00,
223090602,,1,,2023/09/06 5:00:00,
223090603,,1,,2023/09/06 5:00:00,2023/09/20 2:59:59
223090901,,1,,2023/09/08 15:00:00,2023/09/10 14:59:59
223090903,,1,,2023/09/08 15:00:00,2023/09/10 14:59:59
223090904,,1,,2023/09/08 15:00:00,
223091001,,1,,2023/09/09 15:00:00,2023/09/16 14:59:59
223091002,,1,,2023/09/10 5:00:00,
223091101,,1,,2023/09/11 5:00:00,2023/09/14 4:59:59
223091102,,1,,2023/09/11 5:00:00,
223091201,,1,,2023/09/11 15:00:00,2023/09/16 14:59:59
223091202,,1,,2023/09/11 15:00:00,
223091501,,1,,2023/09/15 3:00:00,2023/09/30 2:59:59
223091502,,1,,2023/09/15 3:00:00,2023/09/25 4:59:59
223091503,,1,,2023/09/15 3:00:00,
223091504,,1,,2023/09/15 5:00:00,2023/09/25 4:59:59
223091505,,1,,2023/09/15 5:00:00,
223091506,,1,,2023/09/15 5:00:00,
223091507,,1,,2023/09/15 5:00:00,
223091601,,1,,2023/09/15 15:00:00,2023/10/06 14:59:59
223091602,,1,,2023/09/15 15:00:00,2023/10/06 14:59:59
223091603,,1,,2023/09/15 15:00:00,
223091701,,1,,2023/09/16 15:00:00,2023/09/23 14:59:59
223091801,,1,,2023/09/18 5:00:00,
223091901,,1,,2023/09/18 15:00:00,2023/09/23 14:59:59
223091902,,1,,2023/09/18 15:00:00,
223092101,,1,,2023/09/20 15:00:00,2023/09/25 14:59:59
223092102,,1,,2023/09/20 15:00:00,
223092301,,1,,2023/09/20 15:00:00,2023/09/24 14:59:59
223092302,,1,,2023/09/20 15:00:00,2023/11/15 2:59:59
223092601,,1,,2023/09/26 5:00:00,2023/09/29 4:59:59
223092801,,1,,2023/09/27 15:00:00,2023/10/02 14:59:59
223092802,,1,,2023/09/27 15:00:00,
223093001,,1,,2023/09/30 3:00:00,2023/10/15 2:59:59
223093002,,1,,2023/09/30 3:00:00,2023/10/10 4:59:59
223093003,,1,,2023/09/30 3:00:00,
223093004,,1,,2023/09/30 5:00:00,2023/10/10 4:59:59
223093005,,1,,2023/09/30 5:00:00,
223093006,,1,,2023/09/30 5:00:00,
223100101,,1,,2023/09/30 15:00:00,2023/10/31 14:59:59
223100301,,1,231003,2023/10/03 3:00:00,2023/10/10 2:59:59
223100302,,1,231003,2023/10/03 3:00:00,
223100303,,1,231003,2023/10/03 5:00:00,
223100304,,1,231003,2023/10/03 1:00:00,
223100401,,1,,2023/10/03 15:00:00,
223100402,,1,231003,2023/10/04 5:00:00,
223100403,,2,231003,2099/10/04 5:00:00,
223100501,,1,231003,2023/10/04 15:00:00,2023/10/30 14:59:59
223100502,,1,231003,2023/10/04 15:00:00,2023/10/09 14:59:59
223100503,,1,231003,2023/10/04 15:00:00,
223100504,,1,231003,2023/10/04 15:00:00,
223100505,,1,231003,2023/10/04 15:00:00,2023/10/31 14:59:59
223100506,,1,231003,2023/10/04 15:00:00,2023/10/30 14:59:59
223100701,,1,231003,2023/10/06 15:00:00,2023/10/09 14:59:59
223100702,,1,231003,2023/10/06 15:00:00,2023/10/09 14:59:59
223100703,,1,231003,2023/10/06 15:00:00,
223101001,,1,231010,2023/10/10 3:00:00,2023/10/17 2:59:59
223101002,,1,231010,2023/10/10 3:00:00,
223101003,,1,231003,,2023/10/15 14:59:59
223101004,,1,231010,2023/10/10 5:00:00,
223101101,,1,231010,2023/10/11 5:00:00,2023/10/14 4:59:59
223101102,,1,231010,2023/10/10 15:00:00,2023/10/11 14:59:59
223101201,,1,231010,2023/10/11 15:00:00,2023/10/12 14:59:59
223101301,,1,231010,2023/10/13 5:00:00,
223101302,,1,231010,2023/10/12 15:00:00,2023/10/13 14:59:59
223101401,,1,231010,2023/10/13 15:00:00,2023/10/14 14:59:59
223101501,,1,231015,2023/10/15 3:00:00,2023/10/25 4:59:59
223101502,,1,231015,2023/10/15 3:00:00,2023/10/25 4:59:59
223101503,,1,231015,2023/10/15 3:00:00,
223101504,,1,231015,2023/10/15 3:00:00,
223101505,,1,231015,2023/10/15 3:00:00,2023/10/31 2:59:59
223101506,,1,231015,2023/10/15 3:00:00,2023/10/25 4:59:59
223101507,,1,231015,2023/10/15 3:00:00,
223101508,,1,231015,2023/10/15 5:00:00,2023/10/25 4:59:59
223101509,,1,231015,2023/10/15 5:00:00,
223101510,,1,231015,2023/10/15 5:00:00,
223101511,,1,231010,2023/10/14 15:00:00,2023/10/15 14:59:59
223101512,,2,231015,2023/10/15 3:00:00,
223101513,,1,231015,2023/10/15 3:00:00,
223101514,,1,231015,2023/10/15 3:00:00,2023/10/15 14:59:59
223101515,,1,231015,2023/10/15 3:00:00,
223101601,,1,231015,2023/10/15 15:00:00,2023/10/30 14:59:59
223101602,,1,231015,2023/10/15 15:00:00,2023/10/30 14:59:59
223101603,,1,231015,,2023/10/15 14:59:59
223101604,,1,231015,2023/10/15 15:00:00,2023/10/30 14:59:59
223101605,,1,231015,2023/10/30 15:00:00,
223101606,,1,231015,2023/10/15 15:00:00,2023/10/16 14:59:59
223101607,,1,231015,2023/10/15 15:00:00,2023/10/16 14:59:59
223101701,,1,231015,2023/10/17 3:00:00,2023/10/24 2:59:59
223101702,,1,231015,2023/10/17 3:00:00,
223101703,,1,231015,2023/10/16 15:00:00,2023/10/17 14:59:59
223101801,,1,231015,2023/10/17 15:00:00,
223101802,,1,231015,2023/10/17 15:00:00,2023/10/18 14:59:59
223101901,,1,231015,2023/10/18 15:00:00,2023/10/19 14:59:59
223102001,,1,231015,2023/10/19 15:00:00,2023/10/20 14:59:59
223102101,,1,231015,2023/10/20 15:00:00,2023/10/25 14:59:59
223102102,,1,231015,2023/10/20 15:00:00,
223102103,,1,231015,2023/10/20 15:00:00,2023/10/22 14:59:59
223102104,,1,231015,2023/10/20 15:00:00,
223102105,,1,231015,2023/10/20 15:00:00,2023/10/21 14:59:59
223102201,,1,231015,2023/10/21 15:00:00,2023/10/22 14:59:59
223102301,,1,231015,2023/10/22 15:00:00,2023/10/23 14:59:59
223102401,,1,231024,2023/10/24 3:00:00,2023/10/31 2:59:59
223102402,,1,231024,2023/10/24 3:00:00,
223102403,,1,231015,2023/10/23 15:00:00,2023/10/24 14:59:59
223102404,,1,231024,2023/10/24 3:00:00,
223102501,,1,231024,2023/10/24 15:00:00,2023/11/05 14:59:59
223102502,,1,231024,2023/10/24 15:00:00,
223102503,,1,231024,2023/10/24 15:00:00,2023/10/25 14:59:59
223102504,,1,231024,2023/10/24 15:00:00,2023/11/05 14:59:59
223102505,,1,231024,2023/10/24 15:00:00,
223102506,,1,231024,2023/10/24 15:00:00,2023/11/15 2:59:59
223102601,,1,231024,2023/10/26 5:00:00,2023/10/30 4:59:59
223102602,,1,231024,2023/10/25 15:00:00,2023/10/26 14:59:59
223102701,,1,231024,2023/10/26 15:00:00,2023/10/27 14:59:59
223102801,,1,231024,2023/10/27 15:00:00,2023/10/28 14:59:59
223102901,,1,231024,2023/10/28 15:00:00,2023/11/02 14:59:59
223102902,,1,231024,2023/10/28 15:00:00,
223102903,,1,231015,2023/10/30 15:00:00,
223102904,,1,231024,2023/10/28 15:00:00,2023/10/29 14:59:59
223103001,,1,231024,2023/10/29 15:00:00,
223103002,,1,231024,2023/10/29 15:00:00,2023/10/30 14:59:59
223103003,,1,231024,2023/10/29 15:00:00,
223103101,,1,231031,2024/02/05 8:00:00,2024/02/12 7:59:59
223103102,,1,231031,2024/02/05 8:00:00,
223103104,,1,231031,2024/02/05 8:00:00,2024/02/19 7:59:59
223103105,,1,231031,2024/02/05 8:00:00,2024/02/19 7:59:59
223103106,,1,231031,2024/02/05 7:00:00,
223103107,,1,231031,2023/10/31 3:00:00,2023/11/15 2:59:59
223103108,,1,231031,2024/02/05 8:00:00,2024/02/19 7:59:59
223103109,,1,231031,2024/02/05 7:00:00,
223103110,,1,231024,2023/10/30 15:00:00,2023/10/31 14:59:59
223103111,,1,231031,2024/02/05 8:00:00,2024/02/24 7:59:59
223103112,,1,231031,2023/10/31 3:00:00,2023/11/10 4:59:59
223103113,,1,231031,2023/10/31 3:00:00,2023/11/14 14:59:59
223103114,,1,231031,2023/10/31 3:00:00,
223110101,,1,231031,2023/10/31 15:00:00,2023/11/05 14:59:59
223110102,,1,231031,2023/10/31 15:00:00,
223110103,,1,231031,2023/10/31 15:00:00,
223110104,,1,231031,2023/10/31 15:00:00,2023/11/30 14:59:59
223110105,,1,231031,2023/10/31 15:00:00,2023/11/01 14:59:59
223110106,,1,231031,2023/10/31 15:00:00,2023/11/30 14:59:59
223110107,,1,231031,2023/11/01 1:00:00,2023/11/30 11:59:59
223110108,,1,231031,2023/11/01 1:00:00,
223110109,,1,231031,2023/11/01 1:00:00,
223110201,,1,231031,2023/11/01 15:00:00,2023/11/02 14:59:59
223110202,,1,231031,2023/11/01 15:00:00,2023/11/02 14:59:59
223110301,,1,231031,2023/11/02 15:00:00,2023/11/03 14:59:59
223110401,,1,231031,2023/11/03 15:00:00,2023/11/04 14:59:59
223110501,,1,231031,2023/11/04 15:00:00,2023/11/05 14:59:59
223110601,,1,231031,2023/11/05 15:00:00,2023/11/06 14:59:59
223110701,,1,231107,2024/02/13 8:00:00,2024/02/20 7:59:59
223110702,,1,231107,2024/02/13 8:00:00,
223110703,,1,231031,2023/11/06 15:00:00,2023/11/07 14:59:59
223110801,,1,231107,2023/11/08 5:00:00,
223110802,,1,231107,2023/11/07 15:00:00,2023/11/08 14:59:59
223110803,,1,231107,2023/11/08 5:00:00,2023/11/30 14:59:59
223110901,,1,231107,2023/11/08 15:00:00,2023/11/09 14:59:59
223111001,,2,231110,2099/11/10 5:00:00,
223111002,,1,231107,2023/11/09 15:00:00,2023/11/10 14:59:59
223111003,,1,231110,,
223111101,,1,231111,2024/02/20 8:00:00,2024/02/23 7:59:59
223111102,,1,231107,2023/11/10 15:00:00,2023/11/11 14:59:59
223111103,,1,231110,2023/11/10 15:00:00,2023/11/17 14:59:59
223111104,,1,231110,2023/11/10 15:00:00,2023/11/17 14:59:59
223111105,,1,231111,2023/11/11 3:00:00,
223111201,,1,231111,2023/11/11 15:00:00,2023/11/12 14:59:59
223111301,,1,231111,2023/11/12 15:00:00,2023/11/17 14:59:59
223111302,,1,231111,2023/11/12 15:00:00,
223111303,,1,231111,2023/11/12 15:00:00,2023/11/13 14:59:59
223111401,,1,231111,2024/02/21 8:00:00,2024/02/28 7:59:59
223111402,,1,231111,2024/02/21 8:00:00,
223111403,,1,231111,2023/11/13 15:00:00,2023/11/14 14:59:59
223111501,,1,231115,2024/02/24 8:00:00,2024/03/15 7:59:59
223111502,,1,231115,2024/02/24 8:00:00,2024/03/11 7:59:59
223111503,,1,231115,2024/02/24 8:00:00,
223111504,,1,231115,2024/02/24 8:00:00,2024/03/11 7:59:59
223111505,,1,231115,2023/11/15 5:00:00,
223111506,,1,231115,2024/02/24 8:00:00,
223111507,,1,231115,2023/11/15 5:00:00,
223111508,,1,231115,2024/02/24 8:00:00,2024/03/14 7:59:59
223111509,,1,231111,2023/11/14 15:00:00,2023/11/15 14:59:59
223111510,,1,231115,,
223111511,,1,231115,2023/11/15 5:00:00,2023/11/30 14:59:59
223111601,,1,231115,2023/11/15 15:00:00,2023/11/16 14:59:59
223111701,,1,231115,2023/11/16 15:00:00,2023/11/17 14:59:59
223111702,,1,231115,2024/02/26 8:00:00,2024/03/03 7:59:59
223111703,,1,231115,2024/02/26 8:00:00,
223111801,,1,231115,2023/11/17 15:00:00,2023/11/19 14:59:59
223111802,,1,231115,2023/11/17 15:00:00,
223111803,,1,231115,2023/11/17 15:00:00,2023/11/18 14:59:59
223111901,,1,231115,2023/11/18 15:00:00,2023/11/19 14:59:59
223111902,,1,231115,2023/11/18 15:00:00,2023/11/19 14:59:59
223112001,,1,231115,2023/11/19 15:00:00,2023/11/20 14:59:59
223112101,,1,231121,2024/02/29 8:00:00,2024/03/07 7:59:59
223112102,,1,231121,2024/02/29 8:00:00,
223112103,,1,231115,2023/11/20 15:00:00,2023/11/21 14:59:59
223112201,,1,231121,2023/11/21 15:00:00,2023/11/22 14:59:59
223112301,,1,231121,2023/11/22 15:00:00,2023/11/23 14:59:59
223112401,,1,231121,2023/11/23 15:00:00,2023/11/28 14:59:59
223112402,,1,231121,2023/11/23 15:00:00,
223112403,,1,231121,2023/11/23 15:00:00,2023/11/24 14:59:59
223112404,,1,231121,2024/03/03 8:00:00,2024/03/10 7:59:59
223112405,,1,231121,2024/03/03 8:00:00,
223112501,,1,231121,2023/11/24 15:00:00,2023/11/26 14:59:59
223112502,,1,231121,2023/11/24 15:00:00,
223112503,,1,231121,2023/11/24 15:00:00,2023/11/25 14:59:59
223112601,,1,231126,2024/03/12 8:00:00,2024/03/15 7:59:59
223112602,,1,231121,2023/11/25 15:00:00,2023/11/26 14:59:59
223112701,,1,231126,2023/11/26 15:00:00,2023/11/27 14:59:59
223112801,,1,231126,2024/03/07 8:00:00,2024/03/14 7:59:59
223112802,,1,231126,2024/03/07 8:00:00,
223112803,,1,231126,2023/11/27 15:00:00,2023/11/28 14:59:59
223112901,,1,231126,2023/11/28 15:00:00,2023/11/29 14:59:59
223113004,,1,231130,2024/03/15 8:00:00,2024/03/25 7:59:59
223113005,,1,231130,2023/11/30 5:00:00,
223113006,,1,231130,2024/03/10 8:00:00,
223113007,,1,231126,2023/11/29 15:00:00,2023/11/30 14:59:59
223113008,,1,231130,2024/03/15 8:00:00,2024/03/30 7:59:59
223113009,,1,231130,2024/03/15 8:00:00,2024/03/25 7:59:59
223113010,,1,231130,2024/03/10 8:00:00,
223120101,,1,231130,2023/11/30 15:00:00,2023/12/31 14:59:59
223120102,,1,231130,2023/11/30 15:00:00,2023/12/01 14:59:59
223120103,,1,231130,2024/03/10 8:00:00,2024/03/17 7:59:59
223120104,,1,231130,2024/03/10 8:00:00,
223120105,,1,231130,2023/11/30 15:00:00,2023/12/11 14:59:59
223120106,,1,231130,2023/11/30 15:00:00,
223120107,,1,231130,2023/11/30 15:00:00,2023/12/25 14:59:59
223120108,,1,231130,2024/03/12 2:00:00,
223120109,,1,231130,2023/11/30 15:00:00,2023/12/25 14:59:59
223120201,,1,231130,2023/12/01 15:00:00,2023/12/02 14:59:59
223120301,,1,231130,2023/12/02 15:00:00,2023/12/03 14:59:59
223120401,,1,231130,2023/12/03 15:00:00,2023/12/04 14:59:59
223120501,,1,231130,2024/03/14 8:00:00,2024/03/21 7:59:59
223120502,,1,231130,2024/03/14 8:00:00,
223120503,,1,231130,2023/12/04 15:00:00,2023/12/05 14:59:59
223120504,,1,231205,2024/03/12 2:00:00,
223120505,,1,231205,2023/12/05 5:00:00,2023/12/25 14:59:59
223120601,,1,231205,2023/12/05 15:00:00,2023/12/10 14:59:59
223120602,,1,231205,2023/12/05 15:00:00,
223120603,,1,231205,2023/12/05 15:00:00,2023/12/06 14:59:59
223120604,,1,231205,2024/03/12 2:00:00,
223120701,,1,231205,2023/12/06 15:00:00,2023/12/07 14:59:59
223120801,,1,231205,2023/12/07 15:00:00,2023/12/08 14:59:59
223120802,,1,231207,2023/12/07 15:00:00,2023/12/26 14:59:59
223120803,,1,231207,2023/12/07 15:00:00,
223120804,,1,231207,2023/12/07 15:00:00,2023/12/31 2:59:59
223120805,,1,231207,2023/12/07 15:00:00,2023/12/10 14:59:59
223120806,,1,231207,2023/12/07 15:00:00,
223120807,,1,231207,2024/03/12 2:00:00,
223120901,,1,231205,2023/12/08 15:00:00,2023/12/09 14:59:59
223120902,,1,231207,2023/12/08 15:00:00,2023/12/10 14:59:59
223120903,,1,231207,2023/12/08 15:00:00,2023/12/10 14:59:59
223120904,,1,231207,2023/12/08 15:00:00,
