_masterEventId,_groupId,_number,_highRank,_lowRank,_masterEventPointRankingRewardId,_masterReleaseLabelId
119,0,3,1501,3000,280011903,223091504
119,0,4,3001,5000,280011904,223091504
119,0,5,5001,10000,280011905,223091504
119,0,6,10001,20000,280011906,223091504
119,0,7,20001,35000,280011907,223091504
119,0,8,35001,50000,280011908,223091504
119,0,9,50001,100000,280011909,223091504
119,0,10,100001,1000000,280011910,223091504
121,0,1,1,500,280012101,223093004
121,0,2,501,1500,280012102,223093004
121,0,3,1501,3000,280012103,223093004
121,0,4,3001,5000,280012104,223093004
121,0,5,5001,10000,280012105,223093004
121,0,6,10001,20000,280012106,223093004
121,0,7,20001,35000,280012107,223093004
121,0,8,35001,50000,280012108,223093004
121,0,9,50001,100000,280012109,223093004
121,0,10,100001,1000000,280012110,223093004
123,0,1,1,500,280012301,223101508
123,0,2,501,1500,280012302,223101508
123,0,3,1501,3000,280012303,223101508
123,0,4,3001,5000,280012304,223101508
123,0,5,5001,10000,280012305,223101508
123,0,6,10001,20000,280012306,223101508
123,0,7,20001,35000,280012307,223101508
123,0,8,35001,50000,280012308,223101508
123,0,9,50001,100000,280012309,223101508
123,0,10,100001,1000000,280012310,223101508
125,0,1,1,500,280012501,223103104
125,0,2,501,1500,280012502,223103104
125,0,3,1501,3000,280012503,223103104
125,0,4,3001,5000,280012504,223103104
125,0,5,5001,10000,280012505,223103104
125,0,6,10001,20000,280012506,223103104
125,0,7,20001,35000,280012507,223103104
125,0,8,35001,50000,280012508,223103104
125,0,9,50001,100000,280012509,223103104
125,0,10,100001,1000000,280012510,223103104
129,0,1,1,500,280012901,223113004
129,0,2,501,1500,280012902,223113004
129,0,3,1501,3000,280012903,223113004
129,0,4,3001,5000,280012904,223113004
129,0,5,5001,10000,280012905,223113004
129,0,6,10001,20000,280012906,223113004
129,0,7,20001,35000,280012907,223113004
129,0,8,35001,50000,280012908,223113004
129,0,9,50001,100000,280012909,223113004
129,0,10,100001,1000000,280012910,223113004
131,0,1,1,500,280013101,223121507
131,0,2,501,1500,280013102,223121507
131,0,3,1501,3000,280013103,223121507
131,0,4,3001,5000,280013104,223121507
131,0,5,5001,10000,280013105,223121507
131,0,6,10001,20000,280013106,223121507
131,0,7,20001,35000,280013107,223121507
131,0,8,35001,50000,280013108,223121507
131,0,9,50001,100000,280013109,223121507
131,0,10,100001,1000000,280013110,223121507
133,0,1,1,500,280013301,223123104
133,0,2,501,1500,280013302,223123104
133,0,3,1501,3000,280013303,223123104
133,0,4,3001,5000,280013304,223123104
133,0,5,5001,10000,280013305,223123104
133,0,6,10001,20000,280013306,223123104
133,0,7,20001,35000,280013307,223123104
133,0,8,35001,50000,280013308,223123104
133,0,9,50001,100000,280013309,223123104
133,0,10,100001,1000000,280013310,223123104
135,0,1,1,1,280013501,224011504
135,0,2,2,2,280013502,224011504
135,0,3,3,3,280013503,224011504
135,0,4,4,10,280013504,224011504
135,0,5,11,100,280013505,224011504
135,0,6,101,200,280013506,224011504
135,0,7,201,300,280013507,224011504
135,0,8,301,500,280013508,224011504
135,0,9,501,1000,280013509,224011504
135,0,10,1001,2000,280013510,224011504
135,0,11,2001,3000,280013511,224011504
135,0,12,3001,4000,280013512,224011504
135,0,13,4001,5000,280013513,224011504
135,0,14,5001,10000,280013514,224011504
135,0,15,10001,20000,280013515,224011504
135,0,16,20001,35000,280013516,224011504
135,0,17,35001,50000,280013517,224011504
135,0,18,50001,100000,280013518,224011504
135,0,19,100001,1000000,280013519,224011504
137,0,1,1,500,280013701,224013104
137,0,2,501,1500,280013702,224013104
137,0,3,1501,3000,280013703,224013104
137,0,4,3001,5000,280013704,224013104
137,0,5,5001,10000,280013705,224013104
137,0,6,10001,20000,280013706,224013104
137,0,7,20001,35000,280013707,224013104
137,0,8,35001,50000,280013708,224013104
137,0,9,50001,100000,280013709,224013104
137,0,10,100001,1000000,280013710,224013104
139,0,1,1,1,280013901,224021404
139,0,2,2,2,280013902,224021404
139,0,3,3,3,280013903,224021404
139,0,4,4,4,280013904,224021404
139,0,5,5,5,280013905,224021404
139,0,6,6,6,280013906,224021404
139,0,7,7,7,280013907,224021404
139,0,8,8,8,280013908,224021404
139,0,9,9,9,280013909,224021404
139,0,10,10,10,280013910,224021404
139,0,11,11,11,280013911,224021404
139,0,12,12,12,280013912,224021404
139,0,13,13,13,280013913,224021404
139,0,14,14,14,280013914,224021404
139,0,15,15,15,280013915,224021404
139,0,16,16,16,280013916,224021404
139,0,17,17,17,280013917,224021404
139,0,18,18,18,280013918,224021404
139,0,19,19,19,280013919,224021404
139,0,20,20,20,280013920,224021404
139,0,21,21,100,280013921,224021404
139,0,22,101,200,280013922,224021404
139,0,23,201,300,280013923,224021404
139,0,24,301,500,280013924,224021404
139,0,25,501,1000,280013925,224021404
139,0,26,1001,2000,280013926,224021404
139,0,27,2001,3000,280013927,224021404
139,0,28,3001,4000,280013928,224021404
139,0,29,4001,5000,280013929,224021404
139,0,30,5001,10000,280013930,224021404
139,0,31,10001,20000,280013931,224021404
139,0,32,20001,35000,280013932,224021404
139,0,33,35001,50000,280013933,224021404
139,0,34,50001,100000,280013934,224021404
139,0,35,100001,1000000,280013935,224021404
991,0,1,1,500,280099101,170
991,0,2,501,3000,280099102,170
991,0,3,3001,10000,280099103,170
991,0,4,10001,20000,280099104,170
991,0,5,20001,50000,280099105,170
991,0,6,50001,100000,280099106,170
991,0,7,100001,150000,280099107,170
991,0,8,150001,250000,280099108,170
991,0,9,250001,500000,280099109,170
991,0,10,500001,1000000,280099110,170
992,0,1,1,500,280099201,171
992,0,2,501,3000,280099202,171
992,0,3,3001,10000,280099203,171
992,0,4,10001,20000,280099204,171
992,0,5,20001,50000,280099205,171
992,0,6,50001,100000,280099206,171
992,0,7,100001,150000,280099207,171
992,0,8,150001,250000,280099208,171
992,0,9,250001,500000,280099209,171
992,0,10,500001,1000000,280099210,171
127,0,1,1,1,280012701,223111504
127,0,2,2,2,280012702,223111504
127,0,3,3,3,280012703,223111504
127,0,4,4,10,280012704,223111504
127,0,5,11,100,280012705,223111504
127,0,6,101,200,280012706,223111504
127,0,7,201,300,280012707,223111504
127,0,8,301,500,280012708,223111504
127,0,9,501,1000,280012709,223111504
127,0,10,1001,2000,280012710,223111504
127,0,11,2001,3000,280012711,223111504
127,0,12,3001,4000,280012712,223111504
127,0,13,4001,5000,280012713,223111504
127,0,14,5001,10000,280012714,223111504
127,0,15,10001,20000,280012715,223111504
127,0,16,20001,35000,280012716,223111504
127,0,17,35001,50000,280012717,223111504
127,0,18,50001,100000,280012718,223111504
127,0,19,100001,1000000,280012719,223111504
