_multiUnitId,_unitId,_unitNumber,_eponym,_name,_multiCardName,_masterReleaseLabelId
38,2996,2996,Prank Planning,Nico Yazawa,still_38,1
39,3021,3021,Cute Stuff,Kanan Matsuura,still_39,1
39,3022,3022,I Want You to Choose,Dia Kurosawa,still_39,1
40,3053,3053,Big Sweets,Eli Ayase,still_40,1
40,3054,3054,Baking Again,Maki Nishikino,still_40,1
41,3128,3128,Awash in Cuteness,Mari Ohara,still_41,1
41,3129,3129,A Thrilling Meal,Ruby Kurosawa,still_41,1
42,3151,3151,Brilliant Night,Honoka Kosaka,still_42,1
42,3152,3152,Candy Trap,Hanayo Koizumi,still_42,1
43,3165,3165,Longing for Snow,Chika Takami,still_43,1
43,3166,3166,Fall With the Snow,Yoshiko Tsushima,still_43,1
44,3192,3192,New Year’s Treasure,Umi Sonoda,still_44,1
44,3193,3193,Sweet Supplies,Nozomi Tojo,still_44,1
45,3259,3259,Split Fifty-Fifty,You Watanabe,still_45,1
45,3260,3260,Charming First Trip,Hanamaru Kunikida,still_45,1
46,3270,3270,Surprise Trick,Rin Hoshizora,still_46,1
46,3271,3271,Counter-Prank,Maki Nishikino,still_46,1
47,3293,3293,Matching the Stage,Riko Sakurauchi,still_47,1
47,3294,3294,Top Secret Training,Dia Kurosawa,still_47,1
48,3313,3313,Try Again,Hanayo Koizumi,still_48,1
48,3314,3314,Get Awesome Items!,Nico Yazawa,still_48,1
49,3338,3338,Flower Parade,You Watanabe,still_49,1
49,3339,3339,Handsome at Times,Mari Ohara,still_49,1
50,3607,3607,Clamming Tips,Kanan Matsuura,still_50,1
50,3608,3608,Tasty Premonition,Ruby Kurosawa,still_50,1
51,3661,3661,Wind Chime,Kotori Minami,still_51,1
51,3662,3662,Vivid Drawing,Hanayo Koizumi,still_51,1
52,3712,3712,Because You Is Here,Riko Sakurauchi,still_52,1
52,3713,3713,Joys of Ice and Sea,You Watanabe,still_52,1
53,3748,3748,Splash Counter,Rin Hoshizora,still_53,1
53,3749,3749,Splash Attack,Nico Yazawa,still_53,1
54,3813,3813,Open Umbrella Season,Kanan Matsuura,still_54,1
54,3814,3814,Rain-Proof Barrier,Yoshiko Tsushima,still_54,1
55,3843,3843,Circle of Memories,Honoka Kosaka,still_55,1
55,3844,3844,Surprise Visitor,Nozomi Tojo,still_55,1
56,3861,3861,[Party]Taisho School Idol,Honoka Kosaka,still_56,1
56,3862,3862,[Party]When Am I?,Hanayo Koizumi,still_56,1
57,3863,3863,[Party]Simple Dress,Eli Ayase,still_57,1
57,3864,3864,[Party]Until That Day Comes,Honoka Kosaka,still_57,1
58,3865,3865,[Party]I'm Gonna Get You♪,Kotori Minami,still_58,1
58,3866,3866,[Party]You're My Target♪,Eli Ayase,still_58,1
59,3867,3867,[Party]I Won't Let You Down!,Umi Sonoda,still_59,1
59,3868,3868,[Party]Song I Want To Play,Maki Nishikino,still_59,1
60,3869,3869,[Party]Much Respect!,Rin Hoshizora,still_60,1
60,3870,3870,[Party]Together is Better,Kotori Minami,still_60,1
61,3871,3871,[Party]The Joy of This Moment,Maki Nishikino,still_61,1
61,3872,3872,[Party]Earnest Emotion,Nozomi Tojo,still_61,1
62,3873,3873,[Party]The Nozomi Set☆,Nozomi Tojo,still_62,1
62,3874,3874,[Party]Toiling in the Shadows,Nico Yazawa,still_62,1
63,3875,3875,[Party]Hanayo's Spring Outfit♪,Hanayo Koizumi,still_63,1
63,3876,3876,[Party]Let's Go Play!,Rin Hoshizora,still_63,1
64,3877,3877,[Party]Little Devil Training!,Nico Yazawa,still_64,1
64,3878,3878,[Party]Little Devil's Line,Umi Sonoda,still_64,1
65,3879,3879,[Party]Adorableness Appeal,Chika Takami,still_65,1
65,3880,3880,[Party]Relaxing Spot,Ruby Kurosawa,still_65,1
66,3881,3881,[Party]Happy Life,Riko Sakurauchi,still_66,1
66,3882,3882,[Party]Lucky Charm,Mari Ohara,still_66,1
67,3883,3883,[Party]Candy Shower,Kanan Matsuura,still_67,1
67,3884,3884,[Party]Wandering Flames,Hanamaru Kunikida,still_67,1
68,3885,3885,[Party]Shrine Maiden Steps,Dia Kurosawa,still_68,1
68,3886,3886,[Party]Puppy Patrol,Kanan Matsuura,still_68,1
69,3887,3887,[Party]Chasing the Bunny,You Watanabe,still_69,1
69,3888,3888,"[Party]Hello, Wonder!",Riko Sakurauchi,still_69,1
70,3889,3889,[Party]Underworld Ritual,Yoshiko Tsushima,still_70,1
70,3890,3890,[Party]Halloween Party,Dia Kurosawa,still_70,1
71,3891,3891,[Party]Unfading Beauty,Hanamaru Kunikida,still_71,1
71,3892,3892,[Party]Orange Mermaid,Chika Takami,still_71,1
72,3893,3893,[Party]Just for You,Mari Ohara,still_72,1
72,3894,3894,[Party]Sinful Kiss,Yoshiko Tsushima,still_72,1
73,3895,3895,[Party]Place of Wishes and Joy,Ruby Kurosawa,still_73,1
73,3896,3896,[Party]Plus One Arrangement,You Watanabe,still_73,1
74,3924,3924,A Nostalgic Book,Dia Kurosawa,still_74,1
74,3925,3925,Dreaming a Story,Hanamaru Kunikida,still_74,1
75,3950,3950,Night Mirror Image,Eli Ayase,still_75,1
75,3951,3951,Flower Wreath Ring,Kotori Minami,still_75,1
