_id,_num,_masterVoiceId,_systemVoiceType,_value,_textJa,_textEn,_masterReleaseLabelId
30010009,2,53010092,53,0,"Everyone-! Are you enjoying<br>Nijigasaki's live show that's packed<br>with ""love""-?",test,1
40010009,2,54010092,53,0,Are our songs echoing in all your<br>hearts~?<br>They're full of Liella!'s love for<br>you...♪,test,1
40090009,1,54090091,52,0,"Ren Senpai! Let's match our<br>smartphone wallpapers, yes!",,223041902
40090009,2,54090092,53,0,"Can I have an ice cream? Please let<br>me have these toppings, too! Yes!",,223041902
40020009,1,54020091,52,0,"Kanon, Please come closer over here!<br>I'm taking the shot!~",,223041902
40020009,2,54020092,53,0,Let's spend a sweet time with Keke ♪,,223041902
40030009,1,54030091,52,0,"Keke chan, have some ice cream,<br>let's get fired up!",,223041904
40030009,2,54030092,53,0,I will let you eat this sweeeeeet<br>ice cream!,,223041904
10010016,1,51010161,52,0,"Eek! That's cold!<br>Oh, thanks Umi.",,223043003
10010016,2,51010162,53,0,I want you to see us<br>taking on these new challenges!,,223043003
10020015,1,51020151,52,0,"Homura's new cat-shaped cookie...<br>Mmmh! ♪ It's not just cute, it's delicious!",,223043003
10020015,2,51020152,53,0,Let's dash into tomorrow together!,,223043003
10090015,1,51090151,52,0,I'm so glad I joined µ's!,,223043005
10090015,2,51090152,53,0,I don't care if I stumble.<br>Get up with me!,,223043005
20010014,1,52010141,52,0,"You, those glasses really suit you!<br>Hmm... How about mine?",,223051503
20010014,2,52010142,53,0,Final boarding from Numazu to happiness! ♪<br>Let me take you on a wonderful journey!,,223051503
20020013,1,52020131,52,0,"Do you want a bite Yoshiko?<br>Say ""ahhh!""",,223051503
20020013,2,52020132,53,0,Let me guide you on a fun journey!<br>Follow me so you don't get lost. ♪,,223051503
20070013,1,52070131,52,0,"*Munch* *munch*<br>Everything is so good, I can't help myself, Zura!",,223051505
20070013,2,52070132,53,0,"Over here, over here! ♪<br>Time for a fun trip with me, Zura!",,223051505
40010010,1,54010101,52,0,I'm so happy to see<br>so many things I like!,,223050104
40010010,2,54010102,53,0,"Let me sing a<br>special song, just for you!",,223050104
30050009,1,53050091,52,0,A BBQ with everyone<br>is the best! ♡<br>Bring on the meat!,,223053002
30050009,2,53050092,53,0,I'm sending the hottest beats<br>right to your heart!,,223053002
30060009,1,53060091,52,0,Today's show was so...<br>Fun... Zzz...,,223053103
30060009,2,53060092,53,0,"Kanata, I've been waiting<br>for you to come get me for a<br>long, long time!",,223053103
30080009,1,53080091,52,0,I hope my songs can be<br>some comfort to everyone<br>that listens.,,223053103
30080009,2,53080092,53,0,I will always be by your side.<br>You're my favorite! ♪,,223053103
30090009,1,53090091,52,0,What am I trying to convey<br>with my live show?,,223053105
30090009,2,53090092,53,0,"If you're by my side,<br>the dark forest or scary wolves<br>can't faze me.",,223053105
20030013,1,52030131,52,0,"Whoa, it's a sea turtle. ♪<br>How lucky!",,223061503
20030013,2,52030132,53,0,"Let me give you a<br>perfect, special time. ♪",,223061503
20040013,1,52040131,52,0,"Mari! If you move too much,<br>you're going to lose your balance!",,223061503
20040013,2,52040132,53,0,Let me bring you<br>to my special little world. ♡,,223061503
20090013,1,52090131,52,0,"Wow, I got so dizzy<br>I couldn't hit the watermelon!",,223061505
20090013,2,52090132,53,0,"Today's costume is all about<br>my soft, fluttering veil!<br>Want to touch it?",,223061505
10070015,1,51070151,52,0,"Rain isn't so bad, is it?<br>Eli, you make me feel happy. ♪",,223060902
10070015,2,51070152,53,0,I just feel like...<br>The light is shining on our future.,,223060902
20080013,1,52080131,52,0,"Here we go!<br>Three, two, one... Shiny! ☆",,223061302
20080013,2,52080132,53,0,I'm so happy! ♪<br>Make sure you watch me<br>spread my wings and fly!,,223061302
40080009,1,54080091,52,0,Mei's so serious...<br>And cute.,,223061702
40080009,2,54080092,53,0,I want you to listen...,,223061702
30040009,1,53040091,52,0,Aaah! W-What?!<br>Why is everyone here?,,223062902
30040009,2,53040092,53,0,Your cheers add a new<br>color to my world!,,223062902
40040009,1,54040091,52,0,"Blue sky, white clouds, and me...<br>A spectacular GALAXY!",,223063003
40040009,2,54040092,53,0,"Hehe, are you sure you want<br>to be that close? Here we go!<br>You're going to get all soapy! ♪",,223063003
40050009,1,54050091,52,0,"Nice, Mei!<br>Leave the rest to me!",,223063003
40050009,2,54050092,53,0,Are you ready to enjoy<br>the summer with me?,,223063003
40060010,1,54060101,52,0,"I wish I could pose like<br>you, Sumire! Let's see...<br>W-Wawawawa!",,223063005
40060010,2,54060102,53,0,I-I can do it too<br>if I really try!,,223063005
30010010,1,53010101,52,0,It's been a while<br>since I've had the chance to relax<br>like this with you. ♡,,223071504
30010010,2,53010102,53,0,I know I can overcome anything<br>if it's for you...,,223071504
30100009,1,53100091,52,0,"W-wait Lanzhu,<br>I don't think I'm quite ready—<br>WAAAA!",,223071504
30100009,2,53100092,53,0,A whole new world opened up<br>after I met you.,,223071504
30020009,1,53020091,52,0,He he he...<br>Who should I take down first? ♪,,223071506
30020009,2,53020092,53,0,What do you think?<br>I thought of you when I picked out this dress. ♡,,223071506
20060014,1,52060141,52,0,Thanks Zuramaru.<br>I'm really glad you're here.,,223071302
20060014,2,52060142,53,0,"It's time to dance under the<br>bright blue sky! As my underling,<br>you need to make sure you're ready. ♪",,223071302
40020010,1,54020101,52,0,Thank you!<br>I didn't think Sunny Pas would<br>wish me a happy birthday!,,223071703
40020010,2,54020102,53,0,"With you, I'll keep on chasing my<br>big dreams...and make them come true!",,223071703
40020012,1,54020121,52,0,The sparkling Christmas tree...<br>It's so pretty!,,223121506
40020012,2,54020122,53,0,"Since you're being so good,<br>I'm gonna give you sooo<br>many presents!",,223121506
10090016,1,51090161,52,0,"Oh, I can't play the piano...<br>Whoa, what're you doing Maki?!",,223072202
10090016,2,51090162,53,0,My days have been filled with sunshine<br>ever since I met you!,,223072202
10030016,1,51030161,52,0,I wish we could all do this<br>for the rest of time...,,223073103
10030016,2,51030162,53,0,Don't let the summer heat<br>get your hype down! ♪,,223073103
10050015,1,51050151,52,0,Woohoo!!!<br>This feels fanmeowstic! ♪,,223073103
10050015,2,51050152,53,0,Today's a perfect day for the greatest concert ever! ♪<br>Let's keep it at full energy until the end!,,223073103
10040016,1,51040161,52,0,Gah!<br>I'm not going to lose!,,223073105
10040016,2,51040162,53,0,Could I maybe...make some<br>unforgettable summer memories with you?,,223073105
40070010,1,54070101,52,0,Don't you cry!<br>I'll scoop up enough<br>for you and me!,,223081503
40070010,2,54070102,53,0,Don't take your eyes off me!<br>Let this memory<br>reach deep inside and last forever!,,223081503
40080010,1,54080101,52,0,Rifle angle...good.<br>Target position...good.<br>Physics trajectory calculation...complete. Shooting.,,223081503
40080010,2,54080102,53,0,"Don't look at me, look at everyone else...<br>Especially Mei.",,223081503
40080011,1,54080111,52,0,The Naumann's elephant<br>isn't a bad choice...,,223121509
40080011,2,54080112,53,0,"I wanted to give you a stag beetle pupa<br>as a gift, but Mei told me to stop.<br>Too bad...",,223121509
40010011,1,54010111,52,0,Look look! It's so pretty!<br>These memories will last a lifetime.,,223081505
40010011,2,54010112,53,0,"There's a summer festival today!<br>Come on, come dance with me!",,223081505
40010014,1,54010141,52,0,"And now a fun pose!<br>Nice, I got a good picture. ♪",,223121506
40010014,2,54010142,53,0,Here's a present from me to you.<br>Will you accept?,,223121506
20010015,1,52010151,52,0,"Hehe... Thanks, everyone.<br>I'm really...blessed. Zzz...",,223080103
20010015,2,52010152,53,0,"Make sure to watch over<br>me, forever and ever!",,223080103
20010019,1,52010191,52,0,"I wish to make even more wonderful memories<br>with everyone in Aqours this year.<br>Come on, everyone, make your wish!",,223123106
20010019,2,52010192,53,0,HAPPY NEW YEAR!<br>I'm happy we got to<br>celebrate the new year together. ♪,,223123106
10010017,1,51010171,52,0,This makes me so happy!<br>Thank you so much Kotori!<br>I'm going to keep it safe forever!,,223080304
10010017,2,51010172,53,0,I think it's because of you that I can<br>shine so bright!,,223080304
40090010,1,54090101,52,0,"Hey there Mr. Elephant,<br>how did your nose<br>get oh so long?!",,223080702
40090010,2,54090102,53,0,"Hey, make sure to watch<br>me from now on!",,223080702
30070009,1,53070091,52,0,You learned all my favorite<br>anime songs?!<br>That's so awesome!,,223080802
30070009,2,53070092,53,0,"With you, I think<br>I can go anywhere.",,223080802
20060015,1,52060151,52,0,Fallen Angel Yohane's Magic Eyes<br>are twinkling in the moonlight!,,223083103
20060015,2,52060152,53,0,Little demons!<br>Dance away the night tonight<br>as my minions of darkness!,,223083103
20060016,1,52060161,52,0,Uwaaahh!<br>Don't throw them so hard at me!,,224021403
20060016,2,52060162,53,0,You've finally appeared!<br>I'll be the one to catch you!,,224021403
20080014,1,52080141,52,0,"Kanan, Kanan!<br>I see stars next to the moon!",,223083103
20080014,2,52080142,53,0,What do you think about me<br>as a cute little bunny rabbit?,,223083103
20080016,1,52080161,52,0,"Now, let's face in the lucky direction<br>and eat up♪<br>No talking while you eat!",,224021406
20080016,2,52080162,53,0,"Non non!<br>When you look at me that way,<br>you make me want to eat you!",,224021406
20050014,1,52050141,52,0,Whoa! So cool!<br>Come take a look!<br>The wind is like a wave of light! ♪,,223083105
20050014,2,52050142,53,0,*Hop* *hop* ♪<br>Come hop with me<br>and have some fun!,,223083105
10060015,1,51060151,52,0,Hmm... The breeze feels so nice.,,223091503
10060015,2,51060152,53,0,"I hope I can make today a<br>special day for you.<br>Watch me sing my best, okay?",,223091503
10060017,1,51060171,52,0,"You want to see me skating?<br>...Fine, okay.",,224011503
10060017,2,51060172,53,0,Being surrounded by flowers is so relaxing.<br>Don't you agree?,,224011503
10060018,1,51060181,52,0,The spring night sky is beautiful too.<br>--……Ah!  shooting star! ! !,,224031603
10060018,2,51060182,53,0,I feel comfortable next to you.<br>……Say hello in the future.,,224031603
10070017,1,51070171,52,0,"Look over here!<br>This way, Rin!<br>W-Whoa!",,223091503
10070017,2,51070172,53,0,I bet you can't<br>take your eyes off of me!,,223091503
10080016,1,51080161,52,0,Time to dig in!<br>*Munch* *munch*... So tasty! ♡,,223091505
10080016,2,51080162,53,0,D-Do you think...<br>You'd like to dance with me today?,,223091505
10080017,1,51080171,52,0,A-RISE's new song!<br>The lyrics and costumes and choreography<br>are all so good~!,,224011703
10080017,2,51080172,53,0,Thanks for always supporting me!<br>I'll always support you too.,,224011703
10030017,1,51030171,52,0,"Look, look!<br>I've always wanted to<br>dress up like a bunny! ♡",,223091202
10030017,2,51030172,53,0,"Make sure to<br>keep watching over me, okay? ♡",,223091202
10030018,1,51030181,52,0,I-It's so slippery... Eek!<br>Argh! It's so hard!,,224011503
10030018,2,51030182,53,0,I made this bouquet<br>filled with all my gratitude for you.<br>Will you accept it?,,224011503
20020014,1,52020141,52,0,Hi there Mr. Seagull!<br>Oh? Hehe. Is that tasty?,,223091902
20020014,2,52020142,53,0,I hope you can be beside me when<br>I spread my wings to follow my dreams.,,223091902
20020016,1,52020161,52,0,"...Okay, made the face!<br>Now to draw the horns...",,224021403
20020016,2,52020162,53,0,...Oh? You're finally here?<br>It seems that<br>maybe you won't bore me.,,224021403
20090014,1,52090141,52,0,My favorite...<br>sweet potato frappe!<br>Looks so yummy! ♡,,223092102
20090014,2,52090142,53,0,I'll spread my wings with you<br>and fly toward a bright future. ♡,,223092102
20090016,1,52090161,52,0,Toooooo cute! ♡<br>*pat* *pat*,,223123103
20090016,2,52090162,53,0,Happy New Year!<br>Here's to spending<br>lot's of time with you. ♡,,223123103
40040010,1,54040101,52,0,Found it!<br>The tastiest looking<br>melon in this greenhouse!,,223092802
40040010,2,54040102,53,0,Don't you dare miss<br>the moment I shine!,,223092802
40040013,1,54040131,52,0,Th-There isn't anything else to it.<br>I just wanted to thank you for everything.<br>That's all!,,224030106
40040013,2,54040132,53,0,Got time after school?<br>Then come on a date with me♪,,224030106
30120010,1,53120101,52,0,Wow! Look Ayumu! ♡<br>Cute little ghost pastries!,,223093003
30120010,2,53120102,53,0,I just made the executive<br>decision that you'll be with<br>me for alllll time.,,223093003
30120013,1,53120131,52,0,Do you like me?<br>I bet you really like me!<br>Hehe. I really like you too!,,223121902
30120013,2,53120132,53,0,Do you like me?<br>I bet you really like me!<br>Hehe. I really like you too!,,223121902
30120014,1,53120141,52,0,Wheeeee!♡<br>This is so much fun~!,,224021503
30120014,2,53120142,53,0,The one who can thrill you the most<br>is Lanzhu!<br>No doubt about that!,,224021503
30110010,1,53110101,52,0,Trick or Treat!<br>So? Did I scare you?,,223093003
30110010,2,53110102,53,0,Just a second!<br>Don't pet me like that...,,223093003
30030010,1,53030101,52,0,And I'll take this...over here...<br>All done!<br>I hope everyone likes this!,,223093005
30030010,2,53030102,53,0,I'll play a trick even if you give me candy! ♡<br>Why? I'm just a little devil. ♪,,223093005
20070015,1,52070151,52,0,L-Like this?<br>I hope the picture turns out okay.,,223101507
20070015,2,52070152,53,0,I'm going to cast a little spell<br>so you can't take your eye's off of me zura! ♪,,223101507
20070016,1,52070161,52,0,"Th-This is VR...!<br>It's the future, zura~!",,224030403
20070016,2,52070162,53,0,"I want you<br>to always love me.<br>...Th-This is embarrassing, zura...",,224030403
20040015,1,52040151,52,0,GYAAAAHHH!<br>Stop it!!!,,223101507
20040015,2,52040152,53,0,How would you like to<br>experience some thrills with me?,,223101507
20040016,1,52040161,52,0,"What am I going to wish for?<br>Of course, I'm going to wish for Ruby's happiness.",,224010104
20040016,2,52040162,53,0,"I hope I can spend this year,<br>the start of next year,<br>and always with you.",,224010104
20030015,1,52030151,52,0,W-What?! Huh?!<br>I think I see somethin—EEK!,,223101509
20030015,2,52030152,53,0,Trick AND treat!<br>A surprise and a present for you! ♪,,223101509
20030016,1,52030161,52,0,"These pancakes are so good!<br>Wait, you have a present for me too?!",,224021005
20030016,2,52030162,53,0,A world with just the two of us<br>doesn't sound half bad.,,224021005
30100010,1,53100101,52,0,"Oh yeah! The other day, Rina<br>and I made a dance video!",,223100503
30100010,2,53100102,53,0,"I may still have lots to learn,<br>but please stay by me and watch over me.",,223100503
10020017,1,51020171,52,0,C-Cute? Hmm...<br>Don't tease me like that.,,223102102
10020017,2,51020172,53,0,"You're going to be with me<br>forever, right?<br>Hehe. That makes me happy.",,223102102
40070011,1,54070111,52,0,"Hehehe... Hey now, that tickles!<br>Oh you want to climb up too?",,223102902
40070011,2,54070112,53,0,I'm gonna do my absolute best...<br>So make sure to keep watching me!,,223102902
40070013,1,54070131,52,0,This store's black tea<br>has been trending lately...<br>I hope that they'll like it!,,224030103
40070013,2,54070132,53,0,I got a ton of cute snaps~<br>I'll send them to you later!,,224030103
10040017,1,51040171,52,0,"Let's go, shall we?<br>Off to our own adventure!",,223100504
20050015,1,52050151,52,0,A grand adventure with you?<br>I just can't stop my excitement!,,223101504
30070011,1,53070111,52,0,My fiery passion just won't settle down!<br>It's time to start our great adventure!,,223101504
40030011,1,54030111,52,0,"Okay, follow me!<br>I'll show you sights that<br>you've never seen before. ♪",,223101504
30010012,1,53010121,52,0,"I'll keep a watch over you,<br>forever and always. ♪",,223100302
30020011,1,53020111,52,0,"I'm always thinking about you first.<br>It's our little promise, okay?",,223101002
30030012,1,53030121,52,0,Is your heart pounding like mine?<br>You know I...really like you too.,,223101702
30040011,1,53040111,52,0,It may take some time...<br>but can you wait so I can<br>tell you how I really feel?,,223102402
30050012,1,53050121,52,0,Did you know? My most favorite<br>time is the time I spend with you.,,223103102
10040017,2,51040172,53,0,"Let's go, shall we?<br>Off to our own adventure!",,223100504
20050015,2,52050152,53,0,A grand adventure with you?<br>I just can't stop my excitement!,,223101504
20050017,1,52050171,52,0,"Mhmm, it's so good!<br>Wait, Mari, what is that?!",,223123103
20050017,2,52050172,53,0,"With you by my side this year,<br>I have the feeling I'm going to pull the Super-Greatest-Best Fortune!",,223123103
20050019,1,52050191,52,0,Peace!<br>Let's make a lot of memories!,,224031603
20050019,2,52050192,53,0,... A feeling of happiness overflows<br>I'm sure it's because I'm with you.,,224031603
30070011,2,53070112,53,0,My fiery passion just won't settle down!<br>It's time to start our great adventure!,,223101504
40030011,2,54030112,53,0,"Okay, follow me!<br>I'll show you sights that<br>you've never seen before. ♪",,223101504
30010012,2,53010122,53,0,"I'll keep a watch over you,<br>forever and always. ♪",,223100302
30010017,1,53010171,52,0,"Here, open wide♡<br>What do you think?<br>Did it come out all right?",,224013106
30010017,2,53010172,53,0,If I told you not to accept any chocolate<br>except for mine...<br>Would you?,,224013106
30010018,1,53010181,52,0,I put this flower here...<br>Urm... I can't get the balance right.<br>Shioriko~!,,224030108
30010018,2,53010182,53,0,You know... I want to keep chasing my dreams<br>together with you<br>now and forever♪,,224030108
30020011,2,53020112,53,0,"I'm always thinking about you first.<br>It's our little promise, okay?",,223101002
30020014,1,53020141,52,0,"Muahaha...<br>With Karin's makeup skills,<br>Kasumin will be sooooo much cuter!♡",,224012303
30020014,2,53020142,53,0,"Senpai, I give you permanent residency<br>in the prosperous Kingdom of Kasumin♪<br>Now you can be together with Kasumin forever!♡",,224012303
30030012,2,53030122,53,0,Is your heart pounding like mine?<br>You know I...really like you too.,,223101702
30030014,1,53030141,52,0,"Okay, Ophelia?<br>Take this<br>and sit in front of Kasumi.",,224013103
30030014,2,53030142,53,0,"I was always scared, but then you saved me.<br>Please keep taking me out<br>to see the whole wide world.",,224013103
30030015,1,53030151,52,0,"Well done, Setsuna-san!<br>Your sharpness is different!<br>I can't lose either! ",,224031603
30030015,2,53030152,53,0,"I'm ready to capture your heart!<br>Whether it's theater or school idols, I'll nail you♪I'll nail you♪ ",,224031603
30040011,2,53040112,53,0,It may take some time...<br>but can you wait so I can<br>tell you how I really feel?,,223102402
30050012,2,53050122,53,0,Did you know? My most favorite<br>time is the time I spend with you.,,223103102
40030012,1,54030121,52,0,Good job with the information session!<br>Cheeeeerrrs!,,223103109
40060011,1,54060111,52,0,"Ren, thanks a bunch!<br>I'll keep on tryin' my best!",,223103109
40090011,1,54090111,52,0,I'd like to ask you all<br>about the appeal of Yuijo!,,223103106
40030012,2,54030122,53,0,"Come join us!<br>Let's do this! 1, 2. 1, 2!",,223103109
40030014,1,54030141,52,0,"Kanon, make a circle! A circle!<br>Come on! Come on! Hurry up!",,224022503
40030014,2,54030142,53,0,"If you feel happy when you hear me sing<br>and watch me dance,<br>that's be the roundest thing♪",,224022503
40060011,2,54060112,53,0,Let's make Yuijo<br>a great place together!,,223103109
40060013,1,54060131,52,0,Hmm~♡ Potatoes in Tokyo<br> taste stylish!,,224031603
40060013,2,54060132,53,0,I want you<br>to keep watching over Kinako.I'll do my best<br> to make you smile more!,,224031603
40090011,2,54090112,53,0,Don't you dare miss out on my<br>brilliant techniques!,,223103106
40100002,1,54100021,52,0,I'll sing a little<br>until everyone arrives.,,224012003
40100002,2,54100022,53,0,I know you were moved by my song.<br>Tell me what you thought.,,224012003
40110002,1,54110021,52,0,It is only logical for jellyfish to drift with the waves<br>due to their weak swimming ability.,,223122802
40110002,2,54110022,53,0,I hope to keep on<br>brushing up on<br>my performance.,,223122802
60010001,1,56010011,52,0,"I am the fortune-teller, Yohane.<br>Do you have any fortunes to be told?",,223121403
60010001,2,56010012,53,0,I want to spread our songs across<br>this town and the entire world!,,223121403
60020001,1,56020011,52,0,"I sell handmade<br>breads and desserts!<br>I recommend my Hanamaru Bread, zura!",,223121403
60020001,2,56020012,53,0,"I just looove Yohane's songs<br>and singing with everyone, zura!",,223121403
60030001,1,56030011,52,0,My name is Dia. I am<br>Executive Director General of the<br>Numazu Administrative Office.,,223121403
60030001,2,56030012,53,0,I hope you enjoy my<br>whole-hearted devotion<br>to my song!,,223121403
60040001,1,56040011,52,0,"I'm Ruby, nice to meet you.<br>My sister, is the Executive Director General<br>of the Administrative Office!",,223121403
60040001,2,56040012,53,0,I hope you enjoy me<br>and the others sing!,,223121403
60050001,1,56050011,52,0,Come right in!<br>I'm the poster girl for the Tochiman Ryokan!,,223121403
60050001,2,56050012,53,0,"Let us give you a song that reaches your heart!<br>With Yohane and the others,<br>anything is possible!",,223121403
60060001,1,56060011,52,0,"Hi there, I'm You!<br>I work as a messenger.<br>Leave all your deliveries to me!",,223121403
60060001,2,56060012,53,0,We'll use our song to<br>show you how we feel!<br>I hope you listen and accept our feelings.,,223121403
60070001,1,56070011,52,0,"I'm the recycling queen<br>of Uchira, Kanan!<br>I can take care of all your repairs!",,223121403
60070001,2,56070012,53,0,Are you ready to have fun?<br>Let's make the best memories with everyone.,,223121403
60080001,1,56080011,52,0,"I'm Riko, a zoologist.<br>You can ask me anything about animals.",,223121403
60080001,2,56080012,53,0,I want you to hear<br>more of our songs.,,223121403
60090001,1,56090011,52,0,The name's Mari. I've heard about you.<br>I always hear you talking.,,223121403
