_id,_value,_masterReleaseLabelId
LIELLA_STORY_TRACKING_LIST,story_part MASTER id LIST (CHAPTER 1~5),1
USERNAME_COMPLETE,cxaf1k,1
TUTORIAL_COMPLETE,usrdzo,1
TUTORIAL_EXCLUDE_MEMBER,[4010/4011],223121502
LOGIN_BONUS,253c9m,1
PURCHASE,1bsthi,1
INITIAL_PURCHASE,ydtj0o,1
RANK_005,gd5k9i,1
RANK_010,32vmx1,1
RANK_030,o7jsyo,1
RANK_050,a8x3q0,1
RANK_100,2t4qed,1
RANK_200,6910uf,1
RANK_300,z7sc9p,1
REJECT_PURCHASE_FLAG,TRUE,224012502
STORYCLEAR_MS_01,xw39p7,1
STORYCLEAR_MS_02,k0e5zr,1
STORYCLEAR_MS_03,tbne9l,1
STORYCLEAR_MS_04,ydfmv4,1
STORYCLEAR_MS_05,v3kowc,1
STORYCLEAR_AQOURS_01,1y4ciq,1
STORYCLEAR_AQOURS_02,2x9bkp,1
STORYCLEAR_AQOURS_03,l0ynyt,1
STORYCLEAR_AQOURS_04,7fhbyg,1
STORYCLEAR_AQOURS_05,mxlplg,1
STORYCLEAR_NIJI_01,h9iti9,1
STORYCLEAR_NIJI_02,c2bx53,1
STORYCLEAR_NIJI_03,jxthtq,1
STORYCLEAR_NIJI_04,thehu8,1
STORYCLEAR_NIJI_05,g04pim,1
SS_ALIGNMENT_END_DATETIME,2024/12/31 14:59:59,223071201
SS_THEATER_NOT_FOUND,Daily theater will be updated later.,223120502
DEFAULT_LIVE_POWER,1000,1
MAX_LIVE_POWER,2000,1
DEFAULT_ROOM_MASTER_AREA_ID,100,1
AUTO_TICKET_MASTER_ITEM_ID,90000001,1
EVOLVE_RARE3_MASTER_ITEM_ID,21001001,1
EVOLVE_RARE4_MASTER_ITEM_ID,21002001,1
EVOLVE_RARE3_NEED_ITEM_COUNT,10,1
EVOLVE_RARE4_NEED_ITEM_COUNT,10,1
EVOLVE_ITEM_COUNT_MAX,999,1
SPIRIT_SCORE_BONUS_NUMERATOR,1,1
SPIRIT_SCORE_BONUS_DENOMINATOR,6,1
SPIRIT_ADJUST_NUMBER,50,1
BEFORE_RECOMMEND_EMPTY_ID,10013001,1
DEFAULT_MAX_ORNAMENT_LEVEL,5,1
TUTORIAL_CARD_REINFORCE_MASTER_ITEM_ID,16001002,1
BATTERY_CHECK_NUM,30,1
EVENT_LIVE_POINT_BOOST,40,1
CARD_SPECIAL_EPISODE_REWARD_GEM,100,1
TALK_USER_EXP_BASE,200,1
SERIF_HIDE_TIME,5,1
AREA_WORLD_ID_DEFAULT,1,1
AREA_WORLD_ID_BIRTHDAY,2,1
MIN_NEW_ORNAMENT_EVENT,1,1
MAX_NEW_ORNAMENT_EVENT,3,1
MIN_NEW_MAIN_AREA_EVENT,4,1
MAX_NEW_MAIN_AREA_EVENT,8,1
MAX_MAIN_AREA_EVENT,20,1
MIN_MAIN_AREA_EVENT_PER_AREA,1,1
MAX_MAIN_AREA_EVENT_PER_AREA,3,1
AREA_EVENT_PER_AREA,4,1
AREA_TALK_BALLOON_VIEW_MSEC,5000,1
AREA_TALK_BALLOON_INTERVAL_MSEC,10000,1
CANDY_SCORE_BONUS_NUMERATOR,1,1
CANDY_SCORE_BONUS_DENOMINATOR,6,1
CANDY_ADJUST_NUMBER,50,1
PICK_SCORE_BONUS_NUMERATOR,1,1
PICK_SCORE_BONUS_DENOMINATOR,6,1
PICK_ADJUST_NUMBER,50,1
EVENT_COIN_SCORE_BONUS_NUMERATOR,1,1
EVENT_COIN_SCORE_BONUS_DENOMINATOR,6,1
EVENT_COIN_ADJUST_NUMBER,50,1
EVENT_HOMEWORK_CLEAR_BONUS,2,1
MAX_LOTTERY_BOX_DRAW_COUNT,10,1
EVENT_TOP_LIVE2D_EVENT_TALK_PERCENT,70,1
