_id,_infoText,_detailText,_masterReleaseLabelId
1110011,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223081501
1110012,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223083107
1110013,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223091501
1110014,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223093001
1110015,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223101505
1110016,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223103107
1110017,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223111501
1110018,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223113008
1110019,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223121513
1110020,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223123107
1110021,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",224011508
1110022,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",224013108
1110023,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",224021409
1110024,Normal Scout,"All members in a Normal Scout are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Normal] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",224030120
2110001,Spotlight Scout: Out on the Town,"All members in Spotlight Scout: Out on the Town are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Out on the Town] Scout points according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223043002
2110002,Spotlight Scout: Shopping Streets,"All members in Spotlight Scout: Shopping Streets are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Shopping Streets] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223051502
2110003,Spotlight Scout: Live in Nature,"All members in Spotlight Scout: Live in Nature are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Live in Nature] according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223053102
2110004,Spotlight Scout: Glittering Dancers,"All members in Spotlight Scout: Glittering Dancers are of rarities R and above.<br>1 Scout can be performed by using 300 Love Gems.<br>10 Scouts can be performed by using 3,000 Love Gems and guarantees at least one member of rarity SR or above.<br>1 paid Scout can be performed just once each day by using 150 Paid Love Gems.<br><br>If a member that has already been recruited is Scouted, they will automatically be converted to Light Sticks.<br>*Converted Light Sticks are directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Light Sticks, they will be sent to the present box.<br>*The number of Light Sticks obtained will depend on the rarity of the member.<br>- UR: 500<br>- SR: 50<br>- R: 20<br><br>Also, you will obtain Scout Points [Glittering Dancers] Scout points according to the number of members that appear.<br>Scout points obtained can be exchanged for members, items, and more at the exchange shop.<br><br>Scout points that are not exchanged during the Scout period will automatically be converted to Skill Notebooks (M) when the Scout ends.<br>*Converted Skill Notebooks (M) will be directly added to your items instead of being sent to the present box.<br>*If you have already reached the item limit for Skill Notebooks (M), they will be sent to the present box.",223061502
