_masterMusicId,_valueList,_masterReleaseLabelId
1081,"147,294,441,588",1
1082,"154,308,463,617",1
1083,"113,225,338,450",1
1084,"141,282,424,565",1
1085,"88,177,265,354",1
1086,"212,424,637,849",1
1087,"120,240,360,480",1
1088,"128,256,383,511",1
1089,"190,380,569,759",1
1090,"126,251,377,502",1
1091,"144,288,431,575",1
1092,"97,194,290,387",1
1093,"115,230,345,460",1
1094,"88,175,263,350",1
1095,"173,346,520,693",1
1096,"120,240,360,480",1
1097,"164,328,493,657",1
1098,"91,183,274,366",1
1099,"125,251,376,502",1
1100,"150,300,450,600",1
1101,"162,324,485,647",1
1102,"161,322,483,644",1
1103,"106,212,317,423",1
1104,"157,314,472,629",1
1105,"133,267,400,534",1
1106,"162,323,485,646",1
1107,"168,336,505,673",1
1108,"165,329,494,658",1
1109,"139,278,416,555",1
1110,"141,283,424,566",1
1111,"102,204,305,407",1
1112,"183,366,549,732",1
1113,"140,281,421,562",1
1114,"162,325,487,650",1
1115,"163,326,489,652",1
1116,"137,274,411,548",1
1117,"199,397,596,794",1
1118,"145,290,434,579",1
1119,"126,252,377,503",1
1120,"147,294,441,588",1
1121,"163,325,488,650",1
1123,"132,263,395,526",1
1124,"135,270,406,541",1
1126,"175,349,524,698",1
1127,"146,292,439,585",1
1128,"128,256,384,512",1
1129,"147,294,441,588",1
1130,"148,295,443,590",1
1131,"92,183,275,366",1
1132,"106,212,319,425",224012901
1133,"130,260,390,520",224012901
1134,"123,246,368,491",224012901
1135,"92,184,277,369",224012901
1136,"94,188,281,375",224012901
1137,"92,184,277,369",224012901
1138,"106,212,317,423",224012901
1139,"150,299,449,598",224012901
1140,"128,257,385,514",224012901
2001,"158,316,475,633",1
2002,"114,229,343,458",1
2003,"118,236,353,471",1
2004,"69,138,208,277",1
2005,"123,247,370,494",1
2006,"75,150,224,299",1
2007,"99,198,296,395",1
2008,"75,149,224,298",1
2009,"67,134,200,267",1
2010,"74,148,223,297",1
2011,"100,200,300,400",1
2012,"104,207,311,414",1
2013,"88,176,263,351",1
2014,"87,175,262,350",1
2015,"137,274,412,549",1
2016,"74,147,221,294",1
2017,"91,182,273,364",1
2018,"88,176,263,351",1
2019,"76,153,229,306",1
2020,"76,152,228,304",1
2021,"99,198,298,397",1
2022,"83,167,250,334",1
2023,"87,174,261,348",1
2024,"96,192,287,383",1
2025,"90,179,269,358",1
2026,"86,172,257,343",1
2027,"91,183,274,366",1
2028,"81,162,243,324",1
2029,"131,261,392,522",1
2030,"125,250,376,501",1
2031,"143,286,430,573",1
2032,"146,291,437,582",1
2033,"168,336,504,672",1
2034,"135,270,404,539",1
2035,"145,289,434,578",1
2036,"151,302,452,603",1
2037,"146,291,437,582",1
2038,"151,303,454,606",1
2039,"180,360,540,720",1
2040,"156,312,468,624",1
2041,"108,217,325,434",1
2042,"154,307,461,614",1
2043,"125,250,376,501",1
2044,"138,277,415,554",1
2045,"127,254,380,507",1
2046,"139,278,418,557",1
2047,"109,219,328,438",1
2048,"159,318,478,637",1
2049,"200,401,601,802",1
2050,"188,376,565,753",1
2051,"200,400,599,799",1
2052,"160,320,481,641",1
2053,"150,299,449,598",1
2054,"131,261,392,522",1
2055,"150,299,449,598",1
2056,"162,325,487,650",1
2057,"119,238,357,476",1
2058,"134,267,401,534",1
2059,"122,243,365,486",1
2060,"99,199,298,398",1
2061,"108,215,323,430",1
2062,"192,384,577,769",1
2063,"129,258,386,515",1
2064,"121,243,364,486",1
2065,"133,266,400,533",1
2066,"108,215,323,430",1
2067,"159,318,478,637",1
2068,"139,278,418,557",1
2069,"144,289,433,578",1
2070,"115,229,344,458",1
2071,"111,222,334,445",1
2072,"125,250,375,500",1
2073,"123,246,370,493",1
2074,"158,315,473,630",1
2075,"122,245,367,490",1
2076,"88,176,264,352",1
2077,"187,373,560,746",1
2078,"142,284,425,567",1
2079,"159,318,477,636",1
2080,"126,252,378,504",1
2081,"171,342,512,683",1
2082,"139,278,417,556",1
2083,"144,289,433,578",1
2084,"129,258,386,515",1
2086,"154,309,463,618",1
2087,"137,274,412,549",1
2088,"178,356,533,711",1
2089,"150,300,449,599",1
2090,"121,241,362,482",1
2091,"133,265,398,530",1
2092,"114,227,341,454",1
2093,"155,311,466,622",1
2094,"133,266,400,533",1
2095,"161,322,483,644",1
2096,"136,272,409,545",1
2097,"123,246,369,492",1
2098,"131,263,394,526",1
2099,"118,236,353,471",1
2100,"108,216,323,431",1
2101,"89,178,267,356",1
2102,"143,287,430,574",1
2103,"134,267,401,534",1
2104,"158,317,475,634",1
2105,"119,237,356,474",1
2106,"89,178,266,355",1
2107,"152,305,457,610",1
2108,"106,212,318,424",1
2109,"154,308,461,615",1
2111,"164,328,492,656",1
2112,"100,200,300,400",1
2113,"200,400,599,799",1
2114,"95,190,285,380",1
2115,"128,257,385,514",1
2116,"138,276,415,553",1
2117,"114,228,343,457",1
2118,"164,328,492,656",1
2119,"138,276,415,553",1
2120,"114,227,341,454",1
2121,"153,306,459,612",1
2122,"165,330,496,661",1
2123,"157,315,472,630",1
2124,"158,316,473,631",1
2125,"135,270,406,541",1
2126,"102,204,306,408",1
2127,"115,230,346,461",1
2128,"126,251,377,502",1
2129,"105,211,316,422",1
2130,"73,146,218,291",1
2131,"131,262,392,523",1
2132,"87,174,261,348",1
2133,"142,284,426,568",1
2134,"112,224,337,449",1
2135,"133,265,398,530",1
2136,"87,174,261,348",1
2137,"73,146,219,292",1
2138,"103,206,309,412",1
2142,"139,278,416,555",1
2143,"93,186,280,373",1
2144,"103,207,310,414",1
2145,"132,265,397,530",1
2146,"128,256,384,512",1
2147,"100,200,299,399",1
2148,"89,179,268,358",1
2149,"75,149,224,298",1
2150,"94,188,283,377",1
2151,"89,178,267,356",1
2152,"78,156,233,311",1
2153,"99,197,296,394",1
2154,"86,173,259,346",1
2156,"71,142,214,285",1
2157,"95,190,286,381",1
2158,"120,240,360,480",1
2159,"73,145,218,290",1
2160,"60,120,181,241",1
2161,"85,170,255,340",1
2162,"102,204,305,407",1
2163,"89,178,268,357",1
2164,"95,191,286,382",1
2165,"169,338,507,676",1
2166,"77,154,230,307",223061105
2167,"72,143,215,286",223071001
2168,"78,156,234,312",223071001
2169,"59,118,177,236",223100303
2170,"52,104,157,209",223100303
2171,"89,178,268,357",223100303
2172,"81,162,243,324",1
2173,"76,152,228,304",1
2174,"106,213,319,426",1
2175,"88,176,265,353",223100303
2176,"172,345,517,690",224012901
2177,"149,299,448,598",224012901
2178,"112,225,337,450",224012901
2179,"137,274,412,549",224012901
2180,"134,268,402,536",224012901
2181,"119,239,358,478",224012901
3001,"46,92,138,184",1
3002,"99,198,296,395",1
3003,"93,186,279,372",1
3004,"86,172,259,345",1
3005,"81,161,242,322",1
3006,"97,195,292,390",1
3007,"60,120,179,239",1
3008,"75,149,224,298",1
3009,"74,148,221,295",1
3010,"66,132,197,263",1
3011,"59,117,176,234",1
3012,"65,130,195,260",1
3013,"118,235,353,470",1
3014,"102,204,305,407",1
3015,"80,160,240,320",1
3016,"89,178,268,357",1
3017,"86,172,258,344",1
3018,"83,167,250,334",1
3019,"97,195,292,390",1
3020,"80,159,239,318",1
3021,"80,160,240,320",1
3022,"101,201,302,402",1
3023,"82,164,246,328",1
3024,"75,149,224,298",1
3025,"106,213,319,426",1
3026,"96,192,288,384",1
3027,"110,220,331,441",1
3028,"76,151,227,302",1
3029,"74,148,223,297",1
3030,"91,181,272,362",1
3031,"60,119,179,238",1
3032,"53,106,158,211",1
3034,"90,180,270,360",1
3035,"94,188,281,375",1
3036,"80,160,240,320",1
3037,"68,137,205,274",1
3038,"74,147,221,294",1
3039,"75,150,226,301",1
3040,"107,214,321,428",1
3041,"81,162,242,323",1
3042,"83,167,250,334",1
3043,"68,137,205,274",1
3044,"83,167,250,334",1
3045,"90,179,269,358",1
3046,"75,151,226,302",1
3047,"88,176,263,351",1
3048,"99,197,296,394",1
3049,"103,205,308,410",1
3050,"85,169,254,338",1
3051,"67,134,202,269",1
3052,"76,152,228,304",1
3053,"80,160,240,320",1
3054,"78,156,235,313",1
3055,"91,182,273,364",1
3056,"81,163,244,326",1
3057,"67,133,200,266",1
3058,"62,125,187,250",1
3059,"85,170,256,341",1
3060,"59,119,178,238",1
3061,"82,164,246,328",1
3062,"91,183,274,366",1
3063,"73,146,218,291",1
3064,"85,171,256,342",1
3065,"87,174,260,347",1
3066,"77,155,232,310",1
3067,"78,157,235,314",1
3068,"82,164,246,328",1
3069,"75,150,225,300",1
3070,"106,212,318,424",1
3071,"82,163,245,326",1
3072,"80,161,241,322",1
3073,"64,128,191,255",1
3074,"89,177,266,354",1
3075,"88,175,263,350",1
3076,"76,152,228,304",1
3077,"94,188,282,376",1
3078,"84,168,252,336",1
3079,"92,184,275,367",1
3080,"88,176,264,352",1
3081,"97,195,292,390",1
3082,"76,152,228,304",1
3083,"109,218,328,437",1
3084,"86,172,259,345",1
3085,"86,172,257,343",1
3086,"82,164,246,328",1
3087,"97,194,291,388",1
3088,"132,264,396,528",1
3089,"119,238,358,477",1
3090,"81,162,243,324",1
3091,"80,160,241,321",1
3092,"60,120,180,240",1
3094,"85,170,254,339",1
3095,"91,183,274,366",1
3096,"81,163,244,326",1
3097,"55,109,164,218",1
3098,"94,188,282,376",1
3099,"53,106,160,213",1
3100,"89,178,268,357",1
3101,"67,134,202,269",1
3102,"57,115,172,230",1
3103,"54,109,163,218",1
3104,"82,165,247,330",1
3105,"70,140,210,280",1
3106,"87,174,261,348",1
3107,"110,219,329,438",1
3108,"100,200,299,399",1
3109,"74,148,221,295",1
3110,"122,244,366,488",1
3111,"71,143,214,286",1
3112,"74,148,221,295",1
3113,"75,151,226,302",1
3114,"104,208,313,417",1
3115,"89,178,268,357",1
3116,"86,172,259,345",1
3117,"84,168,252,336",1
3118,"88,176,263,351",1
3119,"93,186,279,372",1
3121,"95,190,285,380",1
3122,"83,167,250,334",1
3123,"85,171,256,342",1
3124,"98,195,293,390",1
3125,"87,174,261,348",1
3126,"89,178,268,357",1
3127,"85,171,256,342",1
3128,"85,171,256,342",1
3129,"85,171,256,342",1
3134,"90,180,270,360",223063007
3135,"111,221,332,442",223060801
3136,"77,154,231,308",223060801
3137,"62,124,185,247",223063007
3138,"69,138,207,276",223071001
3139,"74,148,222,296",223071001
3140,"109,218,327,436",223083101
3141,"70,141,211,282",223090602
3142,"90,180,269,359",223090602
3143,"70,140,211,281",223090602
3144,"75,150,224,299",223090602
3145,"75,149,224,298",223090602
3146,"88,176,264,352",223090602
3147,"93,186,280,373",223090602
3148,"81,162,243,324",223090602
3149,"54,109,163,218",223090602
3150,"77,154,231,308",223090602
3151,"93,186,279,372",223090602
3152,"72,143,215,286",223090602
3153,"164,328,492,656",223100402
3154,"113,226,340,453",224010111
3155,"130,261,391,522",224010111
4001,"77,155,232,310",1
4002,"114,227,341,454",1
4003,"129,257,386,514",1
4004,"89,178,267,356",1
4005,"142,284,425,567",1
4006,"109,218,328,437",1
4007,"25,51,76,102",1
4008,"106,212,319,425",1
4009,"75,150,224,299",1
4010,"74,148,221,295",1
4011,"48,96,144,192",1
4012,"117,234,351,468",1
4013,"79,159,238,318",1
4014,"79,158,236,315",1
4015,"80,160,240,320",1
4016,"70,140,209,279",1
4017,"76,151,227,302",1
4018,"83,165,248,330",1
4019,"27,54,81,108",1
4020,"141,282,422,563",1
4021,"36,73,109,146",1
4022,"129,257,386,514",1
4023,"102,204,307,409",1
4024,"138,275,413,550",1
4025,"32,64,97,129",1
4026,"41,81,122,162",1
4027,"63,127,190,254",1
4028,"59,118,177,236",1
4030,"110,221,331,442",1
4031,"138,276,414,552",1
4032,"145,290,436,581",1
4033,"74,148,222,296",1
4034,"121,242,364,485",1
4035,"76,152,227,303",1
4036,"73,147,220,294",1
4037,"169,337,506,674",1
4038,"95,190,286,381",1
4039,"68,135,203,270",1
4040,"109,218,327,436",1
4041,"89,179,268,358",1
4042,"46,93,139,186",1
4043,"106,212,319,425",1
4044,"112,225,337,450",1
4045,"60,120,181,241",1
4046,"102,204,306,408",1
4047,"57,114,172,229",1
4048,"145,289,434,578",1
4049,"64,128,191,255",1
4050,"106,213,319,426",1
4051,"79,158,236,315",1
4052,"119,238,356,475",1
4053,"116,232,348,464",1
4054,"163,326,489,652",1
4055,"153,307,460,614",1
4056,"129,258,388,517",1
4057,"152,304,455,607",1
4059,"75,150,224,299",223063007
4060,"42,84,127,169",1
4061,"50,100,150,200",1
4064,"53,106,158,211",1
4065,"142,284,427,569",1
4066,"83,167,250,334",1
4067,"82,164,245,327",1
4068,"78,156,233,311",1
4069,"74,148,221,295",1
4071,"113,226,338,451",1
4073,"66,132,199,265",1
4074,"62,124,187,249",1
4075,"62,124,185,247",1
4076,"56,112,167,223",1
4077,"63,126,189,252",1
4078,"67,134,202,269",1
4079,"52,104,156,208",1
4080,"64,128,193,257",1
4081,"44,88,133,177",1
4082,"31,62,92,123",1
4083,"61,122,182,243",1
4084,"31,63,94,126",1
4085,"40,80,120,160",1
4086,"43,86,128,171",1
4087,"42,85,127,170",1
4088,"61,122,183,244",1
4089,"69,138,207,276",1
4090,"63,125,188,250",1
4091,"87,174,262,349",1
4092,"73,147,220,294",1
4094,"61,121,182,242",223071001
4095,"73,146,220,293",223071001
4096,"60,120,180,240",223071001
4097,"45,90,134,179",223071001
4098,"79,158,237,316",223071001
4099,"58,116,174,232",223071001
4100,"59,118,176,235",223081402
4101,"75,150,225,300",223081402
4102,"76,151,227,302",223081402
4103,"79,158,238,317",223081402
4104,"53,105,158,210",223081402
4105,"77,154,231,308",223081402
4106,"68,137,205,274",223061105
4107,"101,201,302,402",223061105
4108,"93,186,280,373",223101301
4110,"86,172,258,344",223091002
4111,"77,154,230,307",223101301
4112,"78,156,235,313",223110801
4113,"63,126,188,251",223101301
4114,"63,126,190,253",223110801
4115,"54,108,162,216",223101301
4116,"67,134,201,268",223110801
4117,"127,254,380,507",224012006
4118,"82,165,247,330",224012006
4119,"147,294,440,587",224021202
5001,"103,205,308,410",1
5002,"114,228,341,455",1
5003,"76,152,227,303",1
5004,"91,182,274,365",223053107
5005,"75,150,224,299",223053107
5006,"113,226,340,453",223053107
5007,"81,162,243,324",223053107
5008,"82,164,247,329",223053107
5009,"78,156,233,311",223053107
5010,"89,178,267,356",223061507
5011,"85,170,254,339",223061507
5012,"85,170,254,339",223061507
5013,"61,121,182,242",223061507
5014,"85,170,256,341",1
5015,"74,148,221,295",1
5016,"98,196,294,392",223081102
5017,"102,204,306,408",1
5018,"86,172,257,343",223111507
5019,"112,224,336,448",223111507
5020,"90,180,271,361",223111507
5021,"64,127,191,254",223111507
5022,"94,187,281,374",223120504
5023,"68,136,204,272",223120504
5024,"112,225,337,450",224011107
5025,"108,217,325,434",223120108
5026,"63,126,188,251",223120108
5027,"102,205,307,410",224011107
5028,"57,114,170,227",224011107
5029,"82,163,245,326",223120108
5030,"91,182,274,365",224011107
5031,"106,212,319,425",223120108
6001,"69,137,206,274",223060801
6002,"81,162,244,325",223070301
6003,"77,153,230,306",223062602
6004,"106,212,319,425",223071001
6005,"66,133,199,266",223071701
6006,"62,123,185,246",223073107
6007,"111,221,332,442",223081402
6008,"81,162,243,324",223091102
6009,"68,136,204,272",223080703
6010,"75,151,226,302",223091801
6011,"89,179,268,358",223121802
6012,"70,141,211,282",223121802
9001,"96,193,289,386",1
9002,"78,156,234,312",1
9003,"86,172,257,343",1
9004,"89,178,267,356",1
9005,"81,162,243,324",223050801
9006,"67,133,200,266",223052603
9007,"74,147,221,294",223050801
9008,"52,103,155,206",223052603
9009,"71,142,213,284",223052603
9010,"74,148,222,296",223052603
9011,"66,131,197,262",223052603
9012,"51,102,152,203",223052603
9013,"63,126,189,252",223052603
9014,"108,215,323,430",223052603
9015,"45,90,136,181",223052603
9016,"50,100,150,200",223052603
9017,"55,110,165,220",223052603
9018,"99,197,296,394",223050801
9019,"82,163,245,326",223052603
9020,"56,111,167,222",223052603
9021,"74,148,222,296",223052603
9022,"56,112,169,225",223052603
9023,"33,65,98,130",223052603
9024,"79,158,236,315",223052603
9025,"56,112,167,223",223052603
9026,"46,92,137,183",223052603
9027,"50,100,149,199",223052603
9028,"91,182,273,364",223052603
9029,"69,139,208,278",223052603
9030,"90,179,269,358",223050801
9031,"87,174,262,349",223050801
9032,"130,259,389,518",223111507
