_id,_name,_category,_effectType,_effectConditionValue,_effectValue,_extraEffectValue,_effectDetail,_wayToUse,_wayToGet,_price,_spriteName,_itemTab,_priority,_expireDate,_itemExpireType,_masterReleaseLabelId
15010013,"10x Normal Scout Ticket (Available until 11:59AM on August 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,13,,0,223081501
15010014,"1x Normal Scout Ticket (Available until 11:59AM on September 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,14,,0,223083107
15010015,"10x Normal Scout Ticket (Available until 11:59AM on September 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,15,,0,223083107
15010016,"1x Normal Scout Ticket (Available until 11:59AM on September 30th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,16,,0,223091501
15010017,"10x Normal Scout Ticket (Available until 11:59AM on September 30th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,17,,0,223091501
15010018,"1x Normal Scout Ticket (Available until 11:59AM on October 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,18,,0,223093001
15010019,"10x Normal Scout Ticket (Available until 11:59AM on October 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,19,,0,223093001
15010020,"1x Normal Scout Ticket (Available until 11:59AM on October 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,20,,0,223101505
15010021,"10x Normal Scout Ticket (Available until 11:59AM on October 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,21,,0,223101505
15010022,"1x Normal Scout Ticket (Available until 11:59AM on November 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,22,,0,223092302
15010023,"1x Normal Scout Ticket (Available until 11:59AM on November 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,23,,0,223103107
15010024,"10x Normal Scout Ticket (Available until 11:59AM on November 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,24,,0,223103107
15010025,"1x Normal Scout Ticket (Available until 07:59AM on March 15th, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,25,,0,223111501
15010026,"10x Normal Scout Ticket (Available until 07:59AM on March 15th, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,26,,0,223111501
15010027,"1x Normal Scout Ticket (Available until 11:59AM on November 15th, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,27,,0,223102506
15010028,"1x Normal Scout Ticket (Available until 07:59AM on March 30th, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,28,,0,223113008
15010029,"10x Normal Scout Ticket (Available until 07:59AM on March 30th, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,29,,0,223113008
15010030,"1x Normal Scout Ticket (Available until 07:59AM on April 15th, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,30,,0,223121513
15010031,"10x Normal Scout Ticket (vailable until 07:59AM on April 15th, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,31,,0,223121513
15010032,"1x Normal Scout Ticket (Available until 11:59AM on December 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,32,,0,223120804
15010033,"10x Normal Scout Ticket (Available until 11:59AM on December 31st, 2023)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,33,,0,223120804
15010034,"1x Normal Scout Ticket (Available until 07:59AM on April  30, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,34,,0,223123107
15010035,"10x Normal Scout Ticket (Available until 07:59AM on April  30, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,35,,0,223123107
15010036,"1x Normal Scout Ticket (Available until 07:59AM on May 15, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,36,,0,224011508
15010037,"10x Normal Scout Ticket (Available until 07:59AM on May 15, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,37,,0,224011508
15010038,"1x Normal Scout Ticket (Available until 05:59AM on May 31, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,38,,0,224013108
15010039,"10x Normal Scout Ticket (Available until 05:59AM on May 31, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,39,,0,224013108
15010040,"1x Normal Scout Ticket (Available until 05:59AM on May 31, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout once via Normal Scout.,用途ダミー,入手先ダミー,0,15010006,3,40,,0,224020109
15010041,"10x Normal Scout Ticket (Available until 05:59AM on May 31, 2024)",9,6,0,0,0,A ticket used to Scout.<br>Allows you to Scout 10 times via Normal Scout.,用途ダミー,入手先ダミー,0,15010003,3,41,,0,224020109
15020001,10x Scout Ticket (School Idol Festival 2 Super Thanks),9,6,0,0,0,A ticket used to Scout in School Idol Festival 2 Super Thanks Scouting.<br>Allows you to Scout 10 times.,用途ダミー,入手先ダミー,0,15010003,3,100,,0,224030118
15500001,Release Celebration Scout points,1,0,0,0,0,Points obtained from the Release Celebration Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223041501
15500002,Harajuku Liella! After School ♡ Scout Points,1,0,0,0,0,Points obtained from Spotlight Scout: Harajuku Liella! After School ♡.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223041901
15510004,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by May 15th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223043001
15510005,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by May 31st.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223051501
15510006,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by June 19th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223053101
15510007,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by June 30th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223061501
15510008,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by July 15th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223063001
15510009,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by July 31st.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223071502
15510010,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by August 15th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223073101
15510011,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by August 31st.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223081501
15510012,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by September 15th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223083107
15510013,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by September 30th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223091501
15510014,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by October 15th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223093001
15510015,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by October 31st.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223101505
15510016,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by November 15th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223103107
15510017,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by November 30th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223111501
15510018,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by December 15th.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223113008
15510019,Scout Points (Normal),1,0,0,0,0,"Points obtained through ""Normal Scout""</br>can be exchanged for various club members and items.</br>After the expiration date, it will be converted to Skill Notebook (Medium).</br> ※The deadline for conversion of this point is December 31.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,223121513
15510020,Scout Points (Normal),1,0,0,0,0,"Points obtained through ""Normal Scout""</br>can be exchanged for various club members and items.</br>After the expiration date, it will be converted to Skill Notebook (Medium).</br> ※The deadline for conversion of this point is January 15.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,223123107
15510021,Scout Points (Normal),1,0,0,0,0,"Points obtained through ""Normal Scout""</br>can be exchanged for various club members and items.</br> After the expiration date, it will be converted to Skill Notebook (Medium).</br> ※The deadline for conversion of this point is January 31.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,224011508
15510022,Scout Points (Normal),1,0,0,0,0,"Points obtained through ""Normal Scout""</br>can be exchanged for various club members and items.</br> After the expiration date, it will be converted to Skill Notebook (Medium).</br> ※The deadline for conversion of this point is February 14.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,224013108
15510023,Scout Points (Normal),1,0,0,0,0,"Points obtained through ""Normal Scout""</br>can be exchanged for various club members and items.</br> After the expiration date, it will be converted to Skill Notebook (Medium).</br> ※The deadline for conversion of this point is March 1.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,224021409
15510024,Scout Points (Normal),1,0,0,0,0,Points obtained from Normal Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.<br>*These points must be exchanged by March 31st.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224030120
15520001,Scout Points (Out on the Town),1,0,0,0,0,Points obtained from Spotlight Scout: Out on the Town.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223043002
15520002,Scout Points (Shopping Streets),1,0,0,0,0,Points obtained from Spotlight Scout: Shopping Streets.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223051502
15520003,Scout Points (Live in Nature),1,0,0,0,0,Points obtained from Spotlight Scout: Live in Nature.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223053102
15520004,Scout Points (Glittering Dancers),1,0,0,0,0,Points obtained from Spotlight Scout: Glittering Dancers.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223061502
15520005,Scout Points (Sunny Summer Camp),1,0,0,0,0,Points obtained from Spotlight Scout: Sunny Summer Camp.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223063002
15520006,Scout Points (Midsummer Mermaid),1,0,0,0,0,Points obtained from Spotlight Scout: Midsummer Mermaid.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223071503
15520007,Scout Points (Summer Beach Run),1,0,0,0,0,Points obtained from Spotlight Scout: Summer Beach Run.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223073102
15520008,Scout Points (Flowers Bloom in the Summer Night),1,0,0,0,0,Points obtained from Spotlight Scout: Flowers Bloom in the Summer Night.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223081502
15520009,Scout Points (Moonlight Silvergrass),1,0,0,0,0,Points obtained from Spotlight Scout: Moonlight Silvergrass.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223083102
15520010,Scout Points (Wandering Yukata),1,0,0,0,0,Points obtained from Spotlight Scout: Wandering Yukata.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223091502
15520011,Scout Points (Trick or Treat!),1,0,0,0,0,Points obtained from Spotlight Scout: Trick or Treat!<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223093002
15520012,Scout Points: Sunny Marching Band:,1,0,0,0,0,Points obtained from Spotlight Scout: Sunny Marching Band.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after exchange period.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223103108
15520013,Scout Points: Kitty Cat 🐾 Maids,1,0,0,0,0,Points obtained from Spotlight Scout: Kitty Cat 🐾 Maids.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after exchange period.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223111502
15520014,Scout Points: Everyone's Merry Christmas!,1,0,0,0,0,Points obtained from the Spotlight Scout: Everyone's Merry Christmas!<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223113009
15520015,Scout Points [Santa Claus at Snow Festival]),1,0,0,0,0,Points obtained through the Pickup Scout: Santa Claus of Snow Festival!<br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223121505
15520016,Scout Points [Happy New Year to Everyone!],1,0,0,0,0,Points obtained through the Pickup Scout: Happy New Year to everyone<br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223123102
15520017,Scout Points [Fairy on Ice],1,0,0,0,0,Points obtained through the Pickup Scout: Fairy on Ice<br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224011502
15520018,Scout Points [Maiden Trapped in Love],1,0,0,0,0,Points obtained through the Pickup Scout: Maiden Trapped in Love <br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224013102
15520019,Scout Points [Night of the Hundred Demons],1,0,0,0,0,Points obtained through the Pickup Scout: Night of the Hundred Demons<br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224021402
15520020,Scout Points (Y2K♡GALS),1,0,0,0,0,Points obtained from the Spotlight Scout: Y2K♡GALS.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224030102
15530001,Scout Points (Kanon's Birthday),1,0,0,0,0,Points obtained from Kanon's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223050101
15530002,Scout Points (Ai's Birthday),1,0,0,0,0,Points obtained from Ai's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223053001
15530003,Scout Points (Nozomi's Birthday),1,0,0,0,0,Points obtained from Nozomi's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223060901
15530004,Scout Points (Mari's Birthday),1,0,0,0,0,Points obtained from Mari's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223061301
15530005,Scout Points (Shiki's Birthday),1,0,0,0,0,Points obtained from Shiki's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223061701
15530006,Scout Points (Karin's Birthday),1,0,0,0,0,Points obtained from Karin's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223062901
15530007,Scout Points (Yoshiko's Birthday),1,0,0,0,0,Points obtained from Yoshiko's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223071301
15530008,Scout Points (Keke's Birthday),1,0,0,0,0,Points obtained from Keke's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223071702
15530009,Scout Points (Nico's Birthday),1,0,0,0,0,Points obtained from Nico's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223072201
15530010,Scout Points (Chika's Birthday),1,0,0,0,0,Points obtained from Chika's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223080102
15530011,Scout Points (Honoka's Birthday),1,0,0,0,0,Points obtained from Honoka's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223080303
15530012,Scout Points (Natsumi's Birthday),1,0,0,0,0,Points obtained from Natsumi's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223080701
15530013,Scout Points (Setsuna's Birthday),1,0,0,0,0,Points obtained from Setsuna's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223080801
15530014,Scout Points (Kotori's Birthday),1,0,0,0,0,Points obtained from Kotori's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223091201
15530015,Scout Points (Riko's Birthday),1,0,0,0,0,Points obtained from Riko's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223091901
15530016,Scout Points (Ruby's Birthday),1,0,0,0,0,Points obtained from Ruby's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223092101
15530017,Scout Points (Sumire's Birthday),1,0,0,0,0,Points obtained from Sumire's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223092801
15530018,Scout Points (Shioriko's Birthday),1,0,0,0,0,Points obtained from Shioriko's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223100502
15530019,Scout Points (Eli's Birthday),1,0,0,0,0,Points obtained from Eli's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223102101
15530020,Scout Points (Mei's Birthday),1,0,0,0,0,Points obtained from Mei's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223102901
15530021,Scout Points (Rin's Birthday),1,0,0,0,0,Points obtained from Rin's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223110101
15530022,Scout Points (Rina's Birthday),1,0,0,0,0,Points obtained from Rina's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223111301
15530023,Scout Points (Ren's Birthday),1,0,0,0,0,Points obtained from Ren's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223112401
15530024,Scout Points (Mia's Birthday),1,0,0,0,0,Points obtained from Mia's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223120601
15530025,Scout Points (Kanata's Birthday),1,0,0,0,0,Points obtained from Kanata's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223121601
15530026,Scout Points (Tomari's Birthday),1,0,0,0,0,Points obtained from Tomari's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223122801
15530027,Scout Points [Daiya's Birth Anniversary],1,0,0,0,0,Points obtained through Daiya's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224010103
15530028,Scout Points [Hanayo's Birth Anniversary],1,0,0,0,0,Points obtained through Hanayo's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224011702
15530029,Scout Points [Margarete's Birth Anniversary],1,0,0,0,0,Points obtained through Margarete's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224012002
