_id,_title,_detail,_type,_parentMasterMissionId,_conditionType,_conditionValues,_conditionNumber,_masterMissionRewardId,_priority,_masterReleaseLabelId
1105006,Clear 400 live shows.,Clear 400 live shows.,1,1105005,5,,400,131105006,99975,1
1105007,Clear 500 live shows.,Clear 500 live shows.,1,1105006,5,,500,131105007,99974,1
1105008,Clear 600 live shows.,Clear 600 live shows.,1,1105007,5,,600,131105008,99973,1
1105009,Clear 700 live shows.,Clear 700 live shows.,1,1105008,5,,700,131105009,99972,1
1105010,Clear 800 live shows.,Clear 800 live shows.,1,1105009,5,,800,131105010,99971,1
1105011,Clear 900 live shows.,Clear 900 live shows.,1,1105010,5,,900,131105011,99970,1
1105012,"Clear 1,000 live shows.","Clear 1,000 live shows.",1,1105011,5,,1000,131105012,99969,1
1105013,"Clear 2,000 live shows.","Clear 2,000 live shows.",1,1105012,5,,2000,131105013,99968,1
1105014,"Clear 3,000 live shows.","Clear 3,000 live shows.",1,1105013,5,,3000,131105014,99967,1
1105015,"Clear 4,000 live shows.","Clear 4,000 live shows.",1,1105014,5,,4000,131105015,99966,1
1105016,"Clear 5,000 live shows.","Clear 5,000 live shows.",1,1105015,5,,5000,131105016,99965,1
1105017,"Clear 10,000 live shows.","Clear 10,000 live shows.",1,1105016,5,,10000,131105017,99964,1
1101001,Reach Player Rank 10.,Reach Player Rank 10.,1,0,1,,10,131101001,99963,1
1101002,Reach Player Rank 20.,Reach Player Rank 20.,1,1101001,1,,20,131101002,99962,1
1101003,Reach Player Rank 30.,Reach Player Rank 30.,1,1101002,1,,30,131101003,99961,1
1101004,Reach Player Rank 40.,Reach Player Rank 40.,1,1101003,1,,40,131101004,99960,1
1101005,Reach Player Rank 50.,Reach Player Rank 50.,1,1101004,1,,50,131101005,99959,1
1101006,Reach Player Rank 60.,Reach Player Rank 60.,1,1101005,1,,60,131101006,99958,1
1101007,Reach Player Rank 70.,Reach Player Rank 70.,1,1101006,1,,70,131101007,99957,1
1101008,Reach Player Rank 80.,Reach Player Rank 80.,1,1101007,1,,80,131101008,99956,1
1101009,Reach Player Rank 90.,Reach Player Rank 90.,1,1101008,1,,90,131101009,99955,1
1101010,Reach Player Rank 100.,Reach Player Rank 100.,1,1101009,1,,100,131101010,99954,1
1101011,Reach Player Rank 110.,Reach Player Rank 110.,1,1101010,1,,110,131101011,99953,1
1101012,Reach Player Rank 120.,Reach Player Rank 120.,1,1101011,1,,120,131101012,99952,1
1101013,Reach Player Rank 130.,Reach Player Rank 130.,1,1101012,1,,130,131101013,99951,1
1101014,Reach Player Rank 140.,Reach Player Rank 140.,1,1101013,1,,140,131101014,99950,1
1101015,Reach Player Rank 150.,Reach Player Rank 150.,1,1101014,1,,150,131101015,99949,1
1101016,Reach Player Rank 160.,Reach Player Rank 160.,1,1101015,1,,160,131101016,99948,1
1101017,Reach Player Rank 170.,Reach Player Rank 170.,1,1101016,1,,170,131101017,99947,1
1101018,Reach Player Rank 180.,Reach Player Rank 180.,1,1101017,1,,180,131101018,99946,1
1101019,Reach Player Rank 190.,Reach Player Rank 190.,1,1101018,1,,190,131101019,99945,1
1101020,Reach Player Rank 200.,Reach Player Rank 200.,1,1101019,1,,200,131101020,99944,1
1101021,Reach Player Rank 210.,Reach Player Rank 210.,1,1101020,1,,210,131101021,99943,1
1101022,Reach Player Rank 220.,Reach Player Rank 220.,1,1101021,1,,220,131101022,99942,1
1101023,Reach Player Rank 230.,Reach Player Rank 230.,1,1101022,1,,230,131101023,99941,1
1101024,Reach Player Rank 240.,Reach Player Rank 240.,1,1101023,1,,240,131101024,99940,1
1101025,Reach Player Rank 250.,Reach Player Rank 250.,1,1101024,1,,250,131101025,99939,1
1101026,Reach Player Rank 260.,Reach Player Rank 260.,1,1101025,1,,260,131101026,99938,1
1101027,Reach Player Rank 270.,Reach Player Rank 270.,1,1101026,1,,270,131101027,99937,1
1101028,Reach Player Rank 280.,Reach Player Rank 280.,1,1101027,1,,280,131101028,99936,1
1101029,Reach Player Rank 290.,Reach Player Rank 290.,1,1101028,1,,290,131101029,99935,1
1101030,Reach Player Rank 300.,Reach Player Rank 300.,1,1101029,1,,300,131101030,99934,1
1114001,Level up a Club Member to Level 20 or higher.,Level up a Club Member to Level 20 or higher.,1,0,14,20,1,131114001,99933,1
1114002,Level up 2 Club Members to Level 20 or higher.,Level up 2 Club Members to Level 20 or higher.,1,1114001,14,20,2,131114002,99932,1
1114003,Level up 3 Club Members to Level 20 or higher.,Level up 3 Club Members to Level 20 or higher.,1,1114002,14,20,3,131114003,99931,1
1114004,Level up 4 Club Members to Level 20 or higher.,Level up 4 Club Members to Level 20 or higher.,1,1114003,14,20,4,131114004,99930,1
1114005,Level up 5 Club Members to Level 20 or higher.,Level up 5 Club Members to Level 20 or higher.,1,1114004,14,20,5,131114005,99929,1
1114006,Level up 6 Club Members to Level 20 or higher.,Level up 6 Club Members to Level 20 or higher.,1,1114005,14,20,6,131114006,99928,1
1114007,Level up 7 Club Members to Level 20 or higher.,Level up 7 Club Members to Level 20 or higher.,1,1114006,14,20,7,131114007,99927,1
1114008,Level up 8 Club Members to Level 20 or higher.,Level up 8 Club Members to Level 20 or higher.,1,1114007,14,20,8,131114008,99926,1
1114009,Level up 9 Club Members to Level 20 or higher.,Level up 9 Club Members to Level 20 or higher.,1,1114008,14,20,9,131114009,99925,1
1114010,Level up 10 Club Members to Level 20 or higher.,Level up 10 Club Members to Level 20 or higher.,1,1114009,14,20,10,131114010,99924,1
1114011,Level up 11 Club Members to Level 20 or higher.,Level up 11 Club Members to Level 20 or higher.,1,1114010,14,20,11,131114011,99923,1
1114012,Level up 12 Club Members to Level 20 or higher.,Level up 12 Club Members to Level 20 or higher.,1,1114011,14,20,12,131114012,99922,1
1114013,Level up 13 Club Members to Level 20 or higher.,Level up 13 Club Members to Level 20 or higher.,1,1114012,14,20,13,131114013,99921,1
1114014,Level up 14 Club Members to Level 20 or higher.,Level up 14 Club Members to Level 20 or higher.,1,1114013,14,20,14,131114014,99920,1
1114015,Level up 15 Club Members to Level 20 or higher.,Level up 15 Club Members to Level 20 or higher.,1,1114014,14,20,15,131114015,99919,1
1114016,Level up 16 Club Members to Level 20 or higher.,Level up 16 Club Members to Level 20 or higher.,1,1114015,14,20,16,131114016,99918,1
1114017,Level up 17 Club Members to Level 20 or higher.,Level up 17 Club Members to Level 20 or higher.,1,1114016,14,20,17,131114017,99917,1
1114018,Level up 18 Club Members to Level 20 or higher.,Level up 18 Club Members to Level 20 or higher.,1,1114017,14,20,18,131114018,99916,1
1114019,Level up 19 Club Members to Level 20 or higher.,Level up 19 Club Members to Level 20 or higher.,1,1114018,14,20,19,131114019,99915,1
1114020,Level up 20 Club Members to Level 20 or higher.,Level up 20 Club Members to Level 20 or higher.,1,1114019,14,20,20,131114020,99914,1
1114021,Level up 21 Club Members to Level 20 or higher.,Level up 21 Club Members to Level 20 or higher.,1,1114020,14,20,21,131114021,99913,1
1114022,Level up 22 Club Members to Level 20 or higher.,Level up 22 Club Members to Level 20 or higher.,1,1114021,14,20,22,131114022,99912,1
1114023,Level up 23 Club Members to Level 20 or higher.,Level up 23 Club Members to Level 20 or higher.,1,1114022,14,20,23,131114023,99911,1
1114024,Level up 24 Club Members to Level 20 or higher.,Level up 24 Club Members to Level 20 or higher.,1,1114023,14,20,24,131114024,99910,1
1114025,Level up 25 Club Members to Level 20 or higher.,Level up 25 Club Members to Level 20 or higher.,1,1114024,14,20,25,131114025,99909,1
1114026,Level up 26 Club Members to Level 20 or higher.,Level up 26 Club Members to Level 20 or higher.,1,1114025,14,20,26,131114026,99908,1
1114027,Level up 27 Club Members to Level 20 or higher.,Level up 27 Club Members to Level 20 or higher.,1,1114026,14,20,27,131114027,99907,1
1114028,Level up a Club Member to Level 40 or higher.,Level up a Club Member to Level 40 or higher.,1,1114001,14,40,1,131114028,99906,1
1114029,Level up 2 Club Members to Level 40 or higher.,Level up 2 Club Members to Level 40 or higher.,1,1114028,14,40,2,131114029,99905,1
1114030,Level up 3 Club Members to Level 40 or higher.,Level up 3 Club Members to Level 40 or higher.,1,1114029,14,40,3,131114030,99904,1
1114031,Level up 4 Club Members to Level 40 or higher.,Level up 4 Club Members to Level 40 or higher.,1,1114030,14,40,4,131114031,99903,1
1114032,Level up 5 Club Members to Level 40 or higher.,Level up 5 Club Members to Level 40 or higher.,1,1114031,14,40,5,131114032,99902,1
1114033,Level up 6 Club Members to Level 40 or higher.,Level up 6 Club Members to Level 40 or higher.,1,1114032,14,40,6,131114033,99901,1
1114034,Level up 7 Club Members to Level 40 or higher.,Level up 7 Club Members to Level 40 or higher.,1,1114033,14,40,7,131114034,99900,1
1114035,Level up 8 Club Members to Level 40 or higher.,Level up 8 Club Members to Level 40 or higher.,1,1114034,14,40,8,131114035,99899,1
1114036,Level up 9 Club Members to Level 40 or higher.,Level up 9 Club Members to Level 40 or higher.,1,1114035,14,40,9,131114036,99898,1
1114037,Level up 10 Club Members to Level 40 or higher.,Level up 10 Club Members to Level 40 or higher.,1,1114036,14,40,10,131114037,99897,1
1114038,Level up 11 Club Members to Level 40 or higher.,Level up 11 Club Members to Level 40 or higher.,1,1114037,14,40,11,131114038,99896,1
1114039,Level up 12 Club Members to Level 40 or higher.,Level up 12 Club Members to Level 40 or higher.,1,1114038,14,40,12,131114039,99895,1
1114040,Level up 13 Club Members to Level 40 or higher.,Level up 13 Club Members to Level 40 or higher.,1,1114039,14,40,13,131114040,99894,1
1114041,Level up 14 Club Members to Level 40 or higher.,Level up 14 Club Members to Level 40 or higher.,1,1114040,14,40,14,131114041,99893,1
1114042,Level up 15 Club Members to Level 40 or higher.,Level up 15 Club Members to Level 40 or higher.,1,1114041,14,40,15,131114042,99892,1
1114043,Level up 16 Club Members to Level 40 or higher.,Level up 16 Club Members to Level 40 or higher.,1,1114042,14,40,16,131114043,99891,1
1114044,Level up 17 Club Members to Level 40 or higher.,Level up 17 Club Members to Level 40 or higher.,1,1114043,14,40,17,131114044,99890,1
1114045,Level up 18 Club Members to Level 40 or higher.,Level up 18 Club Members to Level 40 or higher.,1,1114044,14,40,18,131114045,99889,1
1114046,Level up 19 Club Members to Level 40 or higher.,Level up 19 Club Members to Level 40 or higher.,1,1114045,14,40,19,131114046,99888,1
1114047,Level up 20 Club Members to Level 40 or higher.,Level up 20 Club Members to Level 40 or higher.,1,1114046,14,40,20,131114047,99887,1
1114048,Level up 21 Club Members to Level 40 or higher.,Level up 21 Club Members to Level 40 or higher.,1,1114047,14,40,21,131114048,99886,1
1114049,Level up 22 Club Members to Level 40 or higher.,Level up 22 Club Members to Level 40 or higher.,1,1114048,14,40,22,131114049,99885,1
1114050,Level up 23 Club Members to Level 40 or higher.,Level up 23 Club Members to Level 40 or higher.,1,1114049,14,40,23,131114050,99884,1
1114051,Level up 24 Club Members to Level 40 or higher.,Level up 24 Club Members to Level 40 or higher.,1,1114050,14,40,24,131114051,99883,1
1114052,Level up 25 Club Members to Level 40 or higher.,Level up 25 Club Members to Level 40 or higher.,1,1114051,14,40,25,131114052,99882,1
1114053,Level up 26 Club Members to Level 40 or higher.,Level up 26 Club Members to Level 40 or higher.,1,1114052,14,40,26,131114053,99881,1
1114054,Level up 27 Club Members to Level 40 or higher.,Level up 27 Club Members to Level 40 or higher.,1,1114053,14,40,27,131114054,99880,1
1114055,Level up a Club Member to Level 60 or higher.,Level up a Club Member to Level 60 or higher.,1,1114028,14,60,1,131114055,99879,1
1114056,Level up 2 Club Members to Level 60 or higher.,Level up 2 Club Members to Level 60 or higher.,1,1114055,14,60,2,131114056,99878,1
1114057,Level up 3 Club Members to Level 60 or higher.,Level up 3 Club Members to Level 60 or higher.,1,1114056,14,60,3,131114057,99877,1
1114058,Level up 4 Club Members to Level 60 or higher.,Level up 4 Club Members to Level 60 or higher.,1,1114057,14,60,4,131114058,99876,1
1114059,Level up 5 Club Members to Level 60 or higher.,Level up 5 Club Members to Level 60 or higher.,1,1114058,14,60,5,131114059,99875,1
1114060,Level up 6 Club Members to Level 60 or higher.,Level up 6 Club Members to Level 60 or higher.,1,1114059,14,60,6,131114060,99874,1
1114061,Level up 7 Club Members to Level 60 or higher.,Level up 7 Club Members to Level 60 or higher.,1,1114060,14,60,7,131114061,99873,1
1114062,Level up 8 Club Members to Level 60 or higher.,Level up 8 Club Members to Level 60 or higher.,1,1114061,14,60,8,131114062,99872,1
1114063,Level up 9 Club Members to Level 60 or higher.,Level up 9 Club Members to Level 60 or higher.,1,1114062,14,60,9,131114063,99871,1
1114064,Level up 10 Club Members to Level 60 or higher.,Level up 10 Club Members to Level 60 or higher.,1,1114063,14,60,10,131114064,99870,1
1114065,Level up 11 Club Members to Level 60 or higher.,Level up 11 Club Members to Level 60 or higher.,1,1114064,14,60,11,131114065,99869,1
1114066,Level up 12 Club Members to Level 60 or higher.,Level up 12 Club Members to Level 60 or higher.,1,1114065,14,60,12,131114066,99868,1
1114067,Level up 13 Club Members to Level 60 or higher.,Level up 13 Club Members to Level 60 or higher.,1,1114066,14,60,13,131114067,99867,1
1114068,Level up 14 Club Members to Level 60 or higher.,Level up 14 Club Members to Level 60 or higher.,1,1114067,14,60,14,131114068,99866,1
1114069,Level up 15 Club Members to Level 60 or higher.,Level up 15 Club Members to Level 60 or higher.,1,1114068,14,60,15,131114069,99865,1
1114070,Level up 16 Club Members to Level 60 or higher.,Level up 16 Club Members to Level 60 or higher.,1,1114069,14,60,16,131114070,99864,1
1114071,Level up 17 Club Members to Level 60 or higher.,Level up 17 Club Members to Level 60 or higher.,1,1114070,14,60,17,131114071,99863,1
1114072,Level up 18 Club Members to Level 60 or higher.,Level up 18 Club Members to Level 60 or higher.,1,1114071,14,60,18,131114072,99862,1
1114073,Level up 19 Club Members to Level 60 or higher.,Level up 19 Club Members to Level 60 or higher.,1,1114072,14,60,19,131114073,99861,1
1114074,Level up 20 Club Members to Level 60 or higher.,Level up 20 Club Members to Level 60 or higher.,1,1114073,14,60,20,131114074,99860,1
1114075,Level up 21 Club Members to Level 60 or higher.,Level up 21 Club Members to Level 60 or higher.,1,1114074,14,60,21,131114075,99859,1
1114076,Level up 22 Club Members to Level 60 or higher.,Level up 22 Club Members to Level 60 or higher.,1,1114075,14,60,22,131114076,99858,1
1114077,Level up 23 Club Members to Level 60 or higher.,Level up 23 Club Members to Level 60 or higher.,1,1114076,14,60,23,131114077,99857,1
1114078,Level up 24 Club Members to Level 60 or higher.,Level up 24 Club Members to Level 60 or higher.,1,1114077,14,60,24,131114078,99856,1
1114079,Level up 25 Club Members to Level 60 or higher.,Level up 25 Club Members to Level 60 or higher.,1,1114078,14,60,25,131114079,99855,1
1114080,Level up 26 Club Members to Level 60 or higher.,Level up 26 Club Members to Level 60 or higher.,1,1114079,14,60,26,131114080,99854,1
1114081,Level up 27 Club Members to Level 60 or higher.,Level up 27 Club Members to Level 60 or higher.,1,1114080,14,60,27,131114081,99853,1
1114082,Level up a Club Member to Level 80 or higher.,Level up a Club Member to Level 80 or higher.,1,1114055,14,80,1,131114082,99852,1
1114083,Level up 2 Club Members to Level 80 or higher.,Level up 2 Club Members to Level 80 or higher.,1,1114082,14,80,2,131114083,99851,1
1114084,Level up 3 Club Members to Level 80 or higher.,Level up 3 Club Members to Level 80 or higher.,1,1114083,14,80,3,131114084,99850,1
1114085,Level up 4 Club Members to Level 80 or higher.,Level up 4 Club Members to Level 80 or higher.,1,1114084,14,80,4,131114085,99849,1
1114086,Level up 5 Club Members to Level 80 or higher.,Level up 5 Club Members to Level 80 or higher.,1,1114085,14,80,5,131114086,99848,1
1114087,Level up 6 Club Members to Level 80 or higher.,Level up 6 Club Members to Level 80 or higher.,1,1114086,14,80,6,131114087,99847,1
1114088,Level up 7 Club Members to Level 80 or higher.,Level up 7 Club Members to Level 80 or higher.,1,1114087,14,80,7,131114088,99846,1
1114089,Level up 8 Club Members to Level 80 or higher.,Level up 8 Club Members to Level 80 or higher.,1,1114088,14,80,8,131114089,99845,1
1114090,Level up 9 Club Members to Level 80 or higher.,Level up 9 Club Members to Level 80 or higher.,1,1114089,14,80,9,131114090,99844,1
1114091,Level up 10 Club Members to Level 80 or higher.,Level up 10 Club Members to Level 80 or higher.,1,1114090,14,80,10,131114091,99843,1
1114092,Level up 11 Club Members to Level 80 or higher.,Level up 11 Club Members to Level 80 or higher.,1,1114091,14,80,11,131114092,99842,1
1114093,Level up 12 Club Members to Level 80 or higher.,Level up 12 Club Members to Level 80 or higher.,1,1114092,14,80,12,131114093,99841,1
1114094,Level up 13 Club Members to Level 80 or higher.,Level up 13 Club Members to Level 80 or higher.,1,1114093,14,80,13,131114094,99840,1
1114095,Level up 14 Club Members to Level 80 or higher.,Level up 14 Club Members to Level 80 or higher.,1,1114094,14,80,14,131114095,99839,1
1114096,Level up 15 Club Members to Level 80 or higher.,Level up 15 Club Members to Level 80 or higher.,1,1114095,14,80,15,131114096,99838,1
1114097,Level up 16 Club Members to Level 80 or higher.,Level up 16 Club Members to Level 80 or higher.,1,1114096,14,80,16,131114097,99837,1
1114098,Level up 17 Club Members to Level 80 or higher.,Level up 17 Club Members to Level 80 or higher.,1,1114097,14,80,17,131114098,99836,1
1114099,Level up 18 Club Members to Level 80 or higher.,Level up 18 Club Members to Level 80 or higher.,1,1114098,14,80,18,131114099,99835,1
1114100,Level up 19 Club Members to Level 80 or higher.,Level up 19 Club Members to Level 80 or higher.,1,1114099,14,80,19,131114100,99834,1
1114101,Level up 20 Club Members to Level 80 or higher.,Level up 20 Club Members to Level 80 or higher.,1,1114100,14,80,20,131114101,99833,1
1114102,Level up 21 Club Members to Level 80 or higher.,Level up 21 Club Members to Level 80 or higher.,1,1114101,14,80,21,131114102,99832,1
1114103,Level up 22 Club Members to Level 80 or higher.,Level up 22 Club Members to Level 80 or higher.,1,1114102,14,80,22,131114103,99831,1
1114104,Level up 23 Club Members to Level 80 or higher.,Level up 23 Club Members to Level 80 or higher.,1,1114103,14,80,23,131114104,99830,1
1114105,Level up 24 Club Members to Level 80 or higher.,Level up 24 Club Members to Level 80 or higher.,1,1114104,14,80,24,131114105,99829,1
1114106,Level up 25 Club Members to Level 80 or higher.,Level up 25 Club Members to Level 80 or higher.,1,1114105,14,80,25,131114106,99828,1
1114107,Level up 26 Club Members to Level 80 or higher.,Level up 26 Club Members to Level 80 or higher.,1,1114106,14,80,26,131114107,99827,1
1114108,Level up 27 Club Members to Level 80 or higher.,Level up 27 Club Members to Level 80 or higher.,1,1114107,14,80,27,131114108,99826,1
1114109,Level up a Club Member to Level 100 or higher.,Level up a Club Member to Level 100 or higher.,1,1114082,14,100,1,131114109,99825,1
1114110,Level up 2 Club Members to Level 100 or higher.,Level up 2 Club Members to Level 100 or higher.,1,1114109,14,100,2,131114110,99824,1
1114111,Level up 3 Club Members to Level 100 or higher.,Level up 3 Club Members to Level 100 or higher.,1,1114110,14,100,3,131114111,99823,1
1114112,Level up 4 Club Members to Level 100 or higher.,Level up 4 Club Members to Level 100 or higher.,1,1114111,14,100,4,131114112,99822,1
1114113,Level up 5 Club Members to Level 100 or higher.,Level up 5 Club Members to Level 100 or higher.,1,1114112,14,100,5,131114113,99821,1
1114114,Level up 6 Club Members to Level 100 or higher.,Level up 6 Club Members to Level 100 or higher.,1,1114113,14,100,6,131114114,99820,1
1114115,Level up 7 Club Members to Level 100 or higher.,Level up 7 Club Members to Level 100 or higher.,1,1114114,14,100,7,131114115,99819,1
1114116,Level up 8 Club Members to Level 100 or higher.,Level up 8 Club Members to Level 100 or higher.,1,1114115,14,100,8,131114116,99818,1
1114117,Level up 9 Club Members to Level 100 or higher.,Level up 9 Club Members to Level 100 or higher.,1,1114116,14,100,9,131114117,99817,1
1114118,Level up 10 Club Members to Level 100 or higher.,Level up 10 Club Members to Level 100 or higher.,1,1114117,14,100,10,131114118,99816,1
1114119,Level up 11 Club Members to Level 100 or higher.,Level up 11 Club Members to Level 100 or higher.,1,1114118,14,100,11,131114119,99815,1
1114120,Level up 12 Club Members to Level 100 or higher.,Level up 12 Club Members to Level 100 or higher.,1,1114119,14,100,12,131114120,99814,1
1114121,Level up 13 Club Members to Level 100 or higher.,Level up 13 Club Members to Level 100 or higher.,1,1114120,14,100,13,131114121,99813,1
1114122,Level up 14 Club Members to Level 100 or higher.,Level up 14 Club Members to Level 100 or higher.,1,1114121,14,100,14,131114122,99812,1
1114123,Level up 15 Club Members to Level 100 or higher.,Level up 15 Club Members to Level 100 or higher.,1,1114122,14,100,15,131114123,99811,1
1114124,Level up 16 Club Members to Level 100 or higher.,Level up 16 Club Members to Level 100 or higher.,1,1114123,14,100,16,131114124,99810,1
1114125,Level up 17 Club Members to Level 100 or higher.,Level up 17 Club Members to Level 100 or higher.,1,1114124,14,100,17,131114125,99809,1
1114126,Level up 18 Club Members to Level 100 or higher.,Level up 18 Club Members to Level 100 or higher.,1,1114125,14,100,18,131114126,99808,1
1114127,Level up 19 Club Members to Level 100 or higher.,Level up 19 Club Members to Level 100 or higher.,1,1114126,14,100,19,131114127,99807,1
1114128,Level up 20 Club Members to Level 100 or higher.,Level up 20 Club Members to Level 100 or higher.,1,1114127,14,100,20,131114128,99806,1
1114129,Level up 21 Club Members to Level 100 or higher.,Level up 21 Club Members to Level 100 or higher.,1,1114128,14,100,21,131114129,99805,1
1114130,Level up 22 Club Members to Level 100 or higher.,Level up 22 Club Members to Level 100 or higher.,1,1114129,14,100,22,131114130,99804,1
1114131,Level up 23 Club Members to Level 100 or higher.,Level up 23 Club Members to Level 100 or higher.,1,1114130,14,100,23,131114131,99803,1
1114132,Level up 24 Club Members to Level 100 or higher.,Level up 24 Club Members to Level 100 or higher.,1,1114131,14,100,24,131114132,99802,1
1114133,Level up 25 Club Members to Level 100 or higher.,Level up 25 Club Members to Level 100 or higher.,1,1114132,14,100,25,131114133,99801,1
1114134,Level up 26 Club Members to Level 100 or higher.,Level up 26 Club Members to Level 100 or higher.,1,1114133,14,100,26,131114134,99800,1
1114135,Level up 27 Club Members to Level 100 or higher.,Level up 27 Club Members to Level 100 or higher.,1,1114134,14,100,27,131114135,99799,1
1112001,Gather 30 Club Members.,Gather 30 Club Members.,1,0,12,,30,131112001,99798,1
1112002,Gather 40 Club Members.,Gather 40 Club Members.,1,1112001,12,,40,131112002,99797,1
1112003,Gather 50 Club Members.,Gather 50 Club Members.,1,1112002,12,,50,131112003,99796,1
1112004,Gather 60 Club Members.,Gather 60 Club Members.,1,1112003,12,,60,131112004,99795,1
1112005,Gather 70 Club Members.,Gather 70 Club Members.,1,1112004,12,,70,131112005,99794,1
1112006,Gather 80 Club Members.,Gather 80 Club Members.,1,1112005,12,,80,131112006,99793,1
1112007,Gather 90 Club Members.,Gather 90 Club Members.,1,1112006,12,,90,131112007,99792,1
1112008,Gather 100 Club Members.,Gather 100 Club Members.,1,1112007,12,,100,131112008,99791,1
1112009,Gather 110 Club Members.,Gather 110 Club Members.,1,1112008,12,,110,131112009,99790,1
1112010,Gather 120 Club Members.,Gather 120 Club Members.,1,1112009,12,,120,131112010,99789,1
1112011,Gather 130 Club Members.,Gather 130 Club Members.,1,1112010,12,,130,131112011,99788,1
1112012,Gather 140 Club Members.,Gather 140 Club Members.,1,1112011,12,,140,131112012,99787,1
1112013,Gather 150 Club Members.,Gather 150 Club Members.,1,1112012,12,,150,131112013,99786,1
1112014,Gather 160 Club Members.,Gather 160 Club Members.,1,1112013,12,,160,131112014,99785,1
1112015,Gather 170 Club Members.,Gather 170 Club Members.,1,1112014,12,,170,131112015,99784,1
1112016,Gather 180 Club Members.,Gather 180 Club Members.,1,1112015,12,,180,131112016,99783,1
1112017,Gather 190 Club Members.,Gather 190 Club Members.,1,1112016,12,,190,131112017,99782,1
1112018,Gather 200 Club Members.,Gather 200 Club Members.,1,1112017,12,,200,131112018,99781,1
1112019,Gather 210 Club Members.,Gather 210 Club Members.,1,1112018,12,,210,131112019,99780,1
1112020,Gather 220 Club Members.,Gather 220 Club Members.,1,1112019,12,,220,131112020,99779,1
1112021,Gather 230 Club Members.,Gather 230 Club Members.,1,1112020,12,,230,131112021,99778,1
1112022,Gather 240 Club Members.,Gather 240 Club Members.,1,1112021,12,,240,131112022,99777,1
1112023,Gather 250 Club Members.,Gather 250 Club Members.,1,1112022,12,,250,131112023,99776,1
1112024,Gather 260 Club Members.,Gather 260 Club Members.,1,1112023,12,,260,131112024,99775,1
1112025,Gather 270 Club Members.,Gather 270 Club Members.,1,1112024,12,,270,131112025,99774,1
1112026,Gather 280 Club Members.,Gather 280 Club Members.,1,1112025,12,,280,131112026,99773,1
1112027,Gather 290 Club Members.,Gather 290 Club Members.,1,1112026,12,,290,131112027,99772,1
1112028,Gather 300 Club Members.,Gather 300 Club Members.,1,1112027,12,,300,131112028,99771,1
1112029,Gather 310 Club Members.,Gather 310 Club Members.,1,1112028,12,,310,131112029,99770,1
1112030,Gather 320 Club Members.,Gather 320 Club Members.,1,1112029,12,,320,131112030,99769,1
1112031,Gather 330 Club Members.,Gather 330 Club Members.,1,1112030,12,,330,131112031,99768,1
1112032,Gather 340 Club Members.,Gather 340 Club Members.,1,1112031,12,,340,131112032,99767,1
1112033,Gather 350 Club Members.,Gather 350 Club Members.,1,1112032,12,,350,131112033,99766,1
1121001,"Earn an overall total of 500,000G.","Earn an overall total of 500,000G.",1,0,21,,500000,131121001,99765,1
1121002,"Earn an overall total of 1,000,000G.","Earn an overall total of 1,000,000G.",1,1121001,21,,1000000,131121002,99764,1
1121003,"Earn an overall total of 2,000,000G.","Earn an overall total of 2,000,000G.",1,1121002,21,,2000000,131121003,99763,1
