_id,_name,_shortName,_kana,_artist,_detailInfo,_dictionaryReference,_dictionaryComment,_bandCategory,_masterGroupId,_jacketImageName,_masterBgmId,_previewMasterBgmId,_locked,_obtainType,_isAcLevelMusic,_releaseDateTime,_masterReleaseLabelId
1011,COLORFUL VOICE,COLORFUL VOICE,COLORFUL VOICE,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Kazunori Watanabe,,This song is a fun-filled discussion of what to do next. Some fans go all out the day before concerts setting their light sticks up to display the members' colors for the part before the chorus.,1,100,jacket_1083,31001011,32001011,0,0,0,2014/05/08,1
1012,Cutie Panther,Cutie Panther,Cutie Panther,BiBi,Lyrics: Aki Hata<br>Composition / Arrangement: Hiroshi Sasaki,,BiBi's second single. This cute song compares pursuing one's love to an animal stalking its prey. The three BiBi girls lend this Eurobeat style track their signature sense of simultaneous comedy and coolness. Live show performances of this song are set apart for their dance moves involving tails.,1,103,jacket_1012,31001012,32001012,0,0,0,2013/07/24,1
1014,Dancing Stars on Me!,Dancing Stars on Me!,Dancing Stars on Me!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Takashi Saeki,,"Canonically, this song was unveiled on Halloween with orange-themed costumes of princesses, witches, and pirates. The intro sets the tone with a spooky tolling of bells, and the synthesizers lead the listeners away on a Halloween parade.",1,100,jacket_1027,31001014,32001014,0,0,0,2014/06/11,1
1015,Daring!!,Daring!!,Daring!!,Maki Nishikino (C.V: Pile),Lyrics: Aki Hata<br>Composition / Arrangement: Keiichi Kondo,,"As the title implies, this hip tune depicts Maki boldly pursuing a love interest. The K-pop-esque EDM sound coupled with Maki's nimble dance moves has won the hearts of many fans.",1,190,jacket_1049,31001015,32001015,0,0,0,2012/07/25,1
1016,Dreamin’ Go! Go!!,Dreamin’ Go! Go!!,Dreamin’ Go! Go!!,μ's,Lyrics: Aki Hata<br>Composition: TSUKASA<br>Arrangement: Kon-K,,"Once a live show ends, it's back to the daily grind. But the school idols want to send their fans home with the determination to chase their dreams, so this song and its fanfare of trumpets drive that message home. In live shows, the performers spin the towels they use to wipe off their sweat.",1,100,jacket_1016,31001016,32001016,0,0,0,2015/01/31,1
1017,ENDLESS PARADE,ENDLESS PARADE,ENDLESS PARADE,μ's,Lyrics: Aki Hata<br>Composition: Kana Yabuki<br>Arrangement: Wataru Maeguchi,,"From the first note, this song feels like a culmination of everyone's effort in typical Love Live! fashion. It paints a picture of the impending end of a live show and the desire to not go home yet, to keep dancing and singing. Although this has become a title song for a live show, it has yet to be performed live.",1,100,jacket_1017,31001017,32001017,0,0,0,2014/02/08,1
1019,Future Style,Future Style,Future Style,"Honoka Kosaka (C.V: Emi Nitta), Kotori Minami (C.V: Aya Uchida), and Umi Sonoda (C.V: Suzuko Mimori)",Lyrics: Aki Hata<br>Composition / Arrangement: Koshiro Honda,Love Live! The School Idol Movie Soundtrack,"This song follows Honoka and her friends' efforts to make the best live show the world has ever seen. The lyrics are hopeful for the future, almost as if to indicate the style of future school idols.",1,199,jacket_1123,31001019,32001019,0,0,0,2015/07/15,1
1020,Happy Maker!,Happy Maker!,Happy Maker!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Wataru Maeguchi,,"A tune that exemplifies happiness and the sense of accomplishment following giving something your all. The upbeat tempo and μ's power bring the energy to get toes tapping, listeners grinning, and happiness multiplied double-fold.",1,100,jacket_1023,31001020,32001020,0,0,0,2014/07/09,1
1021,HEART to HEART!,HEART to HEART!,HEART to HEART!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Kazuya Nishioka,Smartphone Game Love Live! School Idol Festival Collaboration Single,"This powerful, positive song's background rhythm is reminiscent of dancing at rock music festivals. It delivers a standard μ's message: You can make your dreams come true. And if you don't, we'll be here to stand with you and make them happen together.",1,100,jacket_1021,31001021,32001021,0,0,0,2015/10/28,1
1022,"Hello, Hoshiwo Kazoete","Hello, Hoshiwo Kazoete","Hello, Hoshiwo Kazoete","Rin Hoshizora (C.V: Riho iida), Maki Nishikino (C.V: Pile), and Hanayo Koizumi (C.V: Yurika Kubo)",Lyrics: Aki Hata<br>Composition / Arrangement: Akihiko Yamaguchi,Love Live! The School Idol Movie Soundtrack,"Part of the Love Live! The School Idol Movie's soundtrack. The adorableness of the first-year girls is out in full force. The optimistic lyrics send your worries packing and complement the lovely, jazzy tone.",1,199,jacket_1007,31001022,32001022,0,0,0,2015/07/01,1
1023,KiRa-KiRa Sensation!,KiRa-KiRa Sensation!,KiRa-KiRa Sensation!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Koshiro Honda,,"With costumes that hearken back to μ's starting days with START:DASH!!, this song incorporates every step along the way to deliver gratitude towards the fans and the feeling of having come so far. Even so, μ's sets off for even greater heights and promise to never stop dreaming.",1,100,jacket_1023,31001023,32001023,0,0,0,2014/07/09,1
1024,Listen to My Heart!,Listen to My Heart!,Listen to My Heart!,"Nico Yazawa (C.V: Sora Tokui), Rin Hoshizora (C.V: Riho Iida), and Hanayo Koizumi (C.V: Yurika Kubo)",Lyrics: Aki Hata<br>Composition / Arrangement: Mineaki Kawahara,,"A theme from the internet radio show Love Live! Radio Kagai Katsudo: Nikorinpana. This song oozes charm and playfulness with the names of its cast members and supporting crew sprinkled throughout the lyrics. It's sung as if recording a real radio program, and NicoRinPana appear on the CD cover wearing Otonokizaka High tracksuits.",1,199,jacket_1024,31001024,32001024,0,0,0,2012/10/17,1
1025,LONELIEST BABY,LONELIEST BABY,LONELIEST BABY,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Tatsuya Kurauchi,,"A special edition song from the Love Live! Blu-ray. This dance tune has listeners feelin' good with its mid-tempo funk/disco combo sound. Fans are won over by the repeated ""I love you"" in the chorus.",1,100,jacket_1025,31001025,32001025,0,0,0,2013/09/25,1
1026,Love Marginal,Love Marginal,Love Marginal,Printemps,Lyrics: Aki Hata<br>Composition: Miki Fujisue<br>Arrangement: Miki Fujisue and Koji Matsuzaka,,Printemps' debut single. This love song hits home with the earnest love of as a teenager. The synthesizers make this 90's era J-pop tribute a must-listen.,1,101,jacket_1026,31001026,32001026,0,0,0,2011/05/25,1
1027,Love Wing Bell,Love Wing Bell,Love Wing Bell,"Rin Hoshizora (C.V: Riho Iida), Maki Nishikino (C.V: Pile), Hanayo Koizumi (C.V: Yurika Kubo), Eli Ayase (C.V: Yoshino Nanjo), Nozomi Tojo (C.V: Aina Kusuda), and Nico Yazawa (C.V: Sora Tokui)",Lyrics: Aki Hata<br>Composition / Arrangement: Shintaro Mori,Love Live! Anime Season 2: Episode 5 Soundtrack,"A song styled after wedding ceremonies to match Rin's wedding dress modeling scene from season 2 of the Love Live! anime. Rin once gave up on her dreams of ever looking cute, but now with her question, ""What new me does my future hold?"" this song illustrates her character growth.",1,199,jacket_1027,31001027,32001027,0,0,0,2014/06/11,1
1028,LOVELESS WORLD,LOVELESS WORLD,LOVELESS WORLD,μ's,Lyrics: Aki Hata<br>Composition: Takahiro Yamada<br>Arrangement: Takahiro Kawata,,"An unforgettable song with lyrics that describe a violent clash of conflicting feelings before all are reduced to ash. Its shredding guitar and bass produce a heavy gothic metal sound which, along with the strong flames of the live show performances, this song is known for.",1,100,jacket_1033,31001028,32001028,0,0,0,2013/11/27,1
1029,Mermaid Festa Vol.1,Mermaid Festa Vol.1,Mermaid Festa Vol.1,μ's,Lyrics: Aki Hata<br>Composition: Shunryu<br>Arrangement: Kazunori Watanabe,,"The B-side of μ's third single. The passionate flamenco tune is accompanied by mermaid-like flowing hand gestures in the chorus. Fans find it adorable how the girls attempt a more grown-up tune yet can't help but exhibit pathos in the lines, ""If you invert the symbols I've drawn/in the sand with my bare feet, they read, 'I love you.'""",1,100,jacket_1029,31001029,32001029,0,0,0,2011/08/24,1
1030,Mermaid Festa Vol.2 ～Passionate～,Mermaid Festa Vol.2 ～Passionate～,Mermaid Festa Vol.2 ～Passionate～,Honoka Kosaka (C.V: Emi Nitta) and Rin Hoshizora (C.V: Riho Iida),Lyrics: Aki Hata<br>Composition: Shingo Yamazaki<br>Arrangement: Nozomi Matsui,,"The first installment of Honoka and Rin's duet singles. Among the μ's girls, Honoka and Rin look the youngest, so they sing about growing and pushing themselves to the limit via a fruit metaphor. Yet this contrasts with their more youthful, energetic dancing.",1,199,jacket_1030,31001030,32001030,0,0,0,2012/04/25,1
1031,MOMENT RING,MOMENT RING,MOMENT RING,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Kyo Takada,,"μ's final single, a big wrap-up of all of their efforts. The music returns to their roots with that tried and true Love Live! style, but μ's also incorporates new elements like rap parts to go out with a bang.",1,100,jacket_1031,31001031,32001031,0,0,0,2016/03/02,1
1032,Museum de Doushitai?,Museum de Doushitai?,Museum de Doushitai?,Printemps,Lyrics: Aki Hata<br>Composition / Arrangement: Takeshi Masuda,,"An electric pop song that sends a shy, open message asking, ""Hey, we barely just got together. Are we drifting apart already?"" It paints a lovely image of the future awaiting two people whose museum of love has yet to be filled with exhibits.",1,101,jacket_1032,31001032,32001032,0,0,0,2015/05/23,1
1033,Music S.T.A.R.T!!,Music S.T.A.R.T!!,Music S.T.A.R.T!!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Akihiko Yamaguchi,,"The title of this tune hearkens back to the rallying call μ's makes before taking the stage. Many fans adore the dance moves that accompany the chorus. The pajamas shown in the PV also make an appearance in season 2, episode 12 of the Love Live! anime.",1,100,jacket_1033,31001033,32001033,0,0,0,2013/11/27,1
1035,No Brand Girls,No Brand Girls,No Brand Girls,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Takahiro Kawata,Love Live! Anime Season 1: Episode 11 Soundtrack,"Soundtrack from season 1, episode 11 of the Love Live! anime. This song is memorable for the scene in the anime where the girls perform in the rain. Both live show outfits and the song itself have a hard rock feel, and the ""Hai hai hai!"" call make the excitement of the show reach an all-time peak.",1,100,jacket_1035,31001035,32001035,0,0,0,2013/04/03,1
1037,NO EXIT ORION,NO EXIT ORION,NO EXIT ORION,Printemps,Lyrics: Aki Hata<br>Composition / Arrangement: Ryuhey Yamada,,"A serious rock tune with gothic-style pipe organ and guitar, which is a departure from the usual upbeat Printemps sound. The lyrics depict a superb contrast between the intense heat of the singers' feelings and the cool air of a winter's night beneath the twinkling stars of Orion.",1,101,jacket_1061,31001037,32001037,0,0,0,2015/11/25,1
1038,"Oh, Love & Peace!","Oh, Love & Peace!","Oh, Love & Peace!",μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Katsuhiko Kurosu,,"The B-side of μ's fifth single. This song plays in season 2, episode 13 of the anime, and speaks to the strength of μ's friendship as the girls realize they'll never truly be apart, even after graduating and going off on their own. Hanayo performs the center role in this song for the only time in μ's history. In live shows, this song has often rounded out the set list, with the girls waving the audience goodbye with a three-finger salute and a call of ""Love and peace!""",1,100,jacket_1038,31001038,32001038,0,0,0,2012/09/05,1
1039,Paradise Live,Paradise Live,Paradise Live,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Tatsuya Kurauchi,Smartphone Game Love Live! School Idol Festival Collaboration Single,"Many fans remember this song as the start-up music for SIF. In the latter stages of live shows, it urges the audience to keep working hard and chasing their dreams even after the show is done so audience and school idols may someday meet again at the next live show.",1,100,jacket_1081,31001039,32001039,0,0,0,2014/01/29,1
1040,Private Wars,Private Wars,Private Wars,A-RISE,Lyrics: Aki Hata<br>Composition / Arrangement: Yusuke Itagaki,,"A powerful K-pop-esque tune with likewise macho lyrics, using each of the girls' strengths as individuals to amp themselves up and dish out fighting words. When Honoka sees this song performed in season 1, episode 1 of the Love Live! anime, it inspires her to become a school idol herself.",1,104,jacket_1040,31001040,32001040,0,0,0,2013/04/10,1
1041,PSYCHIC FIRE,PSYCHIC FIRE,PSYCHIC FIRE,BiBi,Lyrics: Aki Hata<br>Composition / Arrangement: Shintaro Mori,Smartphone Game Love Live! School Idol Festival Collaboration Single,"Uh-huh, it's Nico, Maki, and Elichika! This song combines everything that BiBi is known for, from Bibi's powerful music to Nico's BiBi call. In live shows, the three BiBi girls get so animated the audience is swept up along in their excitement.",1,103,jacket_1110,31001041,32001041,0,0,0,2016/01/20,1
1042,Pure Girls Project,Pure Girls Project,Pure Girls Project,Printemps,Lyrics: Aki Hata<br>Composition / Arrangement: Tatsuya Kurauchi,,"In Printemps fashion, this song is a no-holds-barred burst of positivity, celebrating their friendship and willingness to adventure together even if their personalities and opinions don't always see eye to eye. Compare with the Super-Mondo Mix for an extra splash of fun.",1,101,jacket_1042,31001042,32001042,0,0,0,2013/08/21,1
1044,SENTIMENTAL StepS,SENTIMENTAL StepS,SENTIMENTAL StepS,μ's,Lyrics: Aki Hata<br>Composition: Masayoshi Takasaka<br>Arrangement: Teppei Shimizu,,"From the first ticking of the clock in the intro, this sentimental song reflects on the passage of time and the people around us. As time goes on, it quietly grows into a song that lives on forever in the hearts of listeners.",1,100,jacket_1095,31001044,32001044,0,0,0,2014/05/28,1
1045,Shangri-La Shower,Shangri-La Shower,Shangri-La Shower,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Tatsuya Kurauchi,PSVita Game Love Live! School Idol Paradise Main Theme,"This tune is accompanied by joyful choreography promising fun from morning 'til night at summer live shows. Right from the outset, those dance moves are distinct. They come together perfectly with the singing to illustrate a cohesive vision.",1,100,jacket_1045,31001045,32001045,0,0,0,2014/10/01,1
1046,Shocking Party,Shocking Party,Shocking Party,A-RISE,Lyrics: Aki Hata<br>Composition / Arrangement: Yusuke Itagaki,,This song powerfully and stylishly delivers a message to the listeners to take responsibility of their own lives and press on. A-RISE displays their strength as prominent trailblazers.,1,104,jacket_1046,31001046,32001046,0,0,0,2014/08/27,1
1047,Silent Tonight,Silent Tonight,Silent Tonight,BiBi,Lyrics: Aki Hata<br>Composition / Arrangement: Hiroshi Sasaki,,"BiBi may usually produce upbeat songs, but Silent tonight is a more gentle, heartfelt ballad. This song chronicles deep kindness and the desire to support a hardworking loved one through its pleasant, happy music blessing the song's ""you and I"" characters.",1,103,jacket_1047,31001047,32001047,0,0,0,2014/12/25,1
1048,Snow Halation,Snow Halation,Snow Halation,μ's,Lyrics: Aki Hata<br>Composition: Takahiro Yamada<br>Arrangement: Ryosuke Nakanishi,Love Live! Anime Season 2: Episode 9 Soundtrack,"μ's second single and the first to be released under their group name. As is shown in season 2, episode 9 of the Love Live! anime, it has become a live show staple for fans to turn their lightsticks to orange when the song reaches its final chorus.",1,100,jacket_1048,31001048,32001048,0,0,0,2010/12/22,1
1049,Soldier Game,Soldier Game,Soldier Game,"Maki Nishikino (C.V: Pile), Umi Sonoda (C.V: Suzuko Mimori), and Eli Ayase (C.V: Yoshino Nanjo)",Lyrics: Aki Hata<br>Composition / Arrangement: Mitsuru Wakabayashi,,"A trio single featuring the unusual grouping of Umi, Maki, and Eli. The girls' harmonizing is a fresh and fun take. This disco dance tune offers good vibes and plenty of passion with funky cutting and Latin-style percussion.",1,199,jacket_1049,31001049,32001049,0,0,0,2012/07/25,1
1050,Someday of My Life,Someday of My Life,Someday of My Life,Honoka Kosaka (C.V: Emi Nitta),Lyrics: Aki Hata<br>Composition / Arrangement: Yuichi Yaegashi,,"An emotional song sung to a now-distant partner, requesting to face one another and try to chase their dreams together once more or else face a permanent separation. The powerful, expressive singing over the electronic pop of the drum machine gives listeners courage.",1,190,jacket_1030,31001050,32001050,0,0,0,2012/04/25,1
1054,START: DASH!!,START: DASH!!,START: DASH!!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Hiroshi Sasaki,Love Live! Anime Season 1: Episode 13 Soundtrack,"A soundtrack of the first season of the Love Live! anime. With both positive lyrics and a nostalgic chorus, this song documents μ's journey and achievements throughout the whole first season. It appears in episode 3, sung by the three-second years in the first live version, and in episode 13 with the all-cast version.",1,100,jacket_1035,31001054,32001054,0,0,0,2013/04/03,1
1055,Storm in Lover,Storm in Lover,Storm in Lover,Umi Sonoda (C.V: Suzuko Mimori) and Eli Ayase (C.V: Yoshino Nanjo),Lyrics: Aki Hata<br>Composition / Arrangement: Takeshi Masuda,,"A Latinesque song evocative of sunset on the beach in the height of summer when one has just discovered a new love. In this mature duet, Umi and Eli take turns alternating lines in a style reminiscent of kayokyoku, Japanese retro pop.",1,199,jacket_1055,31001055,32001055,0,0,0,2014/09/24,1
1057,Super LOVE = Super LIVE!,Super LOVE = Super LIVE!,Super LOVE = Super LIVE!,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Takahiro Kawata,,"A high-energy and fun song centered around the twin concepts of loving and living. In μ's Final LoveLive!, the entire audience of over 50,000 made a beautiful show before the final chorus by simultaneously changing their light stick colors.",1,100,jacket_1091,31001057,32001057,0,0,0,2015/04/22,1
1058,Sweet & Sweet Holiday,Sweet & Sweet Holiday,Sweet & Sweet Holiday,Printemps,Lyrics: Aki Hata<br>Composition / Arrangement: Akihiko Yamaguchi,,The B-side of Love marginal. This song depicts the Printemps crew gathering on a school-free day to chat and gush about their crushes.,1,101,jacket_1026,31001058,32001058,0,0,0,2011/05/25,1
1059,Trouble Busters,Trouble Busters,Trouble Busters,BiBi,Lyrics: Aki Hata<br>Composition: Yugo Sasakura<br>Arrangement: Tatsuya Kurauchi,Smartphone Game Love Live! School Idol Festival Collaboration Single,"This upbeat, fun song proves that BiBi can bring on the comedy, too! (Er...are we sure about that?) Maki, Eli, and Nico show what their unit is made of as they try to cheer up a lovelorn friend. In live shows, a bazooka-esque smoke machine mounted on a trolley adds to the chaos and laughter.",1,103,jacket_1119,31001059,32001059,0,0,0,2014/12/24,1
1060,UNBALANCED LOVE,UNBALANCED LOVE,UNBALANCED LOVE,Printemps,Lyrics: Aki Hata<br>Composition / Arrangement: Takashi Saeki,,"A sorrowful love song that brings all the optimism the Printemps girls are known for, with serious lyrics guaranteed to wring the hearts of all listening. The glittery Eurobeat base hits all the nostalgia feels while the revival pop aspect brings a fresh feel to the song.",1,101,jacket_1042,31001060,32001060,0,0,0,2013/08/21,1
1061,WAO-WAO Powerful Day!,WAO-WAO Powerful Day!,WAO-WAO Powerful Day!,Printemps,Lyrics: Aki Hata<br>Composition / Arrangement: Hiroshi Sasaki,,"A powerful song filled with the energy of an up-and-at-'em start! Fans adore the fresh feeling of the cherry blossom-laden CD cover illustration and high speed. In live shows, the school idols always have their hands moving, which is a perfect match for the lyrics that proclaim, ""We want to do everything!""",1,101,jacket_1061,31001061,32001061,0,0,0,2015/11/25,1
1062,WILD STARS,WILD STARS,WILD STARS,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Kyo Takada,,"The B-side of Bokura wa Ima no Naka de. This song talks about adult feelings and a couple discussing their relationship status beneath a starry night sky. In live shows, the choreography likewise depicts a couple. The singers' solo parts are also worth attention in this unusually mature song.",1,100,jacket_1124,31001062,32001062,0,0,0,2013/01/23,1
1063,Wonder Zone,Wonder Zone,Wonder Zone,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Yugo Sasakura,Love Live! Anime Season 1: Episode 9 Soundtrack,"A soundtrack from season 1, episode 9 of the Love Live! anime that celebrates Kotori's character development. She sings about Akihabara, the place that accepts her as both the self-assured Minalinsky and the less confident μ's school idol.",1,100,jacket_1072,31001063,32001063,0,0,0,2013/03/06,1
1064,Wonderful Rush,Wonderful Rush,Wonderful Rush,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Takahiro Kawata,,"μ's fifth single. Its optimistic lyrics and energetic dance moves fit μ's to a T as the idol group has only gone on to bigger and better things. The outfits the girls wore at the airport also appear in season 1, episode 10 of the Love Live! anime, while Kotori's forgotten pillow appears in Love Live! The School Idol Movie.",1,100,jacket_1064,31001064,32001064,0,0,0,2012/09/05,1
1066,Anone Ganbare!,Anone Ganbare!,Anone Ganbare!,lily white,Lyrics: Aki Hata<br>Composition / Arrangement: Taka Aoki,,"The B-side of lily white's first single. With Umi as the center role in this retro-themed tune, Rin and Nozomi remind her she doesn't need to do everything by herself and, with her friends around, she can smile and have a good time.",1,102,jacket_1118,31001066,32001066,0,0,0,2011/07/27,1
1067,Arifureta Kanashimi no Hate,Arifureta Kanashimi no Hate,Arifureta Kanashimi no Hate,Eli Ayase (C.V: Yoshino Nanjo),Lyrics: Aki Hata<br>Composition / Arrangement: Takashi Saeki,,"An Eli solo song revolving around the theme of lost love. The serious, sorrowful lyrics, the guitar sound prior to the chorus, and the heartfelt singing make this song lend the song a noticeable suaveness. The challenges of heartbreak are nothing compared to the courage of this tune.",1,190,jacket_1049,31001067,32001067,0,0,0,2012/07/25,1
1068,Kitto Seishun ga Kikoeru,Kitto Seishun ga Kikoeru,Kitto Seishun ga Kikoeru,μ's,Lyrics: Aki Hata<br>Composition / Arrangement: Kyo Takada,Love Live! Anime Season 1: Ending Theme,"The ending theme for the first season of the Love Live! anime. Each grade level is accompanied by an acoustic tune, signaling the strength of the connections the girls have formed with their classmates as they set off for the future to make their dreams come true.",1,100,jacket_1068,31001068,32001068,0,0,0,2013/02/06,1
1069,Kimi no kuse ni!,Kimi no kuse ni!,Kimi no kuse ni!,lily white,Lyrics: Aki Hata<br>Composition: Yuri Sugimori<br>Arrangement: Yusuke Yamamoto,,"A sweet and emotionally frustrating song about two childhood friends, one of whom realizes she has fallen for the other and doesn't know what to do. This 2000s J-pop-esque mid-tempo tune shows a rare moment of lily white emotional vulnerability.",1,102,jacket_1121,31001069,32001069,0,0,0,2013/06/26,1
1070,Kururin MIRACLE,Kururin MIRACLE,Kururin MIRACLE,Rin Hoshizora (C.V: Riho Iida),Lyrics: Aki Hata<br>Composition / Arrangement: Shintaro Mori,,"A sweet song wherein Rin confesses that she's begun to be less of a tomboy and wants to be cuter and lovelier. With the orthodox Motown beat and the calls in the chorus, Rin delivers her usual full-throttle positivity.",1,190,jacket_1070,31001070,32001070,0,0,0,2014/08/27,1
1071,Korekara,Korekara,Korekara,μ's,Lyrics: Aki Hata<br>Composition: Masumi Itou and mito<br>Arrangement: TO-MAS SOUNDSIGHT FLUORESCENT FOREST,,"A piano-only intro opens this ballad before other instruments join in one by one, reflecting μ's journey. The girls promise to create the future by spending many moments together now. This song is a representation of their ""korekara""—their future!",1,100,jacket_1071,31001071,32001071,0,0,0,2015/12/15,1
