_masterNavigationId,_spriteName,_message,_masterReleaseLabelId
MainTutorial_GachaReslt,MainTutorial_GachaReslt_03,"You will earn Scout points each time you perform a Scout!<br>Scout points can be exchanged for items and club members in the exchange shop!<br>Note that when your Scout points expire, they will be converted into Skill Notebooks (M)!",1
MainTutorial_MusicSerect,MainTutorial_MusicSerect_01,"Select a song and difficulty, and start a live show!<br>The required LP is the same across all difficulties, so choose a difficulty that suits you!<br>The higher the song level, the greater the challenge.",1
MainTutorial_MusicSerect,MainTutorial_MusicSerect_02,"If you're having trouble selecting a song, use the ""Recommended"" or ""Pick for Me"" features!<br>Choose a theme from the ""Recommended"" feature and you will get a list of songs that match the theme!",1
MainTutorial_MusicSerect,MainTutorial_MusicSerect_03,The top 10 global scores are displayed<br>in the ranking of each song!<br>Let's make it to the top 10!,1
MainTutorial_MusicSerect,MainTutorial_MusicSerect_04,You can earn rewards by clearing the song goals for each song!<br>Note that there is a reward for a FULL COMBO clear at each difficulty!,1
MainTutorial_MusicSerect,MainTutorial_MusicSerect_05,Check the song details to learn more about each song<br>and to view its clear rewards!,1
SubTutorial_Guest,SubTutorial_Guest_01,"Before starting a live show, you can select one guest member to join your team!<br>The selected guest member's center skill will be activated during the live show,<br>so choose a guest member that, for example, matches the song attribute or fits your team!",1
SubTutorial_BeginnerMission,SubTutorial_BeginnerMission_01,"Learn how to play SIF2 by clearing the bingo goals!<br>You will obtain a reward for each goal you clear! If you complete a bingo line, you will obtain even more rewards!<br>Let's aim for a full house bingo!",1
SubTutorial_Star_PlayBonus,SubTutorial_Star_PlayBonus,"During the event, use the Continued Bonus that adds on to up to five Live Shows per day<br>and the Play Bonus that boosts your score bonus every Live Show<br>to push the limits of your target score!",223111506
SubTutorial_Star_ContinuBonus,SubTutorial_Star_ContinuBonus,"During the event, use the Continued Bonus that adds on to up to five Live Shows per day<br>and the Play Bonus that boosts your score bonus every Live Show<br>to push the limits of your target score!",223111506
