_id,_name,_nameRuby,_detailText,_category,_schoolGrade,_charaCategory,_masterGroupId,_spriteName,_displayOrder,_height,_bloodType,_birsday,_voiceActor,_imageColor,_imageColorDark,_nameRichtextGacha,_masterReleaseLabelId
3005,Ai Miyashita,Ai Miyashita,"Ai is a naturally gifted athlete and helps out multiple teams as a sub. She always goes with the flow and has a caring personality. Put it all together, and it's no wonder Ai is friends with just about everyone.",3,2,1,301,3005,3005,163 cm,A,May 30,Natsumi Murakami,F6663E,F6663E,<size=100>A<size=80>i<size=100>M<size=80>iyashita,1
3006,Kanata Konoe,Kanata Konoe,"Though Kanata usually seems to be on the verge of dozing off, she gets fired up when it comes to cooking and caring for her little sister.",3,3,1,303,3006,3006,158 cm,O,Dec 16,Akari Kito,A96398,A96398,<size=100>K<size=80>anata<size=100>K<size=80>onoe,1
3007,Setsuna Yuki,Setsuna Yuki,"A school idol who gives powerful, fiery performances and always has a smile on her face. Setsuna is so busy with her school idol activities that there are even rumors that no one has ever actually seen her at school.",3,2,1,302,3007,3007,154 cm,O,Aug 8,Coco Hayashi,DC2235,DC2235,<size=100>S<size=80>etsuna<size=100>Y<size=80>uki,1
3008,Emma Verde,Emma Verde,"Emma is an exchange student from Switzerland who adores school idols. She is kind, easygoing, and has a deep love for the mountains and nature of her hometown.",3,3,1,303,3008,3008,166 cm,O,Feb 5,Maria Sashide,7EC36E,7EC36E,<size=100>E<size=80>mma<size=100>V<size=80>erde,1
3009,Rina Tennoji,Rina Tennoji,"Rina has trouble conveying her emotions with facial expressions, so some people tend to see her as cold and aloof. But in reality, Rina is very friendly and has an impassioned heart.",3,1,1,303,3009,3009,149 cm,B,Nov 13,Chiemi Tanaka,A0A3BC,A0A3BC,<size=100>R<size=80>ina<size=100>T<size=80>ennoji,1
3010,Shioriko Mifune,Shioriko Mifune,"Proper and serious, Shioriko always works for the greater good. She has been friends with Lanzhu since they were little.",3,1,1,304,3010,3010,160 cm,AB,Oct 5,Moeka Koizumi,37C4A1,37C4A1,<size=100>S<size=80>hioriko<size=100>M<size=80>ifune,1
3011,Mia Taylor,Mia Taylor,"Mia is an exchange student from NYC. The daughter of the world-famous Taylor family of musicians, Mia has skipped several grades and is now a senior despite being only 14 years old.",3,3,1,304,3011,3011,156 cm,AB,Dec 6,Shu Uchida,D7D6C9,B3B098,<size=100>M<size=80>ia<size=100>T<size=80>aylor,1
3012,Lanzhu Zhong,Lanzhu Zhong,An exchange student from Hong Kong. Lanzhu is a bit of a prima donna who seems to be perfect at everything. Her favorite food is meat.,3,2,1,304,3012,3012,165 cm,B,Feb 15,Akina Homoto,F7CBC7,E2B0AC,<size=100>L<size=80>anzhu<size=100>Z<size=80>hong,1
4001,Kanon Shibuya,Kanon Shibuya,"Though shy, Kanon genuinely loves singing from the bottom of her heart. She possesses a strong sense of empathy that helps her understand the feelings of others and is often the one propelling Liella! forward.",4,2,1,403,4001,4001,159 cm,A,May 1,Sayuri Date,F57924,F57924,<size=100>K<size=80>anon<size=100>S<size=80>hibuya,1
4002,Keke Tang,Keke Tang,"A girl from Shanghai who came to study at Yuigaoka Girls' High School. Keke is a passionate young lady with a singular focus on the things she cares about. She especially loves cute things. Keke is Liella!'s bright, burning sun.",4,2,1,404,4002,4002,159 cm,O,Jul 17,Liyuu,85EDEC,29E2E0,<size=100>K<size=80>eke<size=100>T<size=80>ang,1
4003,Chisato Arashi,Chisato Arashi,Chisato has been best friends with Kanon since childhood. Her devoted and hardworking personality makes her very likable. She's in charge of choreography for Liella! and strives to level up their dancing skills. Chisato adores all things round.,4,2,1,405,4003,4003,155 cm,B,Feb 25,Nako Misaki,FF6E97,FF6E97,<size=100>C<size=80>hisato<size=100>A<size=80>rashi,1
4004,Sumire Heanna,Sumire Heanna,"Sumire can seem condescending and stubborn, but she's a kind girl who knows when others are feeling down. She's the wild card of Liella!, often revealing surprising skills at critical moments. Sumire's family lives in a shrine near the school.",4,2,1,403,4004,4004,161 cm,AB,Sep 28,Naomi Payton,70ED62,60E251,<size=100>S<size=80>umire<size=100>H<size=80>eanna,1
4005,Ren Hazuki,Ren Hazuki,"Daughter of the founder of Yuigaoka Girls' High School. Ren is Liella!'s ace and has practiced piano and figure skating since she was a kid. Her calm demeanor makes her a popular student council president, but she can be a bit naive.",4,2,1,404,4005,4005,163 cm,A,Nov 24,Nagisa Aoyama,2020AB,2020AB,<size=100>R<size=80>en<size=100>H<size=80>azuki,1
4006,Kinako Sakurakoji,Kinako Sakurakoji,"Buoyant, big-hearted, and always amicable. In a word, Kinako is sweet. She decided to step out on her own and attend high school in Tokyo, enrolling at Yuigaoka.",4,1,1,405,4006,4006,159 cm,O,Apr 10,Nozomi Suzuhara,F6EB41,C9BF29,<size=100>K<size=80>inako<size=100>S<size=80>akurakoji,1
4007,Mei Yoneme,Mei Yoneme,"Mei is a bit of a cynic. On the surface, she seems like a delinquent who's difficult to approach. However, she has a strong sense of justice and stands up for what is right when she feels something is wrong.",4,1,1,403,4007,4007,155 cm,A,Oct 29,Akane Yabushima,F93535,F93535,<size=100>M<size=80>ei<size=100>Y<size=80>oneme,1
4008,Shiki Wakana,Shiki Wakana,"Shiki is a girl of few words who even as a child preferred to play alone. She is calm and collected, rarely verbalizing her feelings. While this makes her seem mysterious, her feelings toward her fellow members are stronger than anyone's.",4,1,1,405,4008,4008,161 cm,B,Jun 17,Wakana Ookuma,B4F6D8,75AD88,<size=100>S<size=80>hiki<size=100>W<size=80>akana,1
4009,Natsumi Onitsuka,Natsumi Onitsuka,"Natsumi is optimistic and proactive, with a keen eye for fashion. She's the type of girl who's always up for a challenge and will do whatever it takes to achieve her goals. She often tries to control things from behind the scenes.",4,1,1,405,4009,4009,152 cm,AB,Aug 7,Aya Emori,FC3ABA,FC3ABA,<size=100>N<size=80>atsumi<size=100>O<size=80>nitsuka,1
4010,Wien Margarete,Wien Margarete,"A girl from Austria studying in Japan. She transferred to Yuigaoka Girls' High School to be a part of Love Live! Margarete has a great sense of music and a powerful singing voice, with an overly competitive character that sometimes clashes with those around her.",4,1,1,404,4010,4010,161 cm,A,Jan 20,Yuina,E09FF7,E09FF7,<size=100>W<size=80>ien <size=100>M<size=80>argarete,223121502
4011,Tomari Onitsuka,Tomari Onitsuka,"She tries to be efficient and hates wasteful things. Tomari tends to analyze things strictly and has a cold eye toward things that are difficult to accomplish. She loves her older sister, Natsumi.",4,1,1,405,4011,4011,163 cm,B,Dec 28,Sakura Sakakura,4CD2E2,4CD2E2,<size=100>T<size=80>omari <size=100>O<size=80>nitsuka,223121502
6001,Yohane,Yohane,"A girl who runs a fortune-telling shop in Numazu. She is a stickler with a peculiar temperament, however kind at heart and never refuses a request.",6,0,1,9901,6001,6001,156 cm,－,Jul 13,Aika Kobayashi,A9ACB2,A9ACB2,<size=100>Y<size=80>ohane,223121403
6002,Hanamaru,Hanamaru,Yohane's childhood friend. She loves delicious food and makes her living selling homemade sweets at a food stall.,6,0,1,9901,6002,6002,152 cm,－,Mar 4,Kanako Takatsuki,FFC000,FFC000,<size=100>H<size=80>anamaru,223121403
6003,Dia,Dia,The head of the Numazu Administrative Office. She is a perfectionist who does not tolerate anything that is out of bounds.,6,0,1,9901,6003,6003,162 cm,－,Jan 1,Arisa Komiya,E0083B,E0083B,<size=100>D<size=80>ia,223121403
6004,Ruby,Ruby,A descendant of the fairies. She has a reclusive personality and lives so people cannot find her.,6,0,1,9901,6004,6004,Five tangerines,－,Sep 21,Ai Furihata,F143B4,F143B4,<size=100>R<size=80>ubi,223121403
6005,Chika,Chika,The youngest of three sisters and the poster girl of a long-established Ryokan inn in the Uchira district. She is shy and competitive.,6,0,1,9901,6005,6005,157 cm,－,Aug 1,Anju Inami,FF700F,FF700F,<size=100>C<size=80>hika,223121403
6006,You,You,"A girl who works as a messenger in Numazu. She is always cheerful, energetic, and unapologetically athletic.",6,0,1,9901,6006,6006,157 cm,－,Apr 17,Shuka Saito,07B0E8,07B0E8,<size=100>Y<size=80>ou,223121403
6007,Kanon,Kanon,A mechanic who runs a workshop in the Uchira district. She makes her living repairing and crafting using junk picked out of the ocean.,6,0,1,9901,6007,6007,162 cm,－,Feb 10,Nanaka Suwa,02D09D,02D09D,<size=100>K<size=80>anan,223121403
6008,Riko,Riko,"A zoologist from outside Numazu. She has a calm personality, but is very inquisitive and does not mind pretending to be something she is not.",6,0,1,9901,6008,6008,160 cm,－,Sep 19,Rikako Aida,FB697E,FB697E,<size=100>R<size=80>iko,223121403
6009,Mari,Mari,A descendant of the Demon King family that lives in a castle on Wassimer Island. She is not often seen in public.,6,0,1,9901,6009,6009,163 cm,－,Jun 13,Aina Suzuki,A132D9,A132D9,<size=100>M<size=80>ari,223121403
