_unitTypeId,_name,_nameAlpha,_age,_birthday,_bloodType,_height,_cv,_masterReleaseLabelId
34,篠宮あきる,AKIRU SHINOMIYA,2,7月20日,Ｏ型,160,？？？？,1
35,吉川瑞希,MIZUKI KIKKAWA,3,10月20日,Ａ型,167,？？？？,1
36,白木凪,NAGI SHIRAKI,3,2月9日,Ｂ型,150,？？？？,1
37,藤城悠弓,YUMI FUJISHIRO,3,5月15日,ＡＢ型,165,？？？？,1
38,深山聡子,SATOKO MIYAMA,？,6月8日,Ｏ型,164,？？？？,1
39,山内奈々子,NANAKO YAMAUCHI,？,12月8日,Ａ型,153,？？？？,1
40,笹原京子,KYOKO SASAHARA,？,9月8日,Ｂ型,168,？？？？,1
41,黒崎隼,SHUN KUROSAKI,2,6月15日,Ｏ型,163,？？？？,1
42,設楽ふみ,FUMI SHITARA,1,3月20日,ＡＢ型,151,？？？？,1
43,門田剣,TSURUGI KADOTA,3,7月10日,Ａ型,168,？？？？,1
44,アルパカ[白],alpaca,？,？月？日,？型,？,？？？？,1
45,桐原優香,YUUKA KIRIHARA,2,4月2日,Ａ型,158,？？？？,1
46,斉木風,FUU SAIKI,1,8月12日,Ｏ型,162,？？？？,1
47,福原命,MIKOTO FUKUHARA,1,11月5日,Ａ型,147,？？？？,1
48,坂巻千鶴子,CHIDUKO SAKAMAKI,2,7月14日,Ｏ型,162,？？？？,1
49,志賀仁美,HITOMI SHIGA,3,6月6日,Ｂ型,167,？？？？,1
50,鬼崎アキラ,AKIRA KIZAKI,2,8月10日,Ａ型,164,？？？？,1
51,紫藤美咲,MISAKI SHIDO,3,4月7日,ＡＢ型,167,？？？？,1
52,月島結架,YUKA TSUKISHIMA,2,7月21日,Ｂ型,158,？？？？,1
53,兵藤さゆり,SAYURI HYODO,3,4月22日,Ｏ型,163,？？？？,1
54,蘭花,RANPHA,1,2月8日,Ａ型,154,？？？？,1
55,ラクシャータ,RAKSHATA,2,6月18日,Ｏ型,157,？？？？,1
56,レベッカ,REBECCA,2,11月14日,Ａ型,167,？？？？,1
57,綾小路姫乃,HIMENO AYANOKOJI,2,4月17日,Ａ型,158,？？？？,1
58,黒羽咲良,SAKURA KUROBANE,1,4月4日,ＡＢ型,162,？？？？,1
59,黒羽咲夜,SAKUYA KUROBANE,3,9月9日,ＡＢ型,160,？？？？,1
60,白瀬小雪,KOYUKI SHIRASE,1,2月23日,Ｂ型,147,？？？？,1
61,相川涼,RYO AIKAWA,3,5月6日,ＡＢ型,168,？？？？,1
62,イザベラ,ISABELLA,3,11月16日,Ｂ型,162,？？？？,1
63,エマ・ヴェルデ,EMMA VERDE,3,2月5日,Ｏ型,166,？？？？,1
64,高天原睦月,MUTSUKI TAKAMAGAHARA,1,1月25日,ＡＢ型,148,？？？？,1
65,ジェニファー,JENNIFER,2,5月12日,Ａ型,165,？？？？,1
66,マリア,MARIA,1,8月6日,Ａ型,163,？？？？,1
67,レオ,LEO,2,8月16日,ＡＢ型,151,？？？？,1
68,早乙女紫,YUKARI SAOTOME,1,3月3日,Ｏ型,158,？？？？,1
69,矢澤ここあ,COCOA YAZAWA,？,？月？日,？型,？,？？？？,1
70,矢澤虎太郎,COTARO YAZAWA,？,？月？日,？型,？,？？？？,1
71,矢澤こころ,COCORO YAZAWA,？,？月？日,？型,？,？？？？,1
72,ミカ,MIKA,2,？月？日,？型,？,？？？？,1
73,フミコ,FUMIKO,2,？月？日,？型,？,？？？？,1
74,ヒデコ,HIDEKO,2,？月？日,？型,？,？？？？,1
75,山田博子,HIROKO YAMADA,？,？月？日,？型,？,？？？？,1
76,にこの母,NICO'S MOTHER,？,？月？日,？型,？,？？？？,1
77,ことりの母,KOTORI'S MOTHER,？,？月？日,？型,？,？？？？,1
78,真姫の母,MAKI'S MOTHER,？,？月？日,？型,？,？？？？,1
79,穂乃果の母,HONOKA'S MOTHER,？,？月？日,？型,？,？？？？,1
80,綺羅ツバサ,TSUBASA KIRA,3,？月？日,？型,？,桜川めぐ,1
81,優木あんじゅ,ANJU YUKI,3,？月？日,？型,？,大橋歩夕,1
82,統堂英玲奈,ERENA TODO,3,？月？日,？型,？,松永真穂,1
83,アルパカ[茶],alpaca,？,？月？日,？型,？,？？？？,1
84,μ's,μ's,？,？月？日,？型,？,？？？？,1
85,アルパカの子ども,alpaca's child,？,？月？日,？型,？,？？？？,1
86,絢瀬亜里沙,ALISA AYASE,？,？月？日,？型,？,？？？？,1
91,高坂穂乃果,HONOKA KOSAKA,？,8月3日,Ｏ型,？,新田恵海,1
92,絢瀬絵里,ELI AYASE,？,10月21日,Ｂ型,？,南條愛乃,1
93,南ことり,KOTORI MINAMI,？,9月12日,Ｏ型,？,内田 彩,1
94,園田海未,UMI SONODA,？,3月15日,Ａ型,？,三森すずこ,1
95,星空凛,RIN HOSHIZORA,？,11月1日,Ａ型,？,飯田里穂,1
96,西木野真姫,MAKI NISHIKINO,？,4月19日,ＡＢ型,？,Pile,1
97,東條希,NOZOMI TOJO,？,6月9日,Ｏ型,？,楠田亜衣奈,1
98,小泉花陽,HANAYO KOIZUMI,？,1月17日,Ｂ型,？,久保ユリカ,1
99,矢澤にこ,NICO YAZAWA,？,7月22日,Ａ型,？,徳井青空,1
101,高海千歌,CHIKA TAKAMI,2,8月1日,Ｂ型,157,伊波杏樹,1
102,桜内梨子,RIKO SAKURAUCHI,2,9月19日,Ａ型,160,逢田梨香子,1
103,松浦果南,KANAN MATSUURA,3,2月10日,Ｏ型,162,諏訪ななか,1
104,黒澤ダイヤ,DIA KUROSAWA,3,1月1日,Ａ型,162,小宮有紗,1
105,渡辺曜,YOU WATANABE,2,4月17日,ＡＢ型,157,斉藤朱夏,1
106,津島善子,YOSHIKO TSUSHIMA,1,7月13日,Ｏ型,156,小林愛香,1
107,国木田花丸,HANAMARU KUNIKIDA,1,3月4日,Ｏ型,152,高槻かなこ,1
108,小原鞠莉,MARI OHARA,3,6月13日,ＡＢ型,163,鈴木愛奈,1
109,黒澤ルビィ,RUBY KUROSAWA,1,9月21日,Ａ型,154,降幡 愛,1
110,Aqours,,？,？月？日,？型,？,？？？？,1
111,しいたけ,SHIITAKE,？,？月？日,？型,？,？？？？,1
112,鹿角理亞,LEAH KAZUNO,1,12月12日,ＡＢ型,153,佐藤日向,1
113,鹿角聖良,SARAH KAZUNO,3,5月4日,Ａ型,162,田野アサミ,1
114,うちっちー,UCHICCHI,？,？月？日,？型,？,？？？？,1
115,千歌の母,CHIKA'S MOTHER,？,？月？日,？型,？,？？？？,1
116,佐藤洋子,YOKO SATO,？,？月？日,？型,？,？？？？,1
117,わたあめ,WATAAME,？,？月？日,？型,？,？？？？,1
118,よしみ,YOSHIMI,2,？月？日,？型,？,？？？？,1
119,いつき,ITSUKI,2,？月？日,？型,？,？？？？,1
120,むつ,MUTSU,2,？月？日,？型,？,？？？？,1
121,高海美渡,MITO TAKAMI,？,？月？日,？型,？,？？？？,1
122,高海志満,SHIMA TAKAMI,？,？月？日,？型,？,？？？？,1
123,梨子の母,RIKO'S MOTHER,？,？月？日,？型,？,？？？？,1
124,Aqours,Aqours,？,？月？日,？型,？,？？？？,1
125,しいたけの子ども,SHIITAKE'S CHILDREN,？,？月？日,？型,？,？？？？,1
126,あんこ,Anko,？,？月？日,？型,？,？？？？,1
127,ブロッサム,BLOSSOM,？,？月？日,？型,？,？？？？,1
128,バブルス,BUBBLES,？,？月？日,？型,？,？？？？,1
129,バターカップ,BUTTERCUP,？,？月？日,？型,？,？？？？,1
130,渡辺月,TSUKI WATANABE,？,？月？日,？型,？,？？？？,1
131,しんのすけ,SHINNOSUKE,？,？月？日,？型,？,？？？？,1
134,ひまわり,HIMAWARI,？,？月？日,？型,？,？？？？,1
135,シロ,SHIRO,？,？月？日,？型,？,？？？？,1
136,しんちゃん,SHINCHAN,？,？月？日,？型,？,？？？？,1
137,ボーちゃん,BO-CHAN,？,？月？日,？型,？,？？？？,1
138,風間くん,KAZAMA-KUN,？,？月？日,？型,？,？？？？,1
139,ネネちゃん,NENE-CHAN,？,？月？日,？型,？,？？？？,1
140,マサオくん,MASAO-KUN,？,？月？日,？型,？,？？？？,1
143,玲,LEI,？,？月？日,？型,？,？？？？,1
144,エリザベス,ELIZABETH,？,？月？日,？型,？,？？？？,1
145,マリー,MARIE,？,？月？日,？型,？,？？？？,1
146,マーガレット,MARGARET,？,？月？日,？型,？,？？？？,1
147,ひかり,HIKARI,？,？月？日,？型,？,？？？？,1
148,ナギ,NAGI,？,？月？日,？型,？,？？？？,1
149,エリザベス,ELIZABETH,？,？月？日,？型,？,？？？？,1
150,マーガレット,MARGARET,？,？月？日,？型,？,？？？？,1
151,ジュスティーヌ＆カロリーヌ,JUSTINE & CAROLINE,？,？月？日,？型,？,？？？？,1
152,岳羽ゆかり,YUKARI TAKEBA,？,？月？日,？型,？,？？？？,1
153,桐条美鶴,MITSURU KIRIJO,？,？月？日,？型,？,？？？？,1
154,山岸風花,FUUKA YAMAGISHI,？,？月？日,？型,？,？？？？,1
155,アイギス,AEGIS,？,？月？日,？型,？,？？？？,1
156,汐見琴音,KOTONE SHIOMI,？,？月？日,？型,？,？？？？,1
157,里中千枝,CHIE SATONAKA,？,？月？日,？型,？,？？？？,1
158,天城雪子,YUKIKO AMAGI,？,？月？日,？型,？,？？？？,1
159,久慈川りせ,RISE KUJIKAWA,？,？月？日,？型,？,？？？？,1
160,白鐘直斗,NAOTO SHIROGANE,？,？月？日,？型,？,？？？？,1
161,マリー,MARIE,？,？月？日,？型,？,？？？？,1
162,パンサー,PANTHER,？,？月？日,？型,？,？？？？,1
163,クイーン,QUEEN,？,？月？日,？型,？,？？？？,1
164,ナビ,ORACLE,？,？月？日,？型,？,？？？？,1
165,ノワール,NOIR,？,？月？日,？型,？,？？？？,1
166,ヴァイオレット,VIOLET,？,？月？日,？型,？,？？？？,1
167,エリザベス,ELIZABETH,？,？月？日,？型,？,？？？？,1
168,カレン,Kallen,？,？月？日,？型,？,？？？？,1
169,シャーリー,Shirley,？,？月？日,？型,？,？？？？,1
170,C.C.,C.C.,？,？月？日,？型,？,？？？？,1
171,コーネリア,Cornelia,？,？月？日,？型,？,？？？？,1
172,ユーフェミア,Euphemia,？,？月？日,？型,？,？？？？,1
173,ナナリー,Nunnally,？,？月？日,？型,？,？？？？,1
174,ヴィレッタ,Villetta,？,？月？日,？型,？,？？？？,1
175,咲世子,Sayoko,？,？月？日,？型,？,？？？？,1
176,アーニャ,Anya,？,？月？日,？型,？,？？？？,1
191,高海千歌,CHIKA TAKAMI,？,8月1日,Ｂ型,？,伊波杏樹,1
192,桜内梨子,RIKO SAKURAUCHI,？,9月19日,Ａ型,？,逢田梨香子,1
193,松浦果南,KANAN MATSUURA,？,2月10日,Ｏ型,？,諏訪ななか,1
194,黒澤ダイヤ,DIA KUROSAWA,？,1月1日,Ａ型,？,小宮有紗,1
195,渡辺曜,YOU WATANABE,？,4月17日,ＡＢ型,？,斉藤朱夏,1
196,津島善子,YOSHIKO TSUSHIMA,？,7月13日,Ｏ型,？,小林愛香,1
197,国木田花丸,HANAMARU KUNIKIDA,？,3月4日,Ｏ型,？,高槻かなこ,1
198,小原鞠莉,MARI OHARA,？,6月13日,ＡＢ型,？,鈴木愛奈,1
199,黒澤ルビィ,RUBY KUROSAWA,？,9月21日,Ａ型,？,降幡 愛,1
201,上原歩夢,AYUMU UEHARA,2,3月1日,Ａ型,159,大西亜玖璃,1
202,中須かすみ,KASUMI NAKASU,1,1月23日,Ｂ型,155,相良茉優,1
203,桜坂しずく,SHIZUKU OSAKA,1,4月3日,Ａ型,157,前田佳織里,1
204,朝香果林,KARIN ASAKA,3,6月29日,ＡＢ型,167,久保田未夢,1
205,宮下愛,AI MIYASHITA,2,5月30日,Ａ型,163,村上奈津実,1
206,近江彼方,KANATA KONOE,3,12月16日,Ｏ型,158,鬼頭明里,1
207,優木せつ菜,SETSUNA YUKI,2,8月8日,Ｏ型,154,林 鼓子,1
208,エマ・ヴェルデ,EMMA VERDE,3,2月5日,Ｏ型,166,指出毬亜,1
209,天王寺璃奈,RINA TENNOJI,1,11月13日,Ｂ型,149,田中ちえ美,1
210,川本美里,MISATO KAWAMOTO,？,？月？日,？型,？,？？？？,1
211,夏川マイ,MAI NATSUKAWA,？,？月？日,？型,？,？？？？,1
212,三船栞子,SHIORIKO MIFUNE,1,10月5日,ＡＢ型,160,小泉萌香,1
213,ショウ・ランジュ,LANZHU ZHONG,2,2月15日,Ｂ型,165,法元明菜,1
214,ミア・テイラー,MIA TAYLOR,3,12月6日,ＡＢ型,156,内田 秀,1
301,澁谷かのん,KANON SHIBUYA,1,5月1日,Ａ型,159,伊達さゆり,1
302,唐可可,KEKE TANG,1,7月17日,Ｏ型,159,Liyuu,1
303,嵐千砂都,CHISATO ARASHI,1,2月25日,Ｂ型,155,岬 なこ,1
304,平安名すみれ,SUMIRE HEANNA,1,9月28日,ＡＢ型,161,ペイトン尚未,1
305,葉月恋,REN HAZUKI,1,11月24日,Ａ型,163,青山なぎさ,1
306,桜小路きな子,Kinako Sakurakoji,1,4月10日,Ｏ型,159,鈴原希実,1
307,米女メイ,Mei Yoneme,1,10月29日,Ａ型,155,薮島朱音,1
308,若菜四季,Shiki Wakana,1,6月17日,Ｂ型,161,大熊和奏,1
309,鬼塚夏美,Natsumi Onitsuka,1,8月7日,ＡＢ型,152,絵森 彩,1
311,聖澤悠奈,Yuuna Hijirisawa,？,？月？日,？型,？,吉武千颯,1
312,柊摩央,Mao Hiiragi,？,？月？日,？型,？,結木ゆな,1
313,さや,Saya,？,？月？日,？型,？,？？？？,1
314,ナナミ,Nanami,？,？月？日,？型,？,？？？？,1
315,ヤエ,Yae,？,？月？日,？型,？,？？？？,1
316,ココノ,Kokono,？,？月？日,？型,？,？？？？,1
317,理事長,Director,？,？月？日,？型,？,？？？？,1
318,澁谷ありあ,Aria Shibuya,？,？月？日,？型,？,？？？？,1
319,かのんの母,Kanon's mother,？,？月？日,？型,？,？？？？,1
320,マンマル,Manmaru,？,？月？日,？型,？,？？？？,1
321,チビ,Chibi,？,？月？日,？型,？,？？？？,1
501,C.C.,C.C.,？,？月？日,？型,？,？？？？,1
502,アーニャ,Anya,？,？月？日,？型,？,？？？？,1
503,ヴィレッタ,Villetta,？,？月？日,？型,？,？？？？,1
504,カレン,Kallen,？,？月？日,？型,？,？？？？,1
505,コーネリア,Cornelia,？,？月？日,？型,？,？？？？,1
506,シャーリー,Shirley,？,？月？日,？型,？,？？？？,1
507,セシル,Cecile,？,？月？日,？型,？,？？？？,1
508,ナナリー,Nunnally,？,？月？日,？型,？,？？？？,1
509,ニーナ,Nina,？,？月？日,？型,？,？？？？,1
510,ノネット,Nonette,？,？月？日,？型,？,？？？？,1
511,マリアンヌ,Marianne,？,？月？日,？型,？,？？？？,1
512,ミレイ,Milly,？,？月？日,？型,？,？？？？,1
513,モニカ,Monica,？,？月？日,？型,？,？？？？,1
514,ユーフェミア,Euphemia,？,？月？日,？型,？,？？？？,1
515,ラクシャータ,Rakshata,？,？月？日,？型,？,？？？？,1
516,ローマイヤ,Lohmeyer,？,？月？日,？型,？,？？？？,1
517,咲世子,Sayoko,？,？月？日,？型,？,？？？？,1
518,周香凛,Zhou Xianglin,？,？月？日,？型,？,？？？？,1
519,神楽那,Kaguya,？,？月？日,？型,？,？？？？,1
520,千葉凪沙,Nagisa Chiba,？,？月？日,？型,？,？？？？,1
521,天子,Emperor,？,？月？日,？型,？,？？？？,1
522,シャムナ,Shamuna,？,？月？日,？型,？,？？？？,1
901,高坂穂乃果,HONOKA KOSAKA,？,8月3日,Ｏ型,？,新田恵海,1
902,絢瀬絵里,ELI AYASE,？,10月21日,Ｂ型,？,南條愛乃,1
903,南ことり,KOTORI MINAMI,？,9月12日,Ｏ型,？,内田 彩,1
904,園田海未,UMI SONODA,？,3月15日,Ａ型,？,三森すずこ,1
905,星空凛,RIN HOSHIZORA,？,11月1日,Ａ型,？,飯田里穂,1
906,西木野真姫,MAKI NISHIKINO,？,4月19日,ＡＢ型,？,Pile,1
907,東條希,NOZOMI TOJO,？,6月9日,Ｏ型,？,楠田亜衣奈,1
908,小泉花陽,HANAYO KOIZUMI,？,1月17日,Ｂ型,？,久保ユリカ,1
909,矢澤にこ,NICO YAZAWA,？,7月22日,Ａ型,？,徳井青空,1
911,高海千歌,CHIKA TAKAMI,？,8月1日,Ｂ型,？,伊波杏樹,1
912,桜内梨子,RIKO SAKURAUCHI,？,9月19日,Ａ型,？,逢田梨香子,1
913,松浦果南,KANAN MATSUURA,？,2月10日,Ｏ型,？,諏訪ななか,1
914,黒澤ダイヤ,DIA KUROSAWA,？,1月1日,Ａ型,？,小宮有紗,1
915,渡辺曜,YOU WATANABE,？,4月17日,ＡＢ型,？,斉藤朱夏,1
916,津島善子,YOSHIKO TSUSHIMA,？,7月13日,Ｏ型,？,小林愛香,1
917,国木田花丸,HANAMARU KUNIKIDA,？,3月4日,Ｏ型,？,高槻かなこ,1
918,小原鞠莉,MARI OHARA,？,6月13日,ＡＢ型,？,鈴木愛奈,1
919,黒澤ルビィ,RUBY KUROSAWA,？,9月21日,Ａ型,？,降幡 愛,1
921,高坂穂乃果,HONOKA KOSAKA,？,8月3日,Ｏ型,？,新田恵海,1
922,絢瀬絵里,ELI AYASE,？,10月21日,Ｂ型,？,南條愛乃,1
923,南ことり,KOTORI MINAMI,？,9月12日,Ｏ型,？,内田 彩,1
924,園田海未,UMI SONODA,？,3月15日,Ａ型,？,三森すずこ,1
925,星空凛,RIN HOSHIZORA,？,11月1日,Ａ型,？,飯田里穂,1
926,西木野真姫,MAKI NISHIKINO,？,4月19日,ＡＢ型,？,Pile,1
927,東條希,NOZOMI TOJO,？,6月9日,Ｏ型,？,楠田亜衣奈,1
928,小泉花陽,HANAYO KOIZUMI,？,1月17日,Ｂ型,？,久保ユリカ,1
929,矢澤にこ,NICO YAZAWA,？,7月22日,Ａ型,？,徳井青空,1
931,高海千歌,CHIKA TAKAMI,？,8月1日,Ｂ型,？,伊波杏樹,1
932,桜内梨子,RIKO SAKURAUCHI,？,9月19日,Ａ型,？,逢田梨香子,1
933,松浦果南,KANAN MATSUURA,？,2月10日,Ｏ型,？,諏訪ななか,1
934,黒澤ダイヤ,DIA KUROSAWA,？,1月1日,Ａ型,？,小宮有紗,1
935,渡辺曜,YOU WATANABE,？,4月17日,ＡＢ型,？,斉藤朱夏,1
936,津島善子,YOSHIKO TSUSHIMA,？,7月13日,Ｏ型,？,小林愛香,1
937,国木田花丸,HANAMARU KUNIKIDA,？,3月4日,Ｏ型,？,高槻かなこ,1
938,小原鞠莉,MARI OHARA,？,6月13日,ＡＢ型,？,鈴木愛奈,1
939,黒澤ルビィ,RUBY KUROSAWA,？,9月21日,Ａ型,？,降幡 愛,1
940,高海千歌,CHIKA TAKAMI,？,8月1日,Ｂ型,？,伊波杏樹,1
941,桜内梨子,RIKO SAKURAUCHI,？,9月19日,Ａ型,？,逢田梨香子,1
942,松浦果南,KANAN MATSUURA,？,2月10日,Ｏ型,？,諏訪ななか,1
943,黒澤ダイヤ,DIA KUROSAWA,？,1月1日,Ａ型,？,小宮有紗,1
944,渡辺曜,YOU WATANABE,？,4月17日,ＡＢ型,？,斉藤朱夏,1
945,津島善子,YOSHIKO TSUSHIMA,？,7月13日,Ｏ型,？,小林愛香,1
946,国木田花丸,HANAMARU KUNIKIDA,？,3月4日,Ｏ型,？,高槻かなこ,1
947,小原鞠莉,MARI OHARA,？,6月13日,ＡＢ型,？,鈴木愛奈,1
948,黒澤ルビィ,RUBY KUROSAWA,？,9月21日,Ａ型,？,降幡 愛,1
949,高坂穂乃果,Honoka Kosaka,？,8月3日,Ｏ型,？,新田恵海,1
950,絢瀬絵里,Eli Ayase,？,10月21日,Ｂ型,？,南條愛乃,1
951,南ことり,Kotori Minami,？,9月12日,Ｏ型,？,内田 彩,1
952,園田海未,Umi Sonoda,？,3月15日,Ａ型,？,三森すずこ,1
953,星空凛,Rin Hoshizora,？,11月1日,Ａ型,？,飯田里穂,1
954,西木野真姫,Maki Nishikino,？,4月19日,ＡＢ型,？,Pile,1
955,東條希,Nozomi Tojo,？,6月9日,Ｏ型,？,楠田亜衣奈,1
956,小泉花陽,Hanayo Koizumi,？,1月17日,Ｂ型,？,久保ユリカ,1
957,矢澤にこ,Nico Yazawa,？,7月22日,Ａ型,？,徳井青空,1
