_masterCardId,_index,_getCategory,_value,_masterReleaseLabelId
30040004,1,1,1110001,1
30040005,1,1,1110001,1
30040006,1,1,1110001,1
30050004,1,1,1110001,1
30050005,1,1,1110001,1
30050006,1,1,1110001,1
30060004,1,1,1110001,1
30060005,1,1,1110001,1
30060006,1,1,1110001,1
30070004,1,1,1110001,1
30070005,1,1,1110001,1
30070006,1,1,1110001,1
30080004,1,1,1110001,1
30080005,1,1,1110001,1
30080006,1,1,1110001,1
30090004,1,1,1110001,1
30090005,1,1,1110001,1
30090006,1,1,1110001,1
30100004,1,1,1110001,1
30100005,1,1,1110001,1
30100006,1,1,1110001,1
30110004,1,1,1110001,1
30110005,1,1,1110001,1
30110006,1,1,1110001,1
30120004,1,1,1110001,1
30120005,1,1,1110001,1
30120006,1,1,1110001,1
40010004,1,1,1110001,1
40010005,1,1,1110001,1
40010006,1,1,1110001,1
40020004,1,1,1110001,1
40020005,1,1,1110001,1
40020006,1,1,1110001,1
40030004,1,1,1110001,1
40030005,1,1,1110001,1
40030006,1,1,1110001,1
40040004,1,1,1110001,1
40040005,1,1,1110001,1
40040006,1,1,1110001,1
40050004,1,1,1110001,1
40050005,1,1,1110001,1
40050006,1,1,1110001,1
40060004,1,1,1110001,1
40060005,1,1,1110001,1
40060006,1,1,1110001,1
40070004,1,1,1110001,1
40070005,1,1,1110001,1
40070006,1,1,1110001,1
40080004,1,1,1110001,1
40080005,1,1,1110001,1
40080006,1,1,1110001,1
40090004,1,1,1110001,1
40090005,1,1,1110001,1
40090006,1,1,1110001,1
10010001,1,1,1110001,1
10010002,1,1,1110001,1
10010003,1,1,1110001,1
10010004,1,1,1110001,1
10010005,1,1,1110001,1
10010006,1,1,1110001,1
10010007,1,1,1110001,1
10010008,1,1,1110001,1
10010009,1,1,1110001,1
10020001,1,1,1110001,1
10020002,1,1,1110001,1
10020003,1,1,1110001,1
10020004,1,1,1110001,1
10020005,1,1,1110001,1
10020006,1,1,1110001,1
10020007,1,1,1110001,1
10020008,1,1,1110001,1
10020009,1,1,1110001,1
10030001,1,1,1110001,1
10030002,1,1,1110001,1
10030003,1,1,1110001,1
10030004,1,1,1110001,1
10030005,1,1,1110001,1
10030006,1,1,1110001,1
10030007,1,1,1110001,1
10030008,1,1,1110001,1
10030009,1,1,1110001,1
10040001,1,1,1110001,1
10040002,1,1,1110001,1
10040003,1,1,1110001,1
10040004,1,1,1110001,1
10040005,1,1,1110001,1
10040006,1,1,1110001,1
10040007,1,1,1110001,1
10040008,1,1,1110001,1
10040009,1,1,1110001,1
10050001,1,1,1110001,1
10050002,1,1,1110001,1
10050003,1,1,1110001,1
10050004,1,1,1110001,1
10050005,1,1,1110001,1
10050006,1,1,1110001,1
10050007,1,1,1110001,1
10050008,1,1,1110001,1
10050009,1,1,1110001,1
10060001,1,1,1110001,1
10060002,1,1,1110001,1
10060003,1,1,1110001,1
10060004,1,1,1110001,1
10060005,1,1,1110001,1
10060006,1,1,1110001,1
10060007,1,1,1110001,1
10060008,1,1,1110001,1
10060009,1,1,1110001,1
10070001,1,1,1110001,1
10070002,1,1,1110001,1
10070003,1,1,1110001,1
10070004,1,1,1110001,1
10070005,1,1,1110001,1
10070006,1,1,1110001,1
10070007,1,1,1110001,1
10070008,1,1,1110001,1
10070009,1,1,1110001,1
10080001,1,1,1110001,1
10080002,1,1,1110001,1
10080003,1,1,1110001,1
10080004,1,1,1110001,1
10080005,1,1,1110001,1
10080006,1,1,1110001,1
10080007,1,1,1110001,1
10080008,1,1,1110001,1
10080009,1,1,1110001,1
10090001,1,1,1110001,1
10090002,1,1,1110001,1
10090003,1,1,1110001,1
10090004,1,1,1110001,1
10090005,1,1,1110001,1
10090006,1,1,1110001,1
10090007,1,1,1110001,1
10090008,1,1,1110001,1
10090009,1,1,1110001,1
20010001,1,1,1110001,1
20010002,1,1,1110001,1
20010003,1,1,1110001,1
20010004,1,1,1110001,1
20010005,1,1,1110001,1
20010006,1,1,1110001,1
20010007,1,1,1110001,1
20020001,1,1,1110001,1
20020002,1,1,1110001,1
20020003,1,1,1110001,1
20020004,1,1,1110001,1
20020005,1,1,1110001,1
20020006,1,1,1110001,1
20020007,1,1,1110001,1
20030001,1,1,1110001,1
20030002,1,1,1110001,1
20030003,1,1,1110001,1
20030004,1,1,1110001,1
20030005,1,1,1110001,1
20030006,1,1,1110001,1
20030007,1,1,1110001,1
20040001,1,1,1110001,1
20040002,1,1,1110001,1
20040003,1,1,1110001,1
20040004,1,1,1110001,1
20040005,1,1,1110001,1
20040006,1,1,1110001,1
20040007,1,1,1110001,1
20050001,1,1,1110001,1
20050002,1,1,1110001,1
20050003,1,1,1110001,1
20050004,1,1,1110001,1
20050005,1,1,1110001,1
20050006,1,1,1110001,1
20050007,1,1,1110001,1
20060001,1,1,1110001,1
20060002,1,1,1110001,1
20060003,1,1,1110001,1
20060004,1,1,1110001,1
20060005,1,1,1110001,1
20060006,1,1,1110001,1
20060007,1,1,1110001,1
20070001,1,1,1110001,1
20070002,1,1,1110001,1
20070003,1,1,1110001,1
20070004,1,1,1110001,1
20070005,1,1,1110001,1
20070006,1,1,1110001,1
20070007,1,1,1110001,1
20080001,1,1,1110001,1
20080002,1,1,1110001,1
20080003,1,1,1110001,1
20080004,1,1,1110001,1
20080005,1,1,1110001,1
20080006,1,1,1110001,1
20080007,1,1,1110001,1
20090001,1,1,1110001,1
20090002,1,1,1110001,1
20090003,1,1,1110001,1
20090004,1,1,1110001,1
20090005,1,1,1110001,1
20090006,1,1,1110001,1
20090007,1,1,1110001,1
30010001,1,1,1110001,1
30010002,1,1,1110001,1
30010003,1,1,1110001,1
30020001,1,1,1110001,1
30020002,1,1,1110001,1
30020003,1,1,1110001,1
30030001,1,1,1110001,1
30030002,1,1,1110001,1
30030003,1,1,1110001,1
30040001,1,1,1110001,1
30040002,1,1,1110001,1
30040003,1,1,1110001,1
30050001,1,1,1110001,1
30050002,1,1,1110001,1
30050003,1,1,1110001,1
30060001,1,1,1110001,1
30060002,1,1,1110001,1
30060003,1,1,1110001,1
30070001,1,1,1110001,1
30070002,1,1,1110001,1
30070003,1,1,1110001,1
30080001,1,1,1110001,1
30080002,1,1,1110001,1
30080003,1,1,1110001,1
30090001,1,1,1110001,1
30090002,1,1,1110001,1
30090003,1,1,1110001,1
30100001,1,1,1110001,1
30100002,1,1,1110001,1
30100003,1,1,1110001,1
30110001,1,1,1110001,1
30110002,1,1,1110001,1
30110003,1,1,1110001,1
30120001,1,1,1110001,1
30120002,1,1,1110001,1
30120003,1,1,1110001,1
40010001,1,1,1110001,1
40010002,1,1,1110001,1
40010003,1,1,1110001,1
40020001,1,1,1110001,1
40020002,1,1,1110001,1
40020003,1,1,1110001,1
40030001,1,1,1110001,1
40030002,1,1,1110001,1
40030003,1,1,1110001,1
40040001,1,1,1110001,1
40040002,1,1,1110001,1
40040003,1,1,1110001,1
40050001,1,1,1110001,1
40050002,1,1,1110001,1
40050003,1,1,1110001,1
40060001,1,1,1110001,1
40060002,1,1,1110001,1
40060003,1,1,1110001,1
40070001,1,1,1110001,1
40070002,1,1,1110001,1
40070003,1,1,1110001,1
40080001,1,1,1110001,1
40080002,1,1,1110001,1
40080003,1,1,1110001,1
40090001,1,1,1110001,1
40090002,1,1,1110001,1
40090003,1,1,1110001,1
