_id,_textJa,_textEn,_masterReleaseLabelId
Common_Filter,Filter,Narrow down,1
Common_Sort,Sort,Sorting,1
Common_AllSelect,All,all,1
Common_AllRelease,Clear all,All cancellation,1
Common_Sunday,Sunday,Sunday,1
Common_Monday,Monday,Monday,1
Common_Tuesday,Tuesday,Tuesday,1
Common_Wednesday,Wednesday,Wednesday,1
Common_Thursday,Thursday,Thursday,1
Common_Friday,Friday,Friday,1
Common_Saturday,Saturday,Saturday,1
Common_Daily,Daily,daily,1
Common_Weekly,Weekly,Weekly,1
Common_MusicArtistLabel,Artist,song,1
Common_MusicLyricistLabel,Lyricist,Lyrics,1
Common_MusicComposerLabel,Composition,Composition,1
Common_MusicArrangerLabel,Arrangement,Arrangement,1
Common_MusicArtistFormat,Artist: {0},Song: {0},1
Common_MusicLyricistFormat,Lyrics: {0},Lyrics: {0},1
Common_MusicComposerFormat,Composition: {0},Composition: {0},1
Common_MusicArrangerFormat,Arrangement: {0},Arrangement: {0},1
Common_MusicDetail,Lyrics: {0}<br>Composition: {1},Lyrics: {0}<br>Composition: {1},1
Common_CardFullName,[{0}] {1},[{0}] {1},1
Common_CardFullName2Line,[{0}]<br>{1},[{0}] <br> {1},1
Common_Rare1,R,R,1
Common_Rare2,SR,Sr,1
Common_Rare3,UR,UR,1
Common_Rare4,UR,UR,1
Common_Present,Present Box,present,1
Common_Reward,Reward,Reward,1
Common_Receive,Claimed {0}.,I received {0},1
Common_Nothing,None,none,1
Common_RoleVocal,Vocals,vocal,1
Common_RoleGuitar,Vocals,vocal,1
Common_RoleBass,Bass,base,1
Common_RoleDrum,Drums,drum,1
Common_RoleKeyboard,Keyboard,keyboard,1
Common_RoleSupport,Support,support,1
Common_TypeHeart,Smile,Smile,1
Common_TypeDiamond,Pure,pure,1
Common_TypeClover,,#VALUE!,1
Common_TypeSpade,Cool,cool,1
Common_MainStory,Main Story,Main story,1
Common_SubStory,Side Story,Substory,1
Common_EventStory,Event Story,Event story,1
Common_EventPoint,{0} pts,{0} pts,1
Common_EventCurrency_ChallengeLive,{0},{0} pieces,1
Common_EventCurrency_LiveTry,{0},{0} pieces,1
Common_EventCurrency_VsLive,{0},{0} person,1
Common_EventCurrency_MultiLive,{0},{0} person,1
Common_RankingRank,Rank {0},{0} position,1
Common_RankingRankOut,Out of Ranking,Outside the area,1
Common_CountBadge,{0},{0},1
Common_CountBadgeOverLimit,{0}+,{0}+,1
Common_SkipUntilNextDay_Zero,Hide this window until 12 am the next day.,Do not display this window until 0:00 the next day,1
Common_SkipUntilNextDay_Login,Hide this window until 4 am the next day.,Do not display this window until 4:00 the next day,1
Common_DoNotDisplayAfter,Do not show this window again.,"In the future, this window will not be displayed",1
Common_Percent,{0}%,{0}%,1
Common_Piece,{0},{0} pieces,1
Common_All,ALL,All,1
Common_Other,Liella!,Liella!,1
Common_XJAPAN,μ's,μ's,1
Common_LUNASEA,Aqours,Aqours,1
Common_GLAY,Nijigasaki,Rainbowzaki,1
Common_GroupOther,Other,others,1
Common_Grade,Year {0},{0} grade,1
Common_DifficultyNormal,NORMAL,NORMAL,1
Common_DifficultyHard,HARD,Hard,1
Common_DifficultyExpert,EXPERT,Expert,1
Common_DifficultyMaster,MASTER,Master,1
Common_StatusOfAchievement,Status,Progress,1
Common_Achieved,Achieved,Already achieved,1
Common_NotAchieved,Not completed,Not Achieved,1
Common_ExpirationDate,Expiration Date,date of expiry,1
Button_Close,Close,close,1
Button_Ok,OK,OK,1
Button_Next,Next,to the next,1
Button_Cancel,Cancel,cancel,1
Button_Decide,Confirm,Decision,1
Button_Update,Update,Update,1
Button_Retry,Retry,retry,1
Button_Return,Back,return,1
Button_VoiceOn,Voices On,There is voice,1
Button_VoiceOff,Voices Off,No voice,1
Button_Resume,Resume,Resume live,1
Button_Suspend,Quit,End the live,1
Button_Skip,Skip,skip,1
Button_Restart,Restart,Restart live,1
Button_Shop,Shop,shop,1
Button_Home,Home,home,1
Button_BuyGem,Purchase Gems,To the purchase of Loveka,1
Button_PresentBox,Present Box,To the present,1
Button_Chat,Chat,To the chat,1
Button_Release,Unlock,release,1
Button_Apply,Apply,Application,1
Button_Edit,Edit,edit,1
DueDate_DialogTitle_PresentBox,Expires,Deadline for receipt,1
DueDate_DialogCaution_PresentBox,*Unclaimed items will be lost.,"* If you cannot receive it, the items will disappear",1
DueDate_Dialog_ItemNum,Amount: {0},Number: {0},1
DueDate_DialogTitle_Item,Items Expiring Soon,Items near the expiration date,1
GachaTop_PeriodTime,Until {0} {1},Until {0} {1},1
GachaTop_PriceTitle,{0} Scouts,{0} Solicow,1
GachaTop_PriceTitleChargeGem,{0} Scouts (Paid),{0} Solicow (paid),1
GachaTop_PriceTitleFree,{0} Free Scouts,Free {0} recruitment for free,1
GachaTop_Price_Free,Free,free,1
GachaTop_BuyButton_Balloon_Daily,<color=#f93981>{0} times per day.</color><br>Resets at 12 am.,<color =#f93981> 1 day {0} times </color> <br> Updated every day,1
GachaTop_BuyButton_Balloon_ReritySR,1 <color=#f93981>SR or Better</color><br> Guaranteed!,<COLOR =#f93981> SR or more </color> <br> One person is confirmed!,1
GachaTop_BuyButton_Balloon_RerityUR,<color=#f93981>1 UR Guaranteed!</color>,<color =#f93981> UR one person is confirmed! </color>,1
GachaTop_BuyButton_Balloon_BonusItem,Comes with Extra<br>Item Rewards!,Items <br> With bonus!,1
GachaTop_BuyButton_Balloon_Free,{0} Scouts Free!,{0} free!,1
GachaTop_BuyButton_Balloon_Limit,{0}x Limit During Event!,Only during the period {0} times!,1
GachaTop_LimitDailyOnce,Once per Day,Limited once a day,1
GachaTop_LimitDailyAny,<color=#FD8E18>{0} times per day.</color><br>Resets daily at 12 am.,<color =#fd8e18> 1 day {0} times </color> <br> Updated every day,1
GachaTop_LimitCountOnce,One Time Only,One -time limited,1
GachaTop_LimitCountAny,{0}x remaining,And {0} times,1
GachaTop_LimitDailyOnceCountAny,{0} More<br><color=#FD8E18>(Once per Day)</color>,And {0} times <br> <color =#fd8e18> (only once a day) </color>,1
GachaTop_LimitDailyAnyCountAny,{0} More<br><color=#FD8E18>({1} More Today)</color>,And {0} times <br> <color =#fd8e18> (today and {1} times </color>,1
GachaTop_EnsureRareOnly,{1} {0} Guaranteed!,{0} {1}},1
GachaTop_EnsureRareOverContains,{1} {0} or Better Guaranteed!,{0} or more {1} person confirmed!,1
GachaTop_LimitOver,Limit reached.,The upper limit has reached,1
GachaTop_LimitOverDailyRepeat,Resets after<br>12 am.,It will be updated <br>,1
GachaTop_LimitEnd,Limit has been reached.,It's over,1
GachaTop_LimitStepup,Step up limit reached.,The number of steps is reached,1
GachaTop_MemberDetailCaution,*The stats shown for each member are those at max level and max Idolized state.<br>*The skill effects shown are for max level skills.,* Each status shows the maximum awakening and the maximum level value.<br>* Special skills indicate the maximum effects of the special skill level.,1
GachaTop_GachaDetailCaution,,,1
GachaTop_MemberDetailPhotoButtonEvolveBefore,Before Idolizing,Change before awakening,1
GachaTop_MemberDetailPhotoButtonEvolveAfter,After Idolizing,Change after awakening,1
GachaTop_BannerRemainTimeFormat,<size=85%>{0}<size=100%>left,<Size = 85%> And <size = 100%> {0},1
GachaTop_RateFormat,{0}%,{0}%,1
GachaTop_MemberRateFormat,f4,f4,1
GachaTop_RarityRateFormat,f2,f2,1
GachaTop_Step,STEP {0},STEP {0},1
GachaTop_StepCount,<size=59><color=#f93981>{0}</color><size=32>/{1},<size = 59> <color =#f93981> {0} </color> <size = 32>/{1},1
GameClose_Button_Album,Album,album,224031103
GameClose_Button_Information,Information notation,information,224031103
GameClose_Button_TitleList,Title,title,224031103
GameClose_InformationNote,Information notation,Information notation,224031103
GameClose_Inquiry,Inquiry,inquiry,224031103
GameClose_PaidGem,Possessed Paid Love Gems,Palace Loveka,224031103
GameClose_Payback,Refund,Refund,224031103
GameClose_Payback_CopyMessage,"Copied your ID, Refund Code, and contents of Love Gems you possess","Copy the contents of ID, refund code, and ownership Labka",224031103
GameClose_Payback_CopyText,ID {0}</br>Refund Code {1}</br>Paid Love Gems you possess  {2},ID {0}<br>Refund code {1}<br>Poleding Labka {2},224031103
GameClose_PaybackCode,Refund Code,Refund code,224031103
GameClose_UserId,ID,ID,224031103
GachaTop_BonusCount,<size=35><color=#f93981>{0}</color>,<size = 35> <color =#f93981> {0} </color>,1
GachaTop_BonusCount_Dialog,<size=40><color=#f93981>{0}</color>,<size = 40> <color =#f93981> {0} </color>,1
GachaTop_HasAmount,(Held: {0}),(Possession {0}),1
GachaTop_LimitDailyOnceChargeGem,Paid Love Gems only! Resets daily at 12 am.,Paid Loveka Limited! Updated every day at midnight,1
GachaTop_BonusReward,{0} Included Free!,{0} with bonus!,1
GachaTop_RunButtonText,<size=50>{0}<size=32> Scouts,<size = 50> {0} <size = 32> recruitment,1
GachaTop_RunButtonDialog_Title,Scout Tickets,Solicitation ticket,1
GachaTop_RunButtonDialog_TopButton,Tickets,ticket,1
GachaTop_RunButtonDialog_Caution,*Expired Tickets cannot be used for Scouting.<br>*Tickets can be used for your currently selected Scout.<br>*Tickets can be used to Scout the same content as Love Gems (10-Scout Tickets are the same as 10 Scouts).,"* If the ticket expires, solicitation cannot be made.<br>* You can make a solicitation you are currently selecting<br>* You can solicit it with the same content as when you use Labka (10 times solicitation tickets are applied to the same as 10 times).",1
GachaPlay_DialogOk,OK,OK,1
GachaPlay_DialogInfomation,*Items acquired after exceeding the item limit will be sent to your Present Box.,* The items acquired beyond the upper limit of the possession will be sent to the gift.,1
GachaConfirm_DialogTitle,Confirm,confirmation,1
GachaConfirm_Period,Event Period:,Holding period:,1
GachaConfirm_Count,{0} times,{0} times,1
GachaConfirm_TicketText,"Use {1} ""{0}""<br>to Scout {2} {3} times?",Do you want to solicit {{0} '{1} sheets and recruit {3} times with {2}?,1
GachaConfirm_GemText,Use {0} Love Gems<br>to Scout {1} {2} times?,Do you use {0} Loveka to solicit {2} times with {1}?,1
GachaConfirm_InfoText,Use {1} {0}<br>to Scout {2} times?,Do you use {1} {0} to solicit {2} times?,1
GachaConfirm_ConsumeLackText,Not enough {0}.,{0} is insufficient.,1
GachaConfirm_Buy,Complete purchase?,Do you want to buy?,1
GachaConfirm_Gem,Love Gems,Labka,1
GachaConfirm_ChargeGem,Paid Love Gems,Paid Loveka,1
GachaConfirm_BuyButton,PURCHASE,Purchase,1
GachaConfirm_GachaButton,SCOUT,Solicit,1
GachaResult_RemainingAny, more times,After a while,1
GachaResult_RemainingDailyAny, more times today,Today's left,1
GachaResult_TutorialSelectPhoto,Tap the member you like best.,Please touch your favorite members,1
GachaResult_GetPoint,"<font=""FOT-TsukuGoPr5-M SDF"">Acquire</font> {0} pts",{0} pt <font = 'fot-tsukugopr5-m SDF'> acquisition </font>,1
GachaResult_ResultPoint,{0} → {1},{0} → {1},1
GachaResult_Exchange,Item Exchange,Exchange,1
GachaResult_GetOverMemberMessage,"If a member has already been recruited,<br>you will receive Light Sticks instead.",If the members have already joined<br>You can get a penlight instead of a member,1
GachaResult_LimitBreakNoteText,*A new member has been recruited!,* A new member has joined!,1
GachaDetail_TabTitle,Scout Details,Solicitation details,1
GachaDetail_DialogTitle,Scout Details,Solicitation details,1
GachaDetail_Help,Important Notes,Notes,1
GachaDetail_GachaInfo,Scout Info,Solicitation outline,1
GachaDetail_Terms,Event Period,Period,1
GachaDetail_NewMember,New Member Introduction,Introducing new members,1
GachaDetail_Step,STEP {0},STEP {0},1
GachaRateDetail_TabTitle,Scout Rate,Appearance ratio,1
GachaRateDetail_DialogTitle,Scout Details,Solicitation details,1
GachaRateDetail_Help,Important Notes,Notes,1
GachaRateDetail_RarityRate,Scout Rate by Rarity,Appearance by rarity,1
GachaRateDetail_RarityRateUnensure,Scout Rate {0},Appearance ratio {0},1
GachaRateDetail_RarityRateEnsure,Guaranteed Scout Rate {0},Confirmed appearance ratio {0},1
GachaRateDetail_Main,Live Show Leader,Live in charge,1
GachaRateDetail_Support,Support,Support charge,1
GachaRateDetail_RarityRateMember,Member List,List of appear members,1
GachaRateDetail_RarityRateUnensureMember,Member List {0},List of appear members {0},1
GachaRateDetail_RarityRateEnsureMember,Member List {0},List of appear members {0},1
GachaFixedRateDetail_TabTitle,10-Scout Final Slot Rate,10th frame appearance ratio of 10 times,1
GachaFixedRateDetail_TabTitleStepup,10-Scout Final Slot Rate,10th frame appearance ratio of 10 times,1
GachaPickUpMemberDetail_TabTitle,Member Details,Details of the members,1
GachaPickUpMemberDetail_DialogTitle,Spotlight Member Details,Pickup member details,1
Consume_HasConsumeName,Hold,The number of possession,1
Consume_UseConsumeName,Required,Required number,1
Consume_PriceTitleChargeGem,{0} Scouts<br>(Paid Only),{0} deducted <br> (paid only),1
Consume_InfoOnConsumeMedal ,Note: Free Love Gems will be used first.,* Preliminary consumed from Loveka free of charge,1
WaitingMemberList_SealNumWordText,Scout Points Held,Having a solicitation point,1
WaitingMemberList_SealReplacementShopButton,Item Exchange,Exchange,1
WaitingMemberList_AllSelectButton,Select All,Select all,1
WaitingMemberList_SelectCharaNumWord,Selected,choosing,1
WaitingMemberList_SealChangeButton,Remove Member,Portion,1
WaitingMemberList_EmptyChara,There are no members who can be removed.,There is no member who can switch,1
WaitingMemberList_ItemGetNum,No. Received,Number of acquisitions,1
WaitingMemberList_CanGetItem,Items to Receive,Items that can be acquired,1
WaitingMemberList_ChangeResultShortMessage,Received {0} Light Sticks.,I got the penlight {0} individual,1
WaitingMemberList_ChangeDialogTitle,Confirm,confirmation,1
WaitingMemberList_ChangeDialogConfirm,"By saying goodbye to {0} member(s) from the waiting room, you will receive {1} Pen Lights.",The reception room member is {0} and the penlight is acquired by {1},1
WaitingMemberList_ChangeDialogCharaNumWord,Cards,Sheet,1
WaitingMemberList_ChangeDialogSealNumWord,Stickers,Individual,1
WaitingMemberList_ChangeDialogTotalSealWord,♪ Stickers,♪ Seal,1
CardIcon_LvWord,Lv.,Lv.,1
CardIcon_NumWord,x,x,1
CardIcon_SkillLvWord,Skill Lv.,Skill Lv.,1
CardIcon_HpWord,HP:,HP:,1
CardIcon_EventBonusWord,Bonus:,Bonus:,1
CardIcon_EventBonusParam,+{0}%,+{0}%,1
CardIcon_BonusParam,<size=20>+</size>{0}%,<size = 20>+</size> {0}%,1
CardIcon_UnlockNotJoin,Not Recruited,Not joining,1
Practice_EmptyItem,You do not have<br>any Lesson Notebooks.,Lesson notes<br>I don't have it,1
Practice_ExpWord,Next:,After,1
Practice_ResetButton,Reset,reset,1
Practice_RecommendButton,Auto,Random,1
Practice_Max,MAX,MAX,1
Practice_Gold,{0},{0},1
Practice_ItemSelect,Item Select,Item selection,1
Practice_NeedItem,Required Items,Required item,1
Practice_ItemShortageAlert,You do not have enough of the required items.,There is a shortage of items,1
Practice_LevelMaxAlert,You have already reached the maximum level.,The level is the maximum,1
SkillPractice_EmptyChara,This will exchange {0} members<br>for {1} Light Sticks.<br>Proceed?,The waiting room member {0} will be replaced with a person <br> Penlight {1} sheet <br> Are you sure?,1
SkillPractice_EmptyItem,You do not have<br>any Skill Notebooks.,Skill book<br>I don't have it,1
SkillPractice_SamePhotoBonus,Same Member Bonus,The same department bonus,1
SkillPractice_SameItemBonus,Same Item Bonus,A matching bonus,1
SkillPractice_PhotoTab,Waiting Room,waiting room,1
SkillPractice_ItemTab,Tickets,ticket,1
SkillPractice_HavingTextLavel,Held: {0},Possession: {0},1
Training_ConfirmDialogTitle,Confirm,confirmation,1
Training_ItemConfirmDialogMessage,These Light Sticks will be used to Idolize.<br>Would you like to continue?,Wake up using the selected penlight <br> Are you sure?,1
Training_CardConfirmDialogMessage,These Light Sticks will be used to Idolize.<br>Would you like to continue?,Wake up using the selected penlight <br> Are you sure?,1
Training_LackCoinConfirmDialogMessage,<color=#D73C55>Not enough Gold</color><br>to Idolize [{0}] {1}.,[{0}] {1} awakening <br> <color =#d73C55> Gold is not enough </color>,1
Training_ItemSettingDialogTitle,Consumable Item Settings,Consumer item setting,1
Training_ItemSettingDialogMessage,Set the number of required items to use.,Set the number of consumption of the required items,1
Training_NeedCount,No. Required,Required number,1
Training_NeedItem,Required Items,Necessary items,1
Training_NoSetting,Not Set,Unanimed,1
Training_MaxLevelAndStatus,Max Level & Stats,Maximum level and status value,1
Training_EmptyChara,No members can be Idolized.,There is no member who can awaken,1
Training_ItemConfirmDialogLimitNumNote,*You can Idolize up to {0} times.,* You can awaken until {0} times,1
Training_ItemAmount,{0},{0},1
Training_ItemAmountOverLimit,{0}+,{0}+,1
Training_SelectThisWay,Select method.,Select this method,1
Training_GoldLack,Not enough Gold.,Lack of gold,1
Training_LevelLack,Not at max level.,Level is not the largest,1
Training_AwakeningBefore,Before Idolizing,Before awakening,1
Training_AwakeningAfter,After Idolizing,After awakening,1
Training_MaxLv,Max Lv,Max Lv,1
Training_AwakenedMaxShortMessage,Idolized to max level.,Awakened to the maximum,1
Training_CardEvolveItem,Light Stick,Penlight,1
Training_CardEvolveItemSub1,Idolize Item,Awakening item,1
Training_CardEvolveItemSub2,Idolize Item,Awakening item,1
Training_CardEvolveItemSub3,Idolize Item,Awakening item,1
TrainingResult_TrainingTitle,Idolize Complete,Awakening completion,1
TrainingResult_TrainingMessage,Idolized!,Awakening has been completed,1
TrainingResult_EpisodeTitle,Story Completion Bonus,Story achievement bonus,1
TrainingResult_EpisodeMessage,Successfully unlocked the story<br>for [{0}] {1}.,[{0}] I succeeded in releasing the story of {1},1
TrainingResult_ReleaseMovieTitle,,,1
TrainingResult_ReleaseMovieMessage,,,1
StatusUpResult_EpisodeTitle,Story Completion Bonus,Story achievement bonus,1
StatusUpResult_Message,{0}'s stats<br>have been increased!,The status of {0} has been uploaded,1
CardDetail_EpisodeUnlockConfirm,"Use the following items to unlock the story, ""{0}""?",Do you use the following items and release the story '{0}'?,1
CardDetail_EpisodeUnlockLevel,Unlock conditions: Raise member Lv. to {0} or higher.,Liberation Conditions: Member Lv {0} or higher,1
CardDetail_EpisodeUnlockNeedNum,No. Required: {0},Necessary number: {0},1
CardDetail_EpisodeUnlockHaveNum,No. Held: {0},Number of possession: {0},1
CardDetail_EpisodeUnlockLackMaterial,<color=#D73C55>Not enough materials.</color>,<color =#d73C55> Lack of material items </color>,1
CardDetail_EpisodeUnlockLackLevel,<color=#D73C55>Member level is too low.<br>Current: Lv. {0} / Required: Lv. {1}</color>,<color =#d73C55> The level level is not enough <br> Currently lv. {0} / Required Lv. {1} < / color>,1
CardDetail_EpisodeUnlockLackGold,<color=#D73C55>Not enough Gold.</color>,<color =#d73C55> There is a lack of necessary gold </color>,1
CardDetail_UnlockEpisodePlayConfirmDialogTitle,Story Unlocked,Story release is completed,1
CardDetail_UnlockEpisodePlayConfirmDialogMessage,"""0}""<br>has been unlocked.<br>Read it now?",The story '{0}' has been released <br> <br> Do you read as it is?,1
CardDetail_EpisodePlayConfirmDialogTitle,Story,story,1
CardDetail_EpisodePlayConfirmDialogMessage,"Read the story,<br>""{0}""?",Do you read the story '{0}'?,1
CardDetail_ChangeIllustButton,Change Illustration,Illustration change,1
CardDetail_ExpansionButton,Expand,expansion,1
CardDetail_LevelWord,Level,level,1
CardDetail_ExpWord,Next:,After,1
CardDetail_Max,MAX,MAX,1
CardDetail_MemberDetailButton,Member Details,Details of the members,1
CardDetail_PracticeButton,Lesson,lesson,1
CardDetail_TrainingButton,Idolize,Awakening,1
CardDetail_SkillPracticeButton,Skill Lesson,Skill lesson,1
CardDetail_CardNormal,Normal,usually,1
CardDetail_Favorite,Favorite,favorite,1
CardDetail_Animation,Animation,anime,1
CardDetail_Effect,Cutscene,Directing,1
CardDetail_Status,Stats,status,1
CardDetail_Profile,Profile,profile,1
CardDetail_LevelStatus,Level and Stats,Level status value,1
CardDetail_CenterSkill,Center Skill,Center skill,1
CardDetail_Skill,Skill,Special skill,1
CardDetail_SkillLv,Skill Lv.,Special skill Lv,1
CardDetail_GachaButton,Scout,To solicit,1
CardDetail_SchoolYear,School Year,School year,1
CardDetail_Birthday,Birthday,birthday,1
CardDetail_BloodType,Blood Type,blood type,1
CardDetail_Height,Height,height,1
CardDetail_CharaVoice,VA,CV,1
CardDetail_SchoolYearInput,Year {0},,1
CardDetail_EpisodeUnlockConfirmDialogTitle,Unlock Story,Story release confirmation,1
CardDetail_EpisodeRewardDialogTitle,Story Rewards,Story reward,1
CardDetail_SpecialEpisodeRewardDialogTitle,Special Story Rewards,Special story reward,1
CardDetail_EpisodeRewardDialogMessage,Reward acquired!<br><color=#D73C55>You can claim your rewards from the present box.</color>,I got a reward! <color =#d73C55> Rewards can be received from the present </color>,1
CardDetail_EpisodePlayDialogUseVoiceButton,Voices On,There is voice,1
CardDetail_EpisodePlayDialogNoVoiceButton,Voices Off,No voice,1
CardDetail_CharacterEpisodeLevel,Story Lv. {0},Story Lv. {0},1
CardDetail_CardGetCategoryGacha,Scout,Solicitation,1
CardDetail_CardGetCategoryEvent,Events,event,1
CardDetail_CardGetCategoryExchange,Item Exchange,Exchange,1
CardDetail_CardGetCategoryStory,Story,story,1
CardDetail_CardGetCategoryMission,Missions,Mission,1
CardDetail_CardGetDetailGacha,Can be obtained by {0} Scouting!,Available with solicitation '{0}'!,1
CardDetail_CardGetDetailEvent,Can be obtained from the {0} event!,Available at the event '{0}'!,1
CardDetail_CardGetDetailExchange,Can be obtained from the {0} Item Exchange!,Available at the exchange '{0}'!,1
CardDetail_CardGetDetailStory,Can be obtained from the {0} story!,Available in the story '{0}'!,1
CardDetail_CardGetDetailMission,Can be obtained from missions!,Available in mission!,1
CardDetail_NoticeLevelMaxDisplay,The stats shown are those at max level and max Idolized state.,The status at the maximum of the awakening stage / level is displayed,1
Album_NotCanGet,Cannot recruit at this time.,I can't join now,1
Album_GachaCanGet,You can recruit this member by <color=#DF4444>Scouting</color>.,<COLOR =#DF4444> A member who can join by solicitation </color>,1
Album_EventCanGet,You can recruit this member from <color=#DF4444>events</color>.,<COLOR =#DF4444> A member who can join at the event </color>,1
Album_ExchangeCanGet,You can recruit this member from the <color=#DF4444>Item Exchange</color>.,<COLOR =#df4444> A member who can join with an exchange </color>,1
Album_CampaignCanGet,,#VALUE!,1
Album_LoginbonusCanGet,You can recruit this member from <color=#DF4444>login bonuses</color>.,<COLOR =#DF4444> Login bonus </color>.,1
Album_StoryCanGet,You can recruit this member from the <color=#DF4444>story</color>.,<Color =#df4444> Story </color> is a member who can join,1
Album_TrainingCanGet,,#VALUE!,1
Album_MissionCanGet,You can recruit this member from <color=#DF4444>missions</color>.,<Color =#df4444> Mission </color>.,1
Album_BeginnerMissionCanGet,You can recruit this member from <color=#DF4444>beginner missions</color>.,<COLOR =#DF4444> A member who can join with a beginner mission </color>,1
Album_GachaCanNotGet,"A new member from ""{0}"".<br>You cannot recruit her via the currently available Scouts.",It is a new member of '{0}' <br> I can not join with a solicitation currently being held.,1
Album_EventCanNotGet,A new member from the {0} event.<br>You cannot recruit her via the currently available events or Item Exchange.,It is a new member of the event '{0}'.,1
Album_CampaignCanNotGet,A member from the {0} campaign.<br>She is not currently available.,I'm a campaign member of '{0}' <br> I can't join now,1
Album_GachaOkButton,Scout,To solicit,1
Album_EventOkButton,Event Top,To the event TOP,1
Album_ExchangeOkButton,Item Exchange,To the exchange,1
Album_StoryOkButton,Story,To the story,1
Album_TrainingOkButton,Member Details,To the details of the member,1
Album_MissionOkButton,Missions,To the mission,1
Album_DefaultOkButton,OK,OK,1
Album_Empty,No albums.,No album,1
Album_DialogTitle,Sort Albums,Album sorting,1
Album_DialogGetTypeWord,Recruitment Status,Status of joining,1
Album_DialogTrainingTypeWord,Idolize Status,Awakening state,1
Album_DialogGetTypeAll,All,all,1
Album_DialogGetTypeTitle,Held,Possession,1
Album_DialogGetTypeUnlock,Held,Possession,1
Album_DialogGetTypeLock,Not Obtained,Unpalated,1
Album_DialogMovieTypeTitle,Video,movie,1
Album_DialogMovieTypeHas,With Video,With a video,1
Album_DialogMovieTypeNot,No Video,No video,1
Album_DialogEpisodeTypeTitle,Story,story,1
Album_DialogEpisodeTypeHas,With Story,With a story,1
Album_DialogEpisodeTypeNot,No Story,No story,1
Album_DialogSpPhotoTypeTitle,SP Photos,SP photo,1
Album_DialogSpPhotoTypeHas,With SP Photo,With SP photo,1
Album_DialogSpPhotoTypeNot,No SP Photo,No SP photo,1
Album_DialogEvolveTypeAll,All,all,1
Album_DialogEvolveTypeNotEvolved,Before Idolizing,Before awakening,1
Album_DialogEvolveTypeEvolved,After Idolizing,After awakening,1
Album_DialogSortTypeId,Default,Default,1
Album_DialogSortTypeUnlock,Order obtained,Obtaining procedure,1
