_id,_masterCharacterId,_name,_type,_masterSkillCenterId,_masterSkillId,_rarity,_hp,_smile,_cool,_pure,_illustId,_evolveIllustId,_masterCardLevelId,_uniqueBackgroundFileName,_evolveUniqueBackgroundFileName,_getCategory,_masterCardSysVoiceId,_albumUnitMId,_priority,_nameEn,_masterReleaseLabelId
10050003,1005,元気にジャンプ☆,3,300001,10050003,1,2,3107,4073,2820,01005_0003_00,01005_0003_01,1,,,1,0,0,0,Joyful Jump!,1
10050004,1005,準備万端,2,200001,10050004,1,2,3352,2952,3696,01005_0004_00,01005_0004_01,1,,,1,0,0,0,Good to Go,1
10050005,1005,屋上練習,3,300001,10050005,1,2,3275,3805,2920,01005_0005_00,01005_0005_01,1,,,1,0,0,0,Rooftop Practice,1
10050006,1005,よろしくにゃ♪,1,100001,10050006,1,2,3915,3180,2905,01005_0006_00,01005_0006_01,1,,,1,0,0,0,Counting on Mew~!,1
10050007,1005,おやすみ準備,2,200001,10050007,1,2,3001,3191,3808,01005_0007_00,01005_0007_01,1,,,1,0,0,0,Getting Ready for Bed,1
10050008,1005,レッツハイキング,1,100001,10050008,1,2,3751,3113,3136,01005_0008_00,01005_0008_01,1,,,1,0,0,0,Let's Go Hiking!,1
10050009,1005,タイムを競う,3,300001,10050009,1,2,3019,3809,3172,01005_0009_00,01005_0009_01,1,,,1,0,0,0,Race Against Time,1
10050010,1005,μ'ｓの元気印,1,100002,10050010,2,3,4192,3481,3827,01005_0010_00,01005_0010_01,2,b_card_0001,b_card_0028,1,0,0,0,μ's's Bundle of Energy,1
10050011,1005,凛をご覧下さいにゃ♪,2,200002,10050011,2,3,3564,3272,4664,01005_0011_00,01005_0011_01,2,b_card_0005,b_card_0034,1,0,0,0,Check Out Rin-nyan~!,1
10050012,1005,きまぐれにゃんこ,3,300002,10050012,2,3,3508,4533,3459,01005_0012_00,01005_0012_01,2,b_card_0006,b_card_0039,1,0,0,0,Fickle Kitten,1
10050013,1005,きらめく屋上,3,300004,10050013,3,4,4136,4958,3906,01005_0013_00,01005_0013_01,3,,,1,10050013,0,0,Dazzling Rooftop,1
10050014,1005,初めての手作りチョコ,1,100003,10050014,3,4,5229,3828,3943,01005_0014_00,01005_0014_01,3,,,4,0,2021,0,My First Handmade Chocolate,1
10060001,1006,大病院のお嬢様,1,100001,10060001,1,2,3748,3179,3073,01006_0001_00,01006_0001_01,1,,,1,0,0,0,Hospital Heiress,1
10060002,1006,高飛車,2,200001,10060002,1,2,3136,3023,3841,01006_0002_00,01006_0002_01,1,,,1,0,0,0,On a High Horse,1
10060003,1006,誇りを持って,3,300001,10060003,1,2,3216,3632,3152,01006_0003_00,01006_0003_01,1,,,1,0,0,0,With Pride,1
10060004,1006,強気で練習,2,200001,10060004,1,2,3301,2932,3767,01006_0004_00,01006_0004_01,1,,,1,0,0,0,Practice with Confidence,1
10060005,1006,ストレッチから,3,300001,10060005,1,2,2944,3999,3057,01006_0005_00,01006_0005_01,1,,,1,0,0,0,Start with Stretching,1
10060006,1006,果敢に意見,1,100001,10060006,1,2,4025,2960,3015,01006_0006_00,01006_0006_01,1,,,1,0,0,0,Bold Opinion,1
10060007,1006,明日の予定は,2,200001,10060007,1,2,2841,3071,4088,01006_0007_00,01006_0007_01,1,,,1,0,0,0,Plans for Tomorrow,1
10060008,1006,お嬢様のおでかけ,1,100001,10060008,1,2,3775,2938,3287,01006_0008_00,01006_0008_01,1,,,1,0,0,0,Young Lady's Outing,1
10060009,1006,スパイラルを決めて,3,300001,10060009,1,2,2955,3878,3167,01006_0009_00,01006_0009_01,1,,,1,0,0,0,Land the Spiral,1
10060010,1006,放課後の歌姫,1,100002,10060010,2,3,4433,3516,3551,01006_0010_00,01006_0010_01,2,b_card_0001,b_card_0033,1,0,0,0,After-School Diva,1
10060011,1006,秘密の診察室,2,200002,10060011,2,3,3697,3487,4316,01006_0011_00,01006_0011_01,2,b_adv_0022,b_card_0075,1,0,0,0,Secret Examination Room,1
10060012,1006,次の獲物はアナタ,3,300002,10060012,2,3,3563,4649,3288,01006_0012_00,01006_0012_01,2,b_card_0007,b_card_0039,1,0,0,0,You're My Next Target,1
10060013,1006,スマホ越しのはにかみ,2,200004,10060013,3,4,4107,4070,4823,01006_0013_00,01006_0013_01,3,,,1,10060013,0,0,Shy Behind the Screen,1
10060014,1006,フルーツティー,3,300003,10060014,3,4,3984,4866,4150,01006_0014_00,01006_0014_01,3,,,4,0,2022,0,Fruit Tea,1
10070001,1007,意外と策士,1,100001,10070001,1,2,3880,3020,3100,01007_0001_00,01007_0001_01,1,,,1,0,0,0,Surprising Tactician,1
10070002,1007,巻き込んじゃうぞ,2,200001,10070002,1,2,3075,2825,4100,01007_0002_00,01007_0002_01,1,,,1,0,0,0,I'm Dragging You In!,1
10070003,1007,のほほんとして,3,300001,10070003,1,2,2862,4066,3072,01007_0003_00,01007_0003_01,1,,,1,0,0,0,Nonchalant,1
10070004,1007,まぶしい光,2,200001,10070004,1,2,2920,3043,4037,01007_0004_00,01007_0004_01,1,,,1,0,0,0,Blinding Light,1
10070005,1007,今から練習♪,3,300001,10070005,1,2,2982,4060,2958,01007_0005_00,01007_0005_01,1,,,1,0,0,0,Time to Practice!,1
10070006,1007,占いの力,1,100001,10070006,1,2,3648,3299,3053,01007_0006_00,01007_0006_01,1,,,1,0,0,0,The Power of Divination,1
10070007,1007,明日もよろしく,2,200001,10070007,1,2,3141,3209,3650,01007_0007_00,01007_0007_01,1,,,1,0,0,0,See You Tomorrow,1
10070008,1007,おでかけ日和,1,100001,10070008,1,2,3736,2955,3309,01007_0008_00,01007_0008_01,1,,,1,0,0,0,A Perfect Day for an Outing,1
10070009,1007,アタックしちゃうぞ,3,300001,10070009,1,2,3273,3854,2873,01007_0009_00,01007_0009_01,1,,,1,0,0,0,I'm Going to Attack!,1
10070010,1007,スピリチュアルパワー,1,100002,10070010,2,3,4564,3417,3519,01007_0010_00,01007_0010_01,2,b_card_0001,b_card_0074,1,0,0,0,Spiritual Power,1
10070011,1007,運命のカード,2,200002,10070011,2,3,3440,3781,4279,01007_0011_00,01007_0011_01,2,b_adv_0022,b_card_0033,1,0,0,0,Cards of Destiny,1
10070012,1007,たぬき寝入り♪,3,300002,10070012,2,3,3583,4310,3607,01007_0012_00,01007_0012_01,2,b_card_0009,b_card_0039,1,0,0,0,Playing Possum,1
10070013,1007,降り注ぐ光,1,100004,10070013,3,4,4954,4084,3962,01007_0013_00,01007_0013_01,3,,,1,10070013,0,0,Rain of Light,1
10070014,1007,サプライズ希望☆,2,200003,10070014,3,4,4202,3816,4982,01007_0014_00,01007_0014_01,3,,,4,0,1988,0,Surprise Wish!,1
10080001,1008,白米大好き,1,100001,10080001,1,2,3970,3061,2969,01008_0001_00,01008_0001_01,1,,,1,0,0,0,White Rice Lover,1
10080002,1008,自信はないけど,2,200001,10080002,1,2,2954,3047,3999,01008_0002_00,01008_0002_01,1,,,1,0,0,0,Not Quite Sure...,1
10080003,1008,アイドルへの憧れ,3,300001,10080003,1,2,3035,3764,3201,01008_0003_00,01008_0003_01,1,,,1,0,0,0,Admiration for Idols,1
10080004,1008,頑張ります！,2,200001,10080004,1,2,2993,3127,3880,01008_0004_00,01008_0004_01,1,,,1,0,0,0,I'll Do My Best!,1
10080005,1008,上達したい,3,300001,10080005,1,2,3083,3831,3086,01008_0005_00,01008_0005_01,1,,,1,0,0,0,I Want to Get Better,1
10080006,1008,人見知り,1,100001,10080006,1,2,4017,3121,2862,01008_0006_00,01008_0006_01,1,,,1,0,0,0,Shy,1
10080007,1008,ひとりじゃ寂しい,2,200001,10080007,1,2,3076,3143,3781,01008_0007_00,01008_0007_01,1,,,1,0,0,0,Lonely on My Own,1
10080008,1008,おでかけわくわく,1,100001,10080008,1,2,3843,3219,2938,01008_0008_00,01008_0008_01,1,,,1,0,0,0,Excited for an Outing!,1
10080009,1008,まるごとみかん,3,300001,10080009,1,2,3268,3827,2905,01008_0009_00,01008_0009_01,1,,,1,0,0,0,Whole Mandarin Oranges,1
10080010,1008,炊き立てご飯です♪,1,100002,10080010,2,3,4460,3632,3408,01008_0010_00,01008_0010_01,2,b_card_0001,b_card_0028,1,0,0,0,Freshly Cooked Rice!,1
10080011,1008,ご注文のお品物です♪,2,200002,10080011,2,3,3594,3202,4704,01008_0011_00,01008_0011_01,2,b_card_0003,b_card_0023,1,0,0,0,Your Order Is Here!,1
10080012,1008,不思議なシンパシー,3,300002,10080012,2,3,3322,4681,3497,01008_0012_00,01008_0012_01,2,b_card_0012,b_card_0043,1,0,0,0,Strange Sympathy,1
10080013,1008,µ'sへの想い,3,300004,10080013,3,4,4123,4952,3925,01008_0013_00,01008_0013_01,3,,,1,10080013,0,0,Feelings for μ's,1
10080014,1008,キラキラリップ,1,100003,10080014,3,4,4678,4265,4057,01008_0014_00,01008_0014_01,3,,,4,0,2023,0,Glittering Lips,1
10090001,1009,アイドルオタク,1,100001,10090001,1,2,3706,2950,3344,01009_0001_00,01009_0001_01,1,,,1,0,0,0,Idol Fan,1
10090002,1009,日夜励んで,2,200001,10090002,1,2,2902,3257,3841,01009_0002_00,01009_0002_01,1,,,1,0,0,0,Working Hard Day and Night,1
10090003,1009,かわいい仕草,3,300001,10090003,1,2,3094,3922,2984,01009_0003_00,01009_0003_01,1,,,1,0,0,0,Cute Pose,1
10090004,1009,がんばるにこ！,2,200001,10090004,1,2,2856,3135,4009,01009_0004_00,01009_0004_01,1,,,1,0,0,0,Nico's Giving It Her All!,1
10090005,1009,努力なら任せなさい,3,300001,10090005,1,2,2854,4045,3101,01009_0005_00,01009_0005_01,1,,,1,0,0,0,Leave the Hard Work to Me!,1
10090006,1009,みんなのニコニー,1,100001,10090006,1,2,3839,3104,3057,01009_0006_00,01009_0006_01,1,,,1,0,0,0,Nico-Ni for Everyone!,1
10090007,1009,ぎゅっと抱きしめて,2,200001,10090007,1,2,3049,3349,3602,01009_0007_00,01009_0007_01,1,,,1,0,0,0,Hold Me Tight,1
10090008,1009,お待たせ♪,1,100001,10090008,1,2,3859,2883,3258,01009_0008_00,01009_0008_01,1,,,1,0,0,0,The Wait Is Over!,1
10090009,1009,心身の鍛錬をして,3,300001,10090009,1,2,2851,3935,3214,01009_0009_00,01009_0009_01,1,,,1,0,0,0,Train Your Mind and Body,1
10090010,1009,にっこにっこにー,1,100002,10090010,2,3,4310,3609,3581,01009_0010_00,01009_0010_01,2,b_card_0001,b_card_0028,1,0,0,0,Nico-Nico-Ni!,1
10090011,1009,教えてあげる♪,2,200002,10090011,2,3,3499,3564,4437,01009_0011_00,01009_0011_01,2,b_card_0008,b_card_0028,1,0,0,0,Let Me Show You~!,1
10090012,1009,にこは人気者,3,300002,10090012,2,3,3744,4346,3410,01009_0012_00,01009_0012_01,2,b_card_0002,b_card_0039,1,0,0,0,Nico Is the Popular One!,1
10090013,1009,ありがた～い講義,2,200004,10090013,3,4,3754,4011,5235,01009_0013_00,01009_0013_01,3,,,1,10090013,0,0,A Most Gracious Lecture,1
10090014,1009,スイカケーキ？,3,300003,10090014,3,4,3839,5164,3997,01009_0014_00,01009_0014_01,3,,,4,0,1989,0,Watermelon Cake?,1
20010001,2001,憧れのスクールアイドル,2,200001,20010001,1,2,3256,2951,3793,02001_0001_00,02001_0001_01,1,,,1,0,0,0,Beloved School Idols,1
20010002,2001,夢は叶うよ！,1,100001,20010002,1,2,3982,3042,2976,02001_0002_00,02001_0002_01,1,,,1,0,0,0,Dreams Come True!,1
20010003,2001,やってみなくちゃ,3,300001,20010003,1,2,3124,3873,3003,02001_0003_00,02001_0003_01,1,,,1,0,0,0,Gotta Give It a Shot!,1
20010004,2001,負けず嫌い,2,200001,20010004,1,2,3307,3049,3644,02001_0004_00,02001_0004_01,1,,,1,0,0,0,Sore Loser,1
20010005,2001,遠出の準備,1,100001,20010005,1,2,3779,2929,3292,02001_0005_00,02001_0005_01,1,,,1,0,0,0,Packing for a Trip,1
20010006,2001,想いを馳せて,3,300001,20010006,1,2,3036,4080,2884,02001_0006_00,02001_0006_01,1,,,1,0,0,0,Lost in Thought,1
20010007,2001,水泳日和！,2,200001,20010007,1,2,3289,3088,3623,02001_0007_00,02001_0007_01,1,,,1,0,0,0,Perfect Swimming Weather!,1
20010008,2001,みかんパワー！,1,100002,20010008,2,3,4224,3467,3809,02001_0008_00,02001_0008_01,2,b_card_0045,b_adv_0019,1,0,0,0,Mikan Power!,1
20010009,2001,ブラッシングタイム！,2,200002,20010009,2,3,3483,3608,4409,02001_0009_00,02001_0009_01,2,b_card_0085,b_st_0004,1,0,0,0,Time to Brush!,1
20010010,2001,コアラの眠り,3,300002,20010010,2,3,3513,4440,3547,02001_0010_00,02001_0010_01,2,b_card_0041,b_card_0078,1,0,0,0,Koala Nap,1
20010011,2001,練習帰りの談笑,1,100006,20010011,3,4,5181,3778,4041,02001_0011_00,02001_0011_01,3,,,1,20010011,0,0,Post-Practice Chat,1
20010012,2001,オレンジマーメイド,2,200003,20010012,3,4,4022,3870,5108,02001_0012_00,02001_0012_01,3,,,4,0,2034,0,Orange Mermaid,1
20020001,2002,みんなの力に,2,200001,20020001,1,2,2980,3063,3957,02002_0001_00,02002_0001_01,1,,,1,0,0,0,With Everyone's Support,1
20020002,2002,都会から来た転入生,1,100001,20020002,1,2,3834,3255,2911,02002_0002_00,02002_0002_01,1,,,1,0,0,0,Transfer Student from the City,1
20020003,2002,一緒に楽しもう♪,3,300001,20020003,1,2,3170,3677,3153,02002_0003_00,02002_0003_01,1,,,1,0,0,0,Let's Enjoy This Together!,1
20020004,2002,いい汗かいたね,2,200001,20020004,1,2,3065,2971,3964,02002_0004_00,02002_0004_01,1,,,1,0,0,0,You Put in Some Good Work!,1
20020005,2002,色んな場所に,1,100001,20020005,1,2,4009,2816,3175,02002_0005_00,02002_0005_01,1,,,1,0,0,0,To Various Places,1
20020006,2002,たくさん遊ぼう,3,300001,20020006,1,2,2946,3747,3307,02002_0006_00,02002_0006_01,1,,,1,0,0,0,Let's Play a Lot!,1
20020007,2002,好きになった内浦,3,300001,20020007,1,2,3146,4089,2765,02002_0007_00,02002_0007_01,1,,,1,0,0,0,Falling for Uchiura,1
20020008,2002,新しい自分へ,1,100002,20020008,2,3,4430,3717,3353,02002_0008_00,02002_0008_01,2,b_card_0046,b_adv_0019,1,0,0,0,Toward a New Me,1
20020009,2002,お注射の時間,2,200002,20020009,2,3,3474,3604,4422,02002_0009_00,02002_0009_01,2,b_card_0061,b_st_0004,1,0,0,0,Time for an Injection!,1
20020010,2002,ショーの相棒,3,300002,20020010,2,3,3427,4602,3471,02002_0010_00,02002_0010_01,2,b_card_0041,b_card_0078,1,0,0,0,Performance Partner,1
20020011,2002,トリオの旋律,3,300004,20020011,3,4,4060,5028,3912,02002_0011_00,02002_0011_01,3,,,1,20020011,0,0,Trio's Melody,1
20020012,2002,りんごの誘惑,1,100003,20020012,3,4,4930,4155,3915,02002_0012_00,02002_0012_01,3,,,4,0,2035,0,Apple's Temptation,1
20030001,2003,大人な性格,2,200001,20030001,1,2,3108,3202,3690,02003_0001_00,02003_0001_01,1,,,1,0,0,0,Mature Personality,1
20030002,2003,ショップの手伝い,1,100001,20030002,1,2,3996,2901,3103,02003_0002_00,02003_0002_01,1,,,1,0,0,0,Helping at the Shop,1
20030003,2003,出かけようか,3,300001,20030003,1,2,2827,3954,3219,02003_0003_00,02003_0003_01,1,,,1,0,0,0,Wanna Head Out?,1
20030004,2003,髪を結んで,2,200001,20030004,1,2,3090,3040,3870,02003_0004_00,02003_0004_01,1,,,1,0,0,0,Tie Back Your Hair,1
20030005,2003,遠路はるばる,1,100001,20030005,1,2,3642,3137,3221,02003_0005_00,02003_0005_01,1,,,1,0,0,0,From a Distant Land,1
20030006,2003,機能性抜群,3,300001,20030006,1,2,3124,3856,3020,02003_0006_00,02003_0006_01,1,,,1,0,0,0,All Systems Go,1
20030007,2003,サーフィンもお手の物,1,100001,20030007,1,2,3624,3057,3319,02003_0007_00,02003_0007_01,1,,,1,0,0,0,Surfing Is a Breeze,1
20030008,2003,衣装合わせ,1,100002,20030008,2,3,4646,3317,3537,02003_0008_00,02003_0008_01,2,b_adv_0018,b_adv_0019,1,0,0,0,Costume Fitting,1
20030009,2003,何度でも頑張ろう♪,2,200002,20030009,2,3,3333,3679,4488,02003_0009_00,02003_0009_01,2,b_card_0056,b_adv_0019,1,0,0,0,Let's Keep Trying!,1
20030010,2003,自然に惹かれて,3,300002,20030010,2,3,3750,4318,3432,02003_0010_00,02003_0010_01,2,b_card_0055,b_card_0078,1,0,0,0,Entranced by Nature,1
20030011,2003,頬を撫でる潮風,2,200004,20030011,3,4,4081,3838,5081,02003_0011_00,02003_0011_01,3,,,1,20030011,0,0,Sea Breeze's Caress,1
20030012,2003,ring finger,3,300003,20030012,3,4,4229,4809,3962,02003_0012_00,02003_0012_01,3,,,4,0,2005,0,Ring Finger,1
20040001,2004,名家の子女,2,200001,20040001,1,2,3230,3139,3631,02004_0001_00,02004_0001_01,1,,,1,0,0,0,Daughter of a Distinguished Family,1
20040002,2004,完璧主義者,1,100001,20040002,1,2,3775,3236,2989,02004_0002_00,02004_0002_01,1,,,1,0,0,0,Perfectionist,1
20040003,2004,曲がったことは許さない,3,300001,20040003,1,2,3212,3931,2857,02004_0003_00,02004_0003_01,1,,,1,0,0,0,Zero Tolerance for Wrongdoing,1
20040004,2004,優勝目指して,2,200001,20040004,1,2,3070,3207,3723,02004_0004_00,02004_0004_01,1,,,1,0,0,0,Aim for Victory!,1
20040005,2004,どこまで遠出を？,1,100001,20040005,1,2,4089,2919,2992,02004_0005_00,02004_0005_01,1,,,1,0,0,0,How Far Will You Go?,1
20040006,2004,水門で待ち合わせ,3,300001,20040006,1,2,3177,3994,2829,02004_0006_00,02004_0006_01,1,,,1,0,0,0,Meet at the Sluice Gate,1
20040007,2004,内浦に射す光,1,100001,20040007,1,2,3708,3316,2976,02004_0007_00,02004_0007_01,1,,,1,0,0,0,Lighting Up Uchiura,1
20040008,2004,断固2cm！,1,100002,20040008,2,3,4692,3555,3253,02004_0008_00,02004_0008_01,2,b_card_0047,b_adv_0019,1,0,0,0,The Limit Is 2cm!,1
20040009,2004,Aqoursと申しますわ！,2,200002,20040009,2,3,3476,3754,4270,02004_0009_00,02004_0009_01,2,b_card_0056,b_adv_0019,1,0,0,0,We Are Aqours!,1
