_characterId,_groupId,_masterReleaseLabelId
5072,9000,1
5072,9999,1
5073,9000,1
5073,9999,1
5074,9000,1
5074,9999,1
5075,9000,1
5075,9999,1
5076,9000,1
5076,9999,1
5077,9000,1
5077,9999,1
5078,9000,1
5078,9999,1
5079,9000,1
5079,9999,1
5080,9000,1
5080,9999,1
5081,9000,1
5081,9999,1
5082,9000,1
5082,9999,1
5083,9000,1
5083,9999,1
5084,9000,1
5084,9999,1
5085,9000,1
5085,9999,1
5086,9000,1
5086,9999,1
5087,9000,1
5087,9999,1
5088,9000,1
5088,9999,1
5089,9000,1
5089,9999,1
5090,9000,1
5090,9999,1
5091,9000,1
5091,9999,1
5092,9000,1
5092,9999,1
5093,9000,1
5093,9999,1
5094,9000,1
5094,9999,1
5095,9000,1
5095,9999,1
5096,9000,1
5096,9999,1
5097,9000,1
5097,9999,1
5098,9000,1
5098,9999,1
5099,9000,1
5099,9999,1
5100,9000,1
5100,9999,1
5101,9000,1
5101,9999,1
5102,9000,1
5102,9999,1
5103,9000,1
5103,9999,1
5104,9000,1
5104,9999,1
5105,9000,1
5105,9999,1
5106,9000,1
5106,9999,1
5107,9000,1
5107,9999,1
5108,9000,1
5108,9999,1
5109,9000,1
5109,9999,1
5110,9000,1
5110,9999,1
5111,9000,1
5111,9999,1
5112,9000,1
5112,9999,1
5113,9000,1
5113,9999,1
5114,9000,1
5114,9999,1
5115,9000,1
5115,9999,1
5116,9000,1
5116,9999,1
5117,9000,1
5117,9999,1
5118,9000,1
5118,9999,1
5119,9000,1
5119,9999,1
5120,9000,1
5120,9999,1
5121,9000,1
5121,9999,1
5122,9000,1
5122,9999,1
5123,9000,1
5123,9999,1
5124,9000,1
5124,9999,1
5125,9000,1
5125,9999,1
5126,9000,1
5126,9999,1
5127,9000,1
5127,9999,1
5128,9000,1
5128,9999,1
5129,9000,1
5129,9999,1
5130,9000,1
5130,9999,1
5131,9000,1
5131,9999,1
5132,9000,1
5132,9999,1
5133,9000,1
5133,9999,1
5134,9000,1
5134,9999,1
5135,9000,1
5135,9999,1
5136,9000,1
5136,9999,1
5137,9000,1
5137,9999,1
5138,9000,1
5138,9999,1
5139,9000,1
5139,9999,1
5140,9000,1
5140,9999,1
5141,9000,1
5141,9999,1
5142,9000,1
5142,9999,1
5143,9000,1
5143,9999,1
5144,9000,1
5144,9999,1
5145,9000,1
5145,9999,1
5146,9000,1
5146,9999,1
5147,9000,1
5147,9999,1
5148,9000,1
5148,9999,1
5149,9000,1
5149,9999,1
5150,9000,1
5150,9999,1
5151,9000,1
5151,9999,1
5152,9000,1
5152,9999,1
5153,9000,1
5153,9999,1
5154,9000,1
5154,9999,1
5155,9000,1
5155,9999,1
5156,9000,1
5156,9999,1
5157,9000,1
5157,9999,1
5158,9000,1
5158,9999,1
5159,9000,1
5159,9999,1
5160,9000,1
5160,9999,1
5161,9000,1
5161,9999,1
5162,9000,1
5162,9999,1
5163,9000,1
5163,9999,1
5164,9000,1
5164,9999,1
5165,9000,1
5165,9999,1
5166,9000,1
5166,9999,1
5167,9000,1
5167,9999,1
5168,9000,1
5168,9999,1
5169,9000,1
5169,9999,1
5170,9000,1
5170,9999,1
5171,9000,1
5171,9999,1
5172,9000,1
5172,9999,1
