_id,_name,_detailText,_trigger,_triggerValue,_probability,_effectiveMilliSecs,_subTarget,_targetGroupId,_targetSchoolGrade,_effectType,_effectiveValues,_masterReleaseLabelId
10050005,屋上練習,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10050006,よろしくにゃ♪,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"23,22,22","30000,30000,30000","4000,4000,4000",0,0,0,5,"1,1,1",1
10050007,おやすみ準備,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"17,16,16","28000,28000,28000","2000,2000,2000",0,0,0,4,"107,109,111",1
10050008,レッツハイキング,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"24,23,23","32000,32000,32000","2000,2000,2000",0,100,0,4,"112,114,116",1
10050009,タイムを競う,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"21,20,19","26000,26000,26000",,0,0,0,6,"1,1,1",1
10050010,μ'ｓの元気印,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,2,"25,24,24,24,23","43000,43000,43000,43000,43000","4500,4500,4500,5000,5000",0,0,0,5,"1,1,1,1,2",1
10050011,凛をご覧下さいにゃ♪,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"25,24,24,24,23","33000,33000,33000,33000,33000","2500,2500,2500,3000,3000",0,0,0,4,"114,116,118,120,122",1
10050012,きまぐれにゃんこ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"23,22,22,22,21","31000,31000,31000,31000,31000","2500,2500,2500,3000,3000",0,0,0,4,"111,113,115,117,119",1
10050013,きらめく屋上,コンボを{0}回達成するごとに{1}%の確率で<br>体力が{3}回復する,2,"28,27,26,25,24,23,22,21,20","47000,47000,47000,47000,47000,47000,47000,47000,47000",,0,0,0,6,"3,3,3,3,4,4,4,4,5",1
10050014,初めての手作りチョコ,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"29,28,28,28,27,27,27,26,26","47000,47000,47000,47000,47000,47000,47000,47000,47000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"119,121,123,125,127,129,131,133,135",1
10060001,大病院のお嬢様,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10060002,高飛車,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"22,21,21","30000,30000,30000","2000,2000,2000",0,0,0,4,"110,112,114",1
10060003,誇りを持って,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"24,23,22","29000,29000,29000",,0,0,0,6,"1,1,1",1
10060004,強気で練習,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"23,22,22","35000,35000,35000","2000,2000,2000",0,0,0,4,"126,128,130",1
10060005,ストレッチから,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"17,16,16","28000,28000,28000","2000,2000,2000",0,0,0,4,"107,109,111",1
10060006,果敢に意見,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",1,0,0,4,"111,113,115",1
10060007,明日の予定は,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"19,18,18","30000,30000,30000","2000,2000,2000",0,0,0,4,"111,113,115",1
10060008,お嬢様のおでかけ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"22,21,21","30000,30000,30000","2000,2000,2000",0,0,0,4,"110,112,114",1
10060009,スパイラルを決めて,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"20,19,19","27000,27000,27000","4000,4000,4000",0,0,0,5,"1,1,1",1
10060010,放課後の歌姫,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"24,23,23,23,22","32000,32000,32000,32000,32000","2500,2500,2500,3000,3000",0,0,0,4,"112,114,116,118,120",1
10060011,秘密の診察室,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"21,20,20,20,19","29000,29000,29000,29000,29000","2500,2500,2500,3000,3000",0,0,0,4,"108,110,112,114,116",1
10060012,次の獲物はアナタ,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"24,23,23,23,22","37000,37000,37000,37000,37000","2500,2500,2500,3000,3000",0,0,0,4,"114,116,118,120,122",1
10060013,スマホ越しのはにかみ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"27,26,26,26,25,25,25,24,24","35000,35000,35000,35000,35000,35000,35000,35000,35000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"116,118,120,122,124,126,128,130,132",1
10060014,フルーツティー,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"21,20,19,18,17,16,15,14,13","26000,26000,26000,26000,26000,26000,26000,26000,26000",,0,0,0,6,"3,3,3,3,4,4,4,4,5",1
10070001,意外と策士,コンボを{0}回達成するごとに{1}%の確率で<br>体力が{3}回復する,2,"17,16,15","29000,29000,29000",,0,0,0,6,"1,1,1",1
10070002,巻き込んじゃうぞ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"24,23,23","32000,32000,32000","2000,2000,2000",0,100,0,4,"112,114,116",1
10070003,のほほんとして,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,0,0,4,"111,113,115",1
10070004,まぶしい光,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"22,21,21","29000,29000,29000","4000,4000,4000",0,0,0,5,"1,1,1",1
10070005,今から練習♪,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,"24,23,23","32000,32000,32000","2000,2000,2000",1,0,0,4,"112,114,116",1
10070006,占いの力,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"23,22,21","28000,28000,28000",,0,0,0,6,"1,1,1",1
10070007,明日もよろしく,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"24,23,23","37000,37000,37000","2000,2000,2000",0,0,0,4,"125,127,129",1
10070008,おでかけ日和,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"19,18,18","30000,30000,30000","2000,2000,2000",0,0,0,4,"111,113,115",1
10070009,アタックしちゃうぞ,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"19,18,18","30000,30000,30000","2000,2000,2000",0,0,0,4,"111,113,115",1
10070010,スピリチュアルパワー,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"21,20,20,20,19","29000,29000,29000,29000,29000","2500,2500,2500,3000,3000",0,0,0,4,"108,110,112,114,116",1
10070011,運命のカード,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,2,"21,20,20,20,19","35000,35000,35000,35000,35000","4500,4500,4500,5000,5000",0,0,0,5,"1,1,1,1,2",1
10070012,たぬき寝入り♪,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"24,23,23,23,22","37000,37000,37000,37000,37000","2500,2500,2500,3000,3000",0,0,0,4,"114,116,118,120,122",1
10070013,降り注ぐ光,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"27,26,26,26,25,25,25,24,24","35000,35000,35000,35000,35000,35000,35000,35000,35000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"116,118,120,122,124,126,128,130,132",1
10070014,サプライズ希望☆,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"24,23,23,23,22,22,22,21,21","31000,31000,31000,31000,31000,31000,31000,31000,31000","5000,5000,5000,5500,5500,5500,6000,6000,6000",0,0,0,5,"1,1,1,1,2,2,2,2,2",1
10080001,白米大好き,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,100,0,4,"111,113,115",1
10080002,自信はないけど,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10080003,アイドルへの憧れ,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10080004,頑張ります！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"23,22,22","30000,30000,30000","4000,4000,4000",0,0,0,5,"1,1,1",1
10080005,上達したい,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"24,23,23","37000,37000,37000","2000,2000,2000",0,0,0,4,"125,127,129",1
10080006,人見知り,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"22,21,21","30000,30000,30000","2000,2000,2000",0,0,0,4,"110,112,114",1
10080007,ひとりじゃ寂しい,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10080008,おでかけわくわく,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"21,20,19","26000,26000,26000",,0,0,0,6,"1,1,1",1
10080009,まるごとみかん,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,0,0,4,"111,113,115",1
10080010,炊き立てご飯です♪,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"24,23,23,23,22","32000,32000,32000,32000,32000","2500,2500,2500,3000,3000",0,0,0,4,"112,114,116,118,120",1
10080011,ご注文のお品物です♪,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"21,20,20,20,19","32000,32000,32000,32000,32000","2500,2500,2500,3000,3000",0,0,0,4,"115,117,119,121,123",1
10080012,不思議なシンパシー,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"25,24,24,24,23","33000,33000,33000,33000,33000","2500,2500,2500,3000,3000",0,0,0,4,"114,116,118,120,122",1
10080013,µ'sへの想い,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"29,28,28,28,27,27,27,26,26","47000,47000,47000,47000,47000,47000,47000,47000,47000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"109,111,113,115,117,119,121,123,125",1
10080014,キラキラリップ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"20,19,19,19,18,18,18,17,17","27000,27000,27000,27000,27000,27000,27000,27000,27000","5000,5000,5000,5500,5500,5500,6000,6000,6000",0,0,0,5,"1,1,1,1,2,2,2,2,2",1
10090001,アイドルオタク,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10090002,日夜励んで,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"20,19,19","28000,28000,28000","2000,2000,2000",0,0,0,4,"106,108,110",1
10090003,かわいい仕草,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"23,22,22","35000,35000,35000","2000,2000,2000",0,0,0,4,"126,128,130",1
10090004,がんばるにこ！,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"19,18,18","30000,30000,30000","2000,2000,2000",0,0,0,4,"111,113,115",1
10090005,努力なら任せなさい,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"22,21,21","29000,29000,29000","4000,4000,4000",0,0,0,5,"1,1,1",1
10090006,みんなのニコニー,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"17,16,16","28000,28000,28000","2000,2000,2000",0,0,0,4,"107,109,111",1
10090007,ぎゅっと抱きしめて,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"25,24,23","30000,30000,30000",,0,0,0,6,"1,1,1",1
10090008,お待たせ♪,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,100,0,4,"111,113,115",1
