_id,_masterStoryId,_number,_name,_masterStoryRewardId,_masterMusicId,_scenarioId,_movieIds,_imageName,_stampCharacterId,_storeReviewSetting,_masterReleaseLabelId
30003002,130003,2,チョコレートは誰の手に！？ 2話,0,0,30003002,,part_30003002,3008,0,224013105
30003003,130003,3,チョコレートは誰の手に！？ 3話,0,0,30003003,,part_30003003,3001,0,224013105
30003004,130003,4,チョコレートは誰の手に！？ 4話,0,0,30003004,,part_30003004,3002,0,224013105
30003005,130003,5,チョコレートは誰の手に！？ 5話,0,0,30003005,,part_30003005,3005,0,224013105
40004001,140004,1,想い通じるホワイトデー 1話,0,0,40004001,,part_40004001,4007,0,224030105
40004002,140004,2,想い通じるホワイトデー 2話,0,0,40004002,,part_40004002,4008,0,224030105
40004003,140004,3,想い通じるホワイトデー 3話,0,0,40004003,,part_40004003,4009,0,224030105
40004004,140004,4,想い通じるホワイトデー 4話,0,0,40004004,,part_40004004,4001,0,224030105
40004005,140004,5,想い通じるホワイトデー 5話,0,0,40004005,,part_40004005,4004,0,224030105
210001001,210001,1,μ'sの日常 1話,120000001,0,0,30010001,part_210001001,1002,0,1
210001002,210001,2,μ'sの日常 2話,120000001,0,0,30010002,part_210001002,1009,0,1
210001003,210001,3,μ'sの日常 3話,120000001,0,0,30010003,part_210001003,1006,0,1
210001004,210001,4,μ'sの日常 4話,120000001,0,0,30010004,part_210001004,1003,0,223061106
210001005,210001,5,μ'sの日常 5話,120000001,0,0,30010005,part_210001005,1004,0,223061106
210001006,210001,6,μ'sの日常 6話,120000001,0,0,30010006,part_210001006,1005,0,223122602
210001007,210001,7,μ'sの日常 7話,120000001,0,0,30010007,part_210001007,1007,0,223122602
210001008,210001,8,μ'sの日常 8話,120000001,0,0,30010008,part_210001008,1006,1,223122602
220001001,220001,1,Aqoursの日常 1話,120000001,0,0,30020001,part_220001001,2003,0,1
220001002,220001,2,Aqoursの日常 2話,120000001,0,0,30020002,part_220001002,2005,0,1
220001003,220001,3,Aqoursの日常 3話,120000001,0,0,30020003,part_220001003,2007,0,1
220001004,220001,4,Aqoursの日常 4話,120000001,0,0,30020004,part_220001004,2006,0,223071102
220001005,220001,5,Aqoursの日常 5話,120000001,0,0,30020005,part_220001005,2002,1,223071102
230001001,230001,1,ニジガクの日常 1話,120000001,0,0,30030001,part_230001001,3012,0,1
230001002,230001,2,ニジガクの日常 2話,120000001,0,0,30030002,part_230001002,3009,0,1
230001003,230001,3,ニジガクの日常 3話,120000001,0,0,30030003,part_230001003,3007,0,1
230001004,230001,4,ニジガクの日常 4話,120000001,0,0,30030004,part_230001004,3002,0,223051102
230001005,230001,5,ニジガクの日常 5話,120000001,0,0,30030005,part_230001005,3010,1,223051102
230001006,230002,6,私のラブソング編　歩夢1話,120000001,0,0,30030006,part_230001006,3001,0,223090601
230001007,230003,7,私のラブソング編　かすみ1話,120000001,0,0,30030007,part_230001007,3002,0,223090601
230001008,230004,8,私のラブソング編　しずく1話,120000001,0,0,30030008,part_230001008,3003,0,223090601
230001009,230005,9,私のラブソング編　果林1話,120000001,0,0,30030009,part_230001009,3004,0,223090601
230001010,230006,10,私のラブソング編　愛1話,120000001,0,0,30030010,part_230001010,3005,0,223090601
230001011,230007,11,私のラブソング編　彼方1話,120000001,0,0,30030011,part_230001011,3006,0,223090601
230001012,230008,12,私のラブソング編　せつ菜1話,120000001,0,0,30030012,part_230001012,3007,0,223090601
230001013,230009,13,私のラブソング編　エマ1話,120000001,0,0,30030013,part_230001013,3008,0,223090601
230001014,230010,14,私のラブソング編　璃奈1話,120000001,0,0,30030014,part_230001014,3009,0,223090601
230001015,230011,15,私のラブソング編　栞子1話,120000001,0,0,30030015,part_230001015,3010,0,223090601
230001016,230012,16,私のラブソング編　ミア1話,120000001,0,0,30030016,part_230001016,3011,0,223090601
230001017,230013,17,私のラブソング編　ランジュ1話,120000001,0,0,30030017,part_230001017,3012,1,223090601
230002007,230002,7,私のラブソング編　歩夢2話,120000001,0,0,30030018,part_230002007,3001,0,223100403
230003008,230003,8,私のラブソング編　かすみ2話,120000001,0,0,30030019,part_230003008,3002,0,223100403
230004009,230004,9,私のラブソング編　しずく2話,120000001,0,0,30030020,part_230004009,3003,0,223100403
230005010,230005,10,私のラブソング編　果林2話,120000001,0,0,30030021,part_230005010,3004,0,223100403
230006011,230006,11,私のラブソング編　愛2話,120000001,0,0,30030022,part_230006011,3005,0,223100403
230007012,230007,12,私のラブソング編　彼方2話,120000001,0,0,30030023,part_230007012,3006,0,223100403
230008013,230008,13,私のラブソング編　せつ菜2話,120000001,0,0,30030024,part_230008013,3007,0,223100403
230009014,230009,14,私のラブソング編　エマ2話,120000001,0,0,30030025,part_230009014,3008,0,223100403
230010015,230010,15,私のラブソング編　璃奈2話,120000001,0,0,30030026,part_230010015,3009,0,223100403
230011016,230011,16,私のラブソング編　栞子2話,120000001,0,0,30030027,part_230011016,3010,0,223100403
230012017,230012,17,私のラブソング編　ミア2話,120000001,0,0,30030028,part_230012017,3011,0,223100403
230013018,230013,18,私のラブソング編　ランジュ2話,120000001,0,0,30030029,part_230013018,3012,0,223100403
230002008,230002,8,私のラブソング編　歩夢3話,120000001,0,0,30030030,part_230002008,3001,0,223111001
230003009,230003,9,私のラブソング編　かすみ3話,120000001,0,0,30030031,part_230003009,3002,0,223111001
230004010,230004,10,私のラブソング編　しずく3話,120000001,0,0,30030032,part_230004010,3003,0,223111001
230005011,230005,11,私のラブソング編　果林3話,120000001,0,0,30030033,part_230005011,3004,0,223111001
230006012,230006,12,私のラブソング編　愛3話,120000001,0,0,30030034,part_230006012,3005,0,223111001
230007013,230007,13,私のラブソング編　彼方3話,120000001,0,0,30030035,part_230007013,3006,0,223111001
230008014,230008,14,私のラブソング編　せつ菜3話,120000001,0,0,30030036,part_230008014,3007,0,223111001
230009015,230009,15,私のラブソング編　エマ3話,120000001,0,0,30030037,part_230009015,3008,0,223111001
230010016,230010,16,私のラブソング編　璃奈3話,120000001,0,0,30030038,part_230010016,3009,0,223111001
230011017,230011,17,私のラブソング編　栞子3話,120000001,0,0,30030039,part_230011017,3010,0,223111001
230012018,230012,18,私のラブソング編　ミア3話,120000001,0,0,30030040,part_230012018,3011,0,223111001
230013019,230013,19,私のラブソング編　ランジュ3話,120000001,0,0,30030041,part_230013019,3012,0,223111001
240001001,240001,1,Liella!の日常 1話,120000001,0,0,30040001,part_240001001,4005,0,1
240001002,240001,2,Liella!の日常 2話,120000001,0,0,30040002,part_240001002,4002,0,1
240001003,240001,3,Liella!の日常 3話,120000001,0,0,30040003,part_240001003,4008,0,1
240001004,240001,4,Liella!の日常 4話,120000001,0,0,30040004,part_240001004,4006,0,223081103
240001005,240001,5,Liella!の日常 5話,120000001,0,0,30040005,part_240001005,4009,0,223081103
240002001,240002,1,Liella!の日常 ライブ開催編 1話,120000001,0,0,30040006,part_240002001,4004,0,224011902
240002002,240002,2,Liella!の日常 ライブ開催編 2話,120000001,0,0,30040007,part_240002002,4007,0,224013107
240002003,240002,3,Liella!の日常 ライブ開催編 3話,120000001,0,0,30040008,part_240002003,4001,0,224020902
