_id,_name,_detailText,_effects,_masterReleaseLabelId
200020,ピュアクイーン,ピュアPが8%アップ<br>さらにμ’s所属のピュア属性のピュアPが7%アップ,"200003,200020",223103109
200021,ピュアクイーン,ピュアPが8%アップ<br>さらにAqours所属のピュア属性のピュアPが7%アップ,"200003,200021",223103109
200022,ピュアクイーン,ピュアPが8%アップ<br>さらにニジガク所属のピュア属性のピュアPが7%アップ,"200003,200022",223103109
200023,ピュアクイーン,ピュアPが8%アップ<br>さらにLiella!所属のピュア属性のピュアPが7%アップ,"200003,200023",223103109
300001,クールハート,クールPが3%アップ,300001,1
300002,クールスター,クールPが6%アップ,300002,1
300003,クールエンジェル,クールPが8%アップ,300003,1
300004,クールエンプレス,クールPが10%アップ,300004,1
300005,クールクイーン,クールPが8%アップ<br>さらにμ’s所属のクールPが3%アップ,"300003,300005",1
300006,クールクイーン,クールPが8%アップ<br>さらにAqours所属のクールPが3%アップ,"300003,300006",1
300007,クールクイーン,クールPが8%アップ<br>さらにニジガク所属のクールPが3%アップ,"300003,300007",1
300008,クールクイーン,クールPが8%アップ<br>さらにLiella!所属のクールPが3%アップ,"300003,300008",1
300009,クールプリンセス,クールPが8%アップ<br>さらにPrintemps所属のクールPが5%アップ,"300003,300009",1
300010,クールプリンセス,クールPが8%アップ<br>さらにlily white所属のクールPが5%アップ,"300003,300010",1
300011,クールプリンセス,クールPが8%アップ<br>さらにBiBi所属のクールPが5%アップ,"300003,300011",1
300012,クールプリンセス,クールPが8%アップ<br>さらにCYaRon!所属のクールPが5%アップ,"300003,300012",1
300013,クールプリンセス,クールPが8%アップ<br>さらにAZALEA所属のクールPが5%アップ,"300003,300013",1
300014,クールプリンセス,クールPが8%アップ<br>さらにGuilty Kiss所属のクールPが5%アップ,"300003,300014",1
300015,クールプリンセス,クールPが8%アップ<br>さらにDiverDiva所属のクールPが5%アップ,"300003,300015",1
300016,クールプリンセス,クールPが8%アップ<br>さらにA・ZU・NA所属のクールPが5%アップ,"300003,300016",1
300017,クールプリンセス,クールPが8%アップ<br>さらにQU4RTZ所属のクールPが5%アップ,"300003,300017",1
300018,クールプリンセス,クールPが8%アップ<br>さらにR3BIRTH所属のクールPが5%アップ,"300003,300018",1
300019,クールエンプレス,クール属性のクールPが13%アップ,300019,223101507
300020,クールクイーン,クールPが8%アップ。さらにμ’s所属の<br>クール属性のクールPが7%アップ,"300003,300020",223101507
300021,クールクイーン,クールPが8%アップ。さらにAqours所属の<br>クール属性のクールPが7%アップ,"300003,300021",223101507
300022,クールクイーン,クールPが8%アップ。さらにニジガク所属の<br>クール属性のクールPが7%アップ,"300003,300022",223101507
300023,クールクイーン,クールPが8%アップ。さらにLiella!所属の<br>クール属性のクールPが7%アップ,"300003,300023",223101507
