_unitPairId,_pair,_unitId,_position,_rank,_masterReleaseLabelId
225,113,1298,0,1,1
226,113,1308,1,1,1
227,114,1298,0,2,1
228,114,1308,1,2,1
229,115,1342,0,1,1
230,115,1328,1,1,1
231,116,1342,0,2,1
232,116,1328,1,2,1
233,117,1334,0,1,1
234,117,1367,1,1,1
235,118,1334,0,2,1
236,118,1367,1,2,1
237,119,1353,0,1,1
238,119,1372,1,1,1
239,120,1353,0,2,1
240,120,1372,1,2,1
241,121,1383,0,1,1
242,121,1399,1,1,1
243,122,1383,0,2,1
244,122,1399,1,2,1
245,123,1394,0,1,1
246,123,1433,1,1,1
247,124,1394,0,2,1
248,124,1433,1,2,1
249,125,1425,0,1,1
250,125,1438,1,1,1
251,126,1438,0,2,1
252,126,1425,1,2,1
253,127,1473,0,1,1
254,127,1459,1,1,1
255,128,1459,0,2,1
256,128,1473,1,2,1
257,129,1496,0,1,1
258,129,1468,1,1,1
259,130,1496,0,2,1
260,130,1468,1,2,1
261,131,1485,0,1,1
262,131,1503,1,1,1
263,132,1485,0,2,1
264,132,1503,1,2,1
265,133,1561,0,1,1
266,133,1526,1,1,1
267,134,1561,0,2,1
268,134,1526,1,2,1
269,135,1556,0,1,1
270,135,1592,1,1,1
271,136,1556,0,2,1
272,136,1592,1,2,1
273,137,1596,0,1,1
274,137,1578,1,1,1
275,138,1596,0,2,1
276,138,1578,1,2,1
277,139,1629,0,1,1
278,139,1613,1,1,1
279,140,1629,0,2,1
280,140,1613,1,2,1
281,141,1625,0,1,1
282,141,1656,1,1,1
283,142,1625,0,2,1
284,142,1656,1,2,1
285,143,1649,0,1,1
286,143,1660,1,1,1
287,144,1660,0,2,1
288,144,1649,1,2,1
289,145,1672,0,1,1
290,145,1696,1,1,1
291,146,1672,0,2,1
292,146,1696,1,2,1
293,147,1691,0,1,1
294,147,1724,1,1,1
295,148,1724,0,2,1
296,148,1691,1,2,1
297,149,1707,0,1,1
298,149,1730,1,1,1
299,150,1730,0,2,1
300,150,1707,1,2,1
301,151,1766,0,1,1
302,151,1743,1,1,1
303,152,1766,0,2,1
304,152,1743,1,2,1
305,153,1789,0,1,1
306,153,1761,1,1,1
307,154,1761,0,2,1
308,154,1789,1,2,1
309,155,1782,0,1,1
310,155,1793,1,1,1
311,156,1782,0,2,1
312,156,1793,1,2,1
313,157,1813,0,1,1
314,157,1836,1,1,1
315,158,1813,0,2,1
316,158,1836,1,2,1
317,159,1878,0,1,1
318,159,1832,1,1,1
319,160,1832,0,2,1
320,160,1878,1,2,1
321,161,1882,0,1,1
322,161,1850,1,1,1
323,162,1882,0,2,1
324,162,1850,1,2,1
325,163,1916,0,1,1
326,163,1904,1,1,1
327,164,1916,0,2,1
328,164,1904,1,2,1
329,165,1912,0,1,1
330,165,1943,1,1,1
331,166,1943,0,2,1
332,166,1912,1,2,1
333,167,1936,0,1,1
334,167,1949,1,1,1
335,168,1949,0,2,1
336,168,1936,1,2,1
337,169,2001,0,1,1
338,169,1966,1,1,1
339,170,2001,0,2,1
340,170,1966,1,2,1
341,171,2030,0,1,1
342,171,1997,1,1,1
343,172,1997,0,2,1
344,172,2030,1,2,1
345,173,2021,0,1,1
346,173,2034,1,1,1
347,174,2034,0,2,1
348,174,2021,1,2,1
349,175,2051,0,1,1
350,175,2069,1,1,1
351,176,2069,0,2,1
352,176,2051,1,2,1
353,177,2063,0,1,1
354,177,2085,1,1,1
355,178,2085,0,2,1
356,178,2063,1,2,1
357,179,2092,0,1,1
358,179,2080,1,1,1
359,180,2092,0,2,1
360,180,2080,1,2,1
361,181,2115,0,1,1
362,181,2138,1,1,1
363,182,2138,0,2,1
364,182,2115,1,2,1
365,183,2133,0,1,1
366,183,2163,1,1,1
367,184,2163,0,2,1
368,184,2133,1,2,1
369,185,2169,0,1,1
370,185,2158,1,1,1
371,186,2158,0,2,1
372,186,2169,1,2,1
373,187,2200,0,1,1
374,187,2189,1,1,1
375,188,2200,0,2,1
376,188,2189,1,2,1
377,189,2195,0,1,1
378,189,2218,1,1,1
379,190,2218,0,2,1
380,190,2195,1,2,1
381,191,2213,0,1,1
382,191,2223,1,1,1
383,192,2223,0,2,1
384,192,2213,1,2,1
385,193,2247,0,1,1
386,193,2236,1,1,1
387,194,2236,0,2,1
388,194,2247,1,2,1
389,195,2242,0,1,1
390,195,2268,1,1,1
391,196,2268,0,2,1
392,196,2242,1,2,1
393,197,2274,0,1,1
394,197,2263,1,1,1
395,198,2263,0,2,1
396,198,2274,1,2,1
397,199,2286,0,1,1
398,199,2298,1,1,1
399,200,2286,0,2,1
400,200,2298,1,2,1
401,201,2317,0,1,1
402,201,2293,1,1,1
403,202,2293,0,2,1
404,202,2317,1,2,1
405,203,2325,0,1,1
406,203,2310,1,1,1
407,204,2310,0,2,1
408,204,2325,1,2,1
