_masterStoryPartId,_userRank,_groupLevel,_masterLiveId,_liveScore,_masterMissionId,_eventPoint,_openedAtAfterEvent,_masterReleaseLabelId
20003005,0,0,0,0,2213336,30000,2024/02/29 15:00:00,223123105
30003001,0,0,0,0,2213732,0,2024/02/29 15:00:00,224013105
30003002,0,0,0,0,2213733,5000,2024/02/29 15:00:00,224013105
30003003,0,0,0,0,2213734,12000,2024/02/29 15:00:00,224013105
30003004,0,0,0,0,2213735,20000,2024/02/29 15:00:00,224013105
30003005,0,0,0,0,2213736,30000,2024/02/29 15:00:00,224013105
40004001,0,0,0,0,2214132,0,,224030105
40004002,0,0,0,0,2214133,5000,,224030105
40004003,0,0,0,0,2214134,12000,,224030105
40004004,0,0,0,0,2214135,20000,,224030105
40004005,0,0,0,0,2214136,30000,,224030105
210001001,0,0,0,0,1073001,0,2024/02/29 15:00:00,1
210001002,0,0,0,0,1073002,0,2024/02/29 15:00:00,1
210001003,0,0,0,0,1073003,0,2024/02/29 15:00:00,1
210001004,0,0,0,0,1073004,0,2024/02/29 15:00:00,223061106
210001005,0,0,0,0,1073005,0,2024/02/29 15:00:00,223061106
210001006,0,0,0,0,1073061,0,2024/02/29 15:00:00,223122602
210001007,0,0,0,0,1073062,0,2024/02/29 15:00:00,223122602
210001008,0,0,0,0,1073063,0,2024/02/29 15:00:00,223122602
220001001,0,0,0,0,1073006,0,2024/02/29 15:00:00,1
220001002,0,0,0,0,1073007,0,2024/02/29 15:00:00,1
220001003,0,0,0,0,1073008,0,2024/02/29 15:00:00,1
220001004,0,0,0,0,1073021,0,2024/02/29 15:00:00,223071102
220001005,0,0,0,0,1073022,0,2024/02/29 15:00:00,223071102
230001001,0,0,0,0,1073011,0,2024/02/29 15:00:00,1
230001002,0,0,0,0,1073012,0,2024/02/29 15:00:00,1
230001003,0,0,0,0,1073013,0,2024/02/29 15:00:00,1
230001004,0,0,0,0,1073014,0,2024/02/29 15:00:00,223051102
230001005,0,0,0,0,1073015,0,2024/02/29 15:00:00,223051102
230001006,0,0,0,0,1073025,0,2024/02/29 15:00:00,223090601
230001007,0,0,0,0,1073026,0,2024/02/29 15:00:00,223090601
230001008,0,0,0,0,1073027,0,2024/02/29 15:00:00,223090601
230001009,0,0,0,0,1073028,0,2024/02/29 15:00:00,223090601
230001010,0,0,0,0,1073029,0,2024/02/29 15:00:00,223090601
230001011,0,0,0,0,1073030,0,2024/02/29 15:00:00,223090601
230001012,0,0,0,0,1073031,0,2024/02/29 15:00:00,223090601
230001013,0,0,0,0,1073032,0,2024/02/29 15:00:00,223090601
230001014,0,0,0,0,1073033,0,2024/02/29 15:00:00,223090601
230001015,0,0,0,0,1073034,0,2024/02/29 15:00:00,223090601
230001016,0,0,0,0,1073035,0,2024/02/29 15:00:00,223090601
230001017,0,0,0,0,1073036,0,2024/02/29 15:00:00,223090601
230002007,0,0,0,0,1073037,0,2024/02/29 15:00:00,223100403
230003008,0,0,0,0,1073038,0,2024/02/29 15:00:00,223100403
230004009,0,0,0,0,1073039,0,2024/02/29 15:00:00,223100403
230005010,0,0,0,0,1073040,0,2024/02/29 15:00:00,223100403
230006011,0,0,0,0,1073041,0,2024/02/29 15:00:00,223100403
230007012,0,0,0,0,1073042,0,2024/02/29 15:00:00,223100403
230008013,0,0,0,0,1073043,0,2024/02/29 15:00:00,223100403
230009014,0,0,0,0,1073044,0,2024/02/29 15:00:00,223100403
230010015,0,0,0,0,1073045,0,2024/02/29 15:00:00,223100403
230011016,0,0,0,0,1073046,0,2024/02/29 15:00:00,223100403
230012017,0,0,0,0,1073047,0,2024/02/29 15:00:00,223100403
230013018,0,0,0,0,1073048,0,2024/02/29 15:00:00,223100403
230002008,0,0,0,0,1073049,0,2024/02/29 15:00:00,223111001
230003009,0,0,0,0,1073050,0,2024/02/29 15:00:00,223111001
230004010,0,0,0,0,1073051,0,2024/02/29 15:00:00,223111001
230005011,0,0,0,0,1073052,0,2024/02/29 15:00:00,223111001
230006012,0,0,0,0,1073053,0,2024/02/29 15:00:00,223111001
230007013,0,0,0,0,1073054,0,2024/02/29 15:00:00,223111001
230008014,0,0,0,0,1073055,0,2024/02/29 15:00:00,223111001
230009015,0,0,0,0,1073056,0,2024/02/29 15:00:00,223111001
230010016,0,0,0,0,1073057,0,2024/02/29 15:00:00,223111001
230011017,0,0,0,0,1073058,0,2024/02/29 15:00:00,223111001
230012018,0,0,0,0,1073059,0,2024/02/29 15:00:00,223111001
230013019,0,0,0,0,1073060,0,2024/02/29 15:00:00,223111001
240001001,0,0,0,0,1073016,0,2024/02/29 15:00:00,1
240001002,0,0,0,0,1073017,0,2024/02/29 15:00:00,1
240001003,0,0,0,0,1073018,0,2024/02/29 15:00:00,1
240001004,0,0,0,0,1073023,0,2024/02/29 15:00:00,223081103
240001005,0,0,0,0,1073024,0,2024/02/29 15:00:00,223081103
240002001,0,0,0,0,1073064,0,2024/02/29 15:00:00,224011902
240002002,0,0,0,0,1073065,0,2024/02/29 15:00:00,224013107
240002003,0,0,0,0,1073066,0,2024/02/29 15:00:00,224020902
