_id,_name,_category,_detailText,_priority,_spriteName,_masterReleaseLabelId
4293000102,【称号】花陽ちゃんが気になる,4293,花陽ちゃんのことが気になる…！そんな人のための称号,102,title_s_0000_00000_0102,1
4293000103,【称号】にこちゃんが気になる,4293,にこちゃんのことが気になる…！そんな人のための称号,103,title_s_0000_00000_0103,1
4293000104,【称号】千歌ちゃんが気になる,4293,千歌ちゃんのことが気になる…！そんな人のための称号,104,title_s_0000_00000_0104,1
4293000105,【称号】梨子ちゃんが気になる,4293,梨子ちゃんのことが気になる…！そんな人のための称号,105,title_s_0000_00000_0105,1
4293000106,【称号】果南ちゃんが気になる,4293,果南ちゃんのことが気になる…！そんな人のための称号,106,title_s_0000_00000_0106,1
4293000107,【称号】ダイヤちゃんが気になる,4293,ダイヤちゃんのことが気になる…！そんな人のための称号,107,title_s_0000_00000_0107,1
4293000108,【称号】曜ちゃんが気になる,4293,曜ちゃんのことが気になる…！そんな人のための称号,108,title_s_0000_00000_0108,1
4293000109,【称号】善子ちゃんが気になる,4293,善子ちゃんのことが気になる…！そんな人のための称号,109,title_s_0000_00000_0109,1
4293000110,【称号】花丸ちゃんが気になる,4293,花丸ちゃんのことが気になる…！そんな人のための称号,110,title_s_0000_00000_0110,1
4293000111,【称号】鞠莉ちゃんが気になる,4293,鞠莉ちゃんのことが気になる…！そんな人のための称号,111,title_s_0000_00000_0111,1
4293000112,【称号】ルビィちゃんが気になる,4293,ルビィちゃんのことが気になる…！そんな人のための称号,112,title_s_0000_00000_0112,1
4293000113,【称号】穂乃果激推し,4293,いつも明るい太陽みたいなμ'sのリーダー！穂乃果ちゃんが大好きでたまらない人のための称号,113,title_s_0000_00000_0113,1
4293000114,【称号】絵里激推し,4293,かしこくってかわいい！音ノ木坂の生徒会長絵里ちゃんが大好きでたまらない人のための称号,114,title_s_0000_00000_0114,1
4293000115,【称号】ことり激推し,4293,あまーいケーキが大好きなμ'sの衣装担当ことりちゃんが大好きでたまらない人のための称号,115,title_s_0000_00000_0115,1
4293000116,【称号】海未激推し,4293,文武両道！しっかり者の大和撫子な海未ちゃんが大好きでたまらない人のための称号,116,title_s_0000_00000_0116,1
4293000117,【称号】凛激推し,4293,スポーツ得意！いつも元気いっぱいな凛ちゃんが大好きでたまらない人のための称号,117,title_s_0000_00000_0117,1
4293000118,【称号】真姫激推し,4293,ツンデレお嬢様なμ'sの作曲担当真姫ちゃんが大好きでたまらない人のための称号,118,title_s_0000_00000_0118,1
4293000119,【称号】希激推し,4293,占いが得意でミステリアスな雰囲気の希ちゃんが大好きでたまらない人のための称号,119,title_s_0000_00000_0119,1
4293000120,【称号】花陽激推し,4293,おコメもアイドルも大好き！ちょっぴりシャイな花陽ちゃんが大好きでたまらない人のための称号,120,title_s_0000_00000_0120,1
4293000121,【称号】にこ激推し,4293,実は家庭的でアイドル部部長のにこちゃんが大好きでたまらない人のための称号,121,title_s_0000_00000_0121,1
4293000122,【称号】千歌激推し,4293,Aqoursのリーダー！旅館の末っ子で天真爛漫千歌ちゃんが大好きでたまらない人のための称号,122,title_s_0000_00000_0122,1
4293000123,【称号】梨子激推し,4293,東京からの転校生でピアノが上手な梨子ちゃんが大好きでたまらない人のための称号,123,title_s_0000_00000_0123,1
4293000124,【称号】果南激推し,4293,皆のお姉さん的存在で海を愛するダイバーの果南ちゃんが大好きでたまらない人のための称号,124,title_s_0000_00000_0124,1
4293000125,【称号】ダイヤ激推し,4293,浦女の真面目な生徒会長！純和風なダイヤちゃんが大好きでたまらない人のための称号,125,title_s_0000_00000_0125,1
4293000126,【称号】曜激推し,4293,高飛び込みのエース！将来の夢は船長！曜ちゃんが大好きでたまらない人のための称号,126,title_s_0000_00000_0126,1
4293000127,【称号】善子激推し,4293,悪魔級不運の持ち主、孤高の堕天使善子ちゃんが大好きでたまらない人のための称号,127,title_s_0000_00000_0127,1
4293000128,【称号】花丸激推し,4293,おっとりしている図書委員の文学少女花丸ちゃんが大好きでたまらない人のための称号,128,title_s_0000_00000_0128,1
4293000129,【称号】鞠莉激推し,4293,恐れを知らない陽気なシャイニーガール！鞠莉ちゃんが大好きでたまらない人のための称号,129,title_s_0000_00000_0129,1
4293000130,【称号】ルビィ激推し,4293,お姉ちゃんっ子で恥ずかしがり屋さんのルビィちゃんが大好きでたまらない人のための称号,130,title_s_0000_00000_0130,1
4293000131,【称号】μ's推し,4293,μ'sが大好き！そんな人のための称号,131,title_s_0000_00000_0131,1
4293000132,【称号】μ's激推し,4293,μ'sが大好きでたまらない人のための称号,132,title_s_0000_00000_0132,1
4293000133,【称号】音ノ木坂学院・アイドル研究部,4293,音ノ木坂学院・アイドル研究部の部員である証,133,title_s_0000_00000_0133,1
4293000134,【称号】Aqours推し,4293,Aqoursが大好き！そんな人のための称号,134,title_s_0000_00000_0134,1
4293000135,【称号】Aqours激推し,4293,Aqoursが大好きでたまらない人のための称号,135,title_s_0000_00000_0135,1
4293000136,【称号】浦の星女学院・スクールアイドル部,4293,浦の星女学院・スクールアイドル部の部員である証,136,title_s_0000_00000_0136,1
4293000137,【称号】ファイトだよ！,4293,穂乃果ちゃんからひとこと！その1,137,title_s_0000_00000_0137,1
4293000138,【称号】ハラショー！,4293,絵里ちゃんからひとこと！その1,138,title_s_0000_00000_0138,1
4293000139,【称号】ちゅんちゅん♪,4293,ことりちゃんからひとこと！その1,139,title_s_0000_00000_0139,1
4293000140,【称号】ラブアローシュート！,4293,海未ちゃんからひとこと！その1,140,title_s_0000_00000_0140,1
4293000141,【称号】にゃんにゃんにゃーん,4293,凛ちゃんからひとこと！その1,141,title_s_0000_00000_0141,1
4293000142,【称号】なにそれ意味わかんない！,4293,真姫ちゃんからひとこと！その1,142,title_s_0000_00000_0142,1
4293000143,【称号】スピリチュアルやね☆,4293,希ちゃんからひとこと！その1,143,title_s_0000_00000_0143,1
4293000144,【称号】ダレカタスケテー,4293,花陽ちゃんからひとこと！その1,144,title_s_0000_00000_0144,1
4293000145,【称号】にっこにっこにー♪,4293,にこちゃんからひとこと！その1,145,title_s_0000_00000_0145,1
4293000146,【称号】奇跡だよーっ！,4293,千歌ちゃんからひとこと！その1,146,title_s_0000_00000_0146,1
4293000147,【称号】梨子ちゃんビーム！,4293,梨子ちゃんからひとこと！その1,147,title_s_0000_00000_0147,1
4293000148,【称号】ハグしよ♪,4293,果南ちゃんからひとこと！その1,148,title_s_0000_00000_0148,1
4293000149,【称号】ぶっぶーですわ！,4293,ダイヤちゃんからひとこと！その1,149,title_s_0000_00000_0149,1
4293000150,【称号】全速前進、ヨーソロー！,4293,曜ちゃんからひとこと！その1,150,title_s_0000_00000_0150,1
4293000151,【称号】おいで、リトルデーモン♪,4293,善子ちゃんからひとこと！その1,151,title_s_0000_00000_0151,1
4293000152,【称号】未来ずら〜！,4293,花丸ちゃんからひとこと！その1,152,title_s_0000_00000_0152,1
4293000153,【称号】シャイニー☆,4293,鞠莉ちゃんからひとこと！その1,153,title_s_0000_00000_0153,1
4293000154,【称号】がんばルビィ！,4293,ルビィちゃんからひとこと！その1,154,title_s_0000_00000_0154,1
4293000903,【称号】スクフェス全国大会2018オンライン予選,4293,スクフェス全国大会2018オンライン予選に参加した証,903,title_s_0000_00000_0903,1
4293000155,【称号】あわしまマリンパーク,4293,あわしまマリンパークへ遊びに行ってきた！,155,title_s_0000_00000_0155,1
4293000156,【称号】孤島の水族館からの脱出,4293,「リアル脱出ゲーム×ラブライブ！サンシャイン!!」スクフェスコラボを記念した特別な称号,156,title_s_0000_00000_0156,1
4293000157,第4回おさんぽラリー[フェリー],4293,第4回おさんぽラリーの1話をクリアした人に贈られる証,157,title_s_0000_00000_0157,1
4293000158,第4回おさんぽラリー[ペンギン],4293,第4回おさんぽラリーの4話をクリアした人に贈られる証,158,title_s_0000_00000_0158,1
4293000159,第4回おさんぽラリー[イセエビ],4293,第4回おさんぽラリーの6話をクリアした人に贈られる証,159,title_s_0000_00000_0159,1
4293000160,【称号】スクフェス5周年,4293,スクフェスの5周年を記念した特別な称号,160,title_s_0000_00000_0160,1
4293000161,【称号】HAKODATE UNIT CARNIVAL,4293,HAKODATE UNIT CARNIVALの開催を記念した称号,161,title_s_0000_00000_0161,1
4293000162,スクフェス感謝祭2018[大阪],4293,スクフェス感謝祭2018 大阪の開催を記念した称号,162,title_s_0000_00000_0162,1
4293000163,スクフェス感謝祭2018[沼津],4293,スクフェス感謝祭2018 沼津の開催を記念した称号,163,title_s_0000_00000_0163,1
4293000164,スクフェス感謝祭2018[東京],4293,スクフェス感謝祭2018 東京の開催を記念した称号,164,title_s_0000_00000_0164,1
4293000165,【称号】WONDERFUL STORIES[SAITAMA],4293,Aqoursの3rd LIVE開催を記念した特別な称号,165,title_s_0000_00000_0165,1
4293000166,【称号】WONDERFUL STORIES,4293,Aqoursの3rd LIVE開催を記念した特別な称号,166,title_s_0000_00000_0166,1
4293000167,【称号】WONDERFUL STORIES[OSAKA],4293,Aqoursの3rd LIVE開催を記念した特別な称号,167,title_s_0000_00000_0167,1
4293000168,【称号】WONDERFUL STORIES[FUKUOKA],4293,Aqoursの3rd LIVE開催を記念した特別な称号,168,title_s_0000_00000_0168,1
4293000169,第5回おさんぽラリー[Aqours 3rd LoveLive! Tour],4293,第5回おさんぽラリーで指定ミッションを達成した人だけに贈られる記念の称号,169,title_s_0000_00000_0169,1
4293000170,スクフェス全国大会2018ファイナリスト,4293,スクフェス全国大会2018ファイナリストに贈られる証,170,title_s_0000_00000_0170,1
4293000171,スクフェス全国大会2018第3位,4293,スクフェス全国大会2018第3位入賞者に贈られる証,171,title_s_0000_00000_0171,1
4293000172,スクフェス全国大会2018準優勝,4293,スクフェス全国大会2018準優勝者に贈られる証,172,title_s_0000_00000_0172,1
4293000173,スクフェス全国大会2018優勝,4293,スクフェス全国大会2018優勝者に贈られる証,173,title_s_0000_00000_0173,1
4293000174,Aqoursクラブ活動 LIVE&FAN MEETING 2018,4293,Aqours クラブ活動 LIVE & FAN MEETING 2018の開催を記念した特別な称号,174,title_s_0000_00000_0174,1
4293000175,Aqoursクラブ活動 LIVE&FAN MEETING 2018[旭川],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[旭川]の開催を記念した特別な称号,175,title_s_0000_00000_0175,1
4293000176,Aqoursクラブ活動 LIVE&FAN MEETING 2018[名古屋],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[名古屋]の開催を記念した特別な称号,176,title_s_0000_00000_0176,1
4293000177,Aqoursクラブ活動 LIVE&FAN MEETING 2018[松山],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[松山]の開催を記念した特別な称号,177,title_s_0000_00000_0177,1
4293000178,Aqoursクラブ活動 LIVE&FAN MEETING 2018[福岡],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[福岡]の開催を記念した特別な称号,178,title_s_0000_00000_0178,1
4293000179,Aqoursクラブ活動 LIVE&FAN MEETING 2018[仙台],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[仙台]の開催を記念した特別な称号,179,title_s_0000_00000_0179,1
4293000180,Aqoursクラブ活動 LIVE&FAN MEETING 2018[千葉],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[千葉]の開催を記念した特別な称号,180,title_s_0000_00000_0180,1
4293000181,Aqoursクラブ活動 LIVE&FAN MEETING 2018[広島],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[広島]の開催を記念した特別な称号,181,title_s_0000_00000_0181,1
4293000182,Aqoursクラブ活動 LIVE&FAN MEETING 2018[金沢],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[金沢]の開催を記念した特別な称号,182,title_s_0000_00000_0182,1
4293000183,Aqoursクラブ活動 LIVE&FAN MEETING 2018[沼津],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[沼津]の開催を記念した特別な称号,183,title_s_0000_00000_0183,1
4293000184,Aqoursクラブ活動 LIVE&FAN MEETING 2018[大阪],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[大阪]の開催を記念した特別な称号,184,title_s_0000_00000_0184,1
4293000185,Aqoursクラブ活動 LIVE&FAN MEETING 2018[東京],4293,Aqours クラブ活動 LIVE & FAN MEETING 2018[東京]の開催を記念した特別な称号,185,title_s_0000_00000_0185,1
4293000186,第6回おさんぽラリー[アキバ],4293,第6回おさんぽラリーで指定ミッションを達成した人だけに贈られる記念の称号,186,title_s_0000_00000_0186,1
4293000187,第6回おさんぽラリー[ほむまん],4293,穂乃果の実家・老舗和菓子店「穂むら」の名物,187,title_s_0000_00000_0187,1
4293000188,【称号】ぷちぐるラブライブ！,4293,ぷちぐるラブライブ！とのコラボを記念した称号,188,title_s_0000_00000_0188,1
4293000189,【称号】ぷちぐるラブライブ！[穂乃果],4293,ぷちぐるラブライブ！とのコラボを記念した穂乃果ちゃんの称号,189,title_s_0000_00000_0189,1
4293000190,【称号】ぷちぐるラブライブ！[絵里],4293,ぷちぐるラブライブ！とのコラボを記念した絵里ちゃんの称号,190,title_s_0000_00000_0190,1
4293000191,【称号】ぷちぐるラブライブ！[ことり],4293,ぷちぐるラブライブ！とのコラボを記念したことりちゃんの称号,191,title_s_0000_00000_0191,1
4293000192,【称号】ぷちぐるラブライブ！[海未],4293,ぷちぐるラブライブ！とのコラボを記念した海未ちゃんの称号,192,title_s_0000_00000_0192,1
4293000193,【称号】ぷちぐるラブライブ！[凛],4293,ぷちぐるラブライブ！とのコラボを記念した凛ちゃんの称号,193,title_s_0000_00000_0193,1
4293000194,【称号】ぷちぐるラブライブ！[真姫],4293,ぷちぐるラブライブ！とのコラボを記念した真姫ちゃんの称号,194,title_s_0000_00000_0194,1
4293000195,【称号】ぷちぐるラブライブ！[希],4293,ぷちぐるラブライブ！とのコラボを記念した希ちゃんの称号,195,title_s_0000_00000_0195,1
4293000196,【称号】ぷちぐるラブライブ！[花陽],4293,ぷちぐるラブライブ！とのコラボを記念した花陽ちゃんの称号,196,title_s_0000_00000_0196,1
4293000197,【称号】ぷちぐるラブライブ！[にこ],4293,ぷちぐるラブライブ！とのコラボを記念したにこちゃんの称号,197,title_s_0000_00000_0197,1
